Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,003,822",0.000000,1.253866,23/36 (63.89%),"[1.0000 0.0000 0.0000 1.0000 1.0000 0.0000 1.0000 0.0000 1.0000 0.0000
 0.0000 1.0000 0.0000 0.0000 1.0000 0.0000 0.1032 1.0000 1.0000 0.0000
 0.0000 1.0000 0.0000 0.0000 1.0000 0.0000 0.0000 1.0000 0.0000 0.0000
 0.0000 1.0000 1.0000 0.0000 1.0000 1.0000]"
2,"1,124,444",1.000000,17.573832,7/36 (19.44%),"[1.0000 0.0000 0.0000 1.0000 1.0000 0.0000 1.0000 0.0000 1.0000 0.0000
 0.0000 0.0000 0.0000 0.0000 0.6272 0.0000 1.0000 1.0000 1.0000 0.0314
 0.0000 0.0000 0.0000 0.0000 1.0000 0.3203 0.0000 0.0000 1.0000 0.0000
 0.0000 0.8893 1.0000 0.0000 1.0000 0.0000]"
3,"1,188,236",1.000000,17.858266,10/36 (27.78%),"[0.5951 0.6238 0.0000 0.0000 0.9360 1.0000 0.0000 0.0000 1.0000 0.8707
 0.0000 0.0000 0.9360 0.9159 0.0000 0.0000 0.8436 0.0000 0.0000 0.0000
 0.0000 0.0000 0.0000 0.9360 1.0000 1.0000 0.0000 1.0000 0.0000 0.9360
 0.0000 0.0000 0.0000 0.9360 0.0000 0.0000]"
4,"1,191,192",0.000000,0.037092,36/36 (100.00%),"[1.0000 1.0000 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000
 0.0000 1.0000 0.0000 1.0000 0.0000 1.0000 0.0000 1.0000 0.0000 1.0000
 0.0000 1.0000 0.0000 0.0000 1.0000 0.0000 1.0000 0.0000 1.0000 0.0000
 1.0000 0.0000 1.0000 0.0000 1.0000 0.0000]"
5,"1,192,723",1.000000,17.733784,9/36 (25.00%),"[0.0000 0.0000 0.0000 1.0000 0.9880 0.4670 0.6510 0.0000 1.0000 0.0000
 0.0000 0.0000 0.9492 0.0000 1.0000 0.0000 0.9220 1.0000 0.0971 0.0053
 0.0000 0.5669 0.0000 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.6811
 0.0000 0.0000 0.9880 1.0000 0.0000 1.0000]"
6,"1,194,297",1.000000,16.596993,16/36 (44.44%),"[0.0000 0.0000 0.0000 0.0354 0.5165 0.9741 0.7432 0.8638 0.1809 0.4285
 0.0000 0.4666 0.1253 0.0000 1.0000 0.7926 0.0000 0.0000 0.8005 0.0000
 0.0972 0.0000 1.0000 1.0000 0.0000 0.0000 1.0000 0.9741 0.0000 0.0000
 1.0000 1.0000 0.0000 0.0000 1.0000 1.0000]"
7,"1,198,412",0.000000,1.370406,19/36 (52.78%),"[1.0000 0.0000 0.0000 0.9823 0.9318 0.0000 1.0000 0.0000 1.0000 0.0000
 0.0000 1.0000 0.0000 0.0000 1.0000 0.0000 0.0000 1.0000 1.0000 1.0000
 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 1.0000 0.0000 0.0000 1.0000
 0.0000 0.0000 1.0000 0.0000 0.0000 1.0000]"
8,"1,217,965",1.000000,16.464504,11/36 (30.56%),"[0.0000 1.0000 0.9120 0.0000 0.0000 0.0000 1.0000 0.0802 0.0000 0.9862
 0.0000 0.9227 0.8329 0.0000 0.0000 0.9202 0.3098 0.0000 0.0000 1.0000
 1.0000 0.0000 1.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000
 1.0000 0.0000 0.0629 0.8587 0.9996 0.0000]"
9,"1,253,849",0.000000,5.037933,20/36 (55.56%),"[0.3609 0.9729 1.0000 0.0000 0.0000 0.0000 1.0000 0.0000 0.0000 0.0000
 0.0000 1.0000 0.9223 0.1300 0.0000 0.0000 0.0000 1.0000 0.4346 1.0000
 0.0000 1.0000 1.0000 0.0000 0.0000 1.0000 0.0000 0.0000 0.0000 1.0000
 0.0996 0.0000 0.6779 1.0000 0.0000 1.0000]"
10,"1,317,605",2.000000,17.200476,8/36 (22.22%),"[0.5723 1.0000 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 1.0000 0.0000
 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 1.0000 1.0000
 0.0000 0.0000 0.0000 1.0000 0.0000 0.0000 0.0000 1.0000 0.0000 0.5269
 0.5384 0.6618 0.0000 1.0000 0.0000 0.0000]"
