Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,003,822",0.000000,6.764910,23/36 (63.89%),"[9.13683596e-01 0.00000000e+00 3.19116779e-02 7.12177345e-01
 6.64606676e-01 2.94665765e-01 1.00000000e+00 3.52199776e-01
 1.00000000e+00 4.15011668e-05 0.00000000e+00 9.91104824e-01
 0.00000000e+00 0.00000000e+00 6.55978651e-01 0.00000000e+00
 2.82352991e-01 1.00000000e+00 1.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00]"
2,"1,124,444",2.000000,17.906786,7/36 (19.44%),"[0.02468283 0.         0.         1.         1.         0.
 0.73750688 1.         0.01513501 0.         0.         0.
 0.         0.14846806 0.         0.22770853 0.71187387 0.06490244
 1.         0.33929938 0.45455792 0.01703923 1.         0.31237426
 1.         0.         0.         0.3984035  0.21485956 0.
 0.         1.         0.7970782  0.         1.         1.        ]"
3,"1,188,236",1.000000,16.783949,10/36 (27.78%),"[1.00000000e+00 0.00000000e+00 4.23727390e-05 0.00000000e+00
 1.00000000e+00 1.00000000e+00 7.24774908e-01 0.00000000e+00
 6.85740594e-01 5.72923176e-01 0.00000000e+00 0.00000000e+00
 0.00000000e+00 3.54469858e-02 2.88117881e-01 1.90758482e-01
 1.00000000e+00 7.37587677e-01 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.81444933e-02 0.00000000e+00 0.00000000e+00
 1.00000000e+00 1.00000000e+00 0.00000000e+00 6.29487087e-01
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 8.83930728e-01]"
4,"1,191,192",0.000000,0.015647,36/36 (100.00%),"[1. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0.
 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.]"
5,"1,192,723",1.000000,16.160225,9/36 (25.00%),"[0.92110075 0.16599827 0.         1.         0.8369579  0.4429926
 0.96439141 0.         1.         0.         0.         0.91939469
 0.04712492 0.         1.         0.         0.         0.87195143
 0.87036769 0.         0.         1.         0.46020666 0.17512211
 1.         0.         0.8810436  0.         0.         0.37568236
 0.24498545 0.06854987 0.8950137  0.38256746 1.         0.87666802]"
6,"1,194,297",1.000000,15.524902,16/36 (44.44%),"[0.5994219  1.         0.02590027 0.24768789 0.         0.
 0.27437898 0.04885524 0.19660907 0.25648841 1.         0.68626244
 0.03041435 1.         0.81175538 0.         0.         0.
 0.63825331 0.         0.48223523 0.         1.         1.
 0.         0.         1.         0.80154184 0.         0.
 1.         1.         0.         0.         1.         1.        ]"
7,"1,198,412",1.000000,13.943148,19/36 (52.78%),"[0.10669902 0.75563444 0.37043521 0.9788355  1.         0.
 0.15293206 0.5503436  0.04617686 0.42518089 0.         1.
 0.73267946 0.08311614 0.01989926 0.         0.         1.
 1.         0.         0.         1.         1.         0.
 0.29926496 0.48747049 1.         0.         0.         1.
 0.         0.         1.         0.         0.         1.        ]"
8,"1,217,965",1.000000,18.971735,11/36 (30.56%),"[0.28239272 0.86553934 0.93745996 0.2430912  0.53645982 0.724155
 0.68494102 0.31377152 0.12003632 0.         0.00225421 0.
 0.70789532 0.         0.         1.         0.         0.06018422
 0.         1.         1.         0.         0.52917584 0.91120963
 1.         0.         0.         1.         0.08058566 0.
 1.         0.         0.27339135 0.0204152  0.85409235 0.53006617]"
9,"1,253,849",0.000000,0.964606,20/36 (55.56%),"[0.03612563 0.67202518 0.55950828 0.         0.         0.
 1.         0.22221938 0.         0.         0.         1.
 0.56918389 0.01010892 0.         0.         0.         1.
 0.15606531 1.         0.         1.         1.         0.
 0.         0.52952783 0.43061378 0.         0.         1.
 0.         0.         0.63316152 0.65010317 0.         1.        ]"
10,"1,317,605",1.000000,15.561228,8/36 (22.22%),"[0.99215922 0.27173495 0.         0.10660443 0.         0.10429834
 1.         0.         0.         1.         0.         0.57564614
 0.33935021 0.94207378 0.         1.         0.         0.68752631
 0.34560859 1.         0.1746941  0.         0.         0.04638035
 1.         0.03095967 0.         1.         0.         0.72790743
 1.         0.39677588 0.         1.         0.         0.66178892]"
11,"1,332,159",1.000000,15.697988,11/36 (30.56%),"[0.42165698 0.         0.83097841 1.         0.         0.
 0.         0.36303482 0.         0.         1.         1.
 1.         0.         0.6349609  1.         0.         0.
 1.         0.49939091 0.         0.19456965 1.         1.
 0.         0.92186131 0.30893989 0.64831993 0.         0.
 0.         0.65718473 0.         0.         0.95723307 0.83018754]"
