Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,003,822",0.000000,0.534715,23/36 (63.89%),"[0.59865869 0.         0.         0.95248738 0.93130968 0.18328896
 1.         0.25919253 0.9030638  0.         0.2408751  1.
 0.         0.         0.76829675 0.         0.33065007 1.
 1.         0.         0.         1.         0.         0.
 1.         0.         0.         1.         0.         0.
 0.         1.         1.         0.         1.         1.        ]"
2,"1,124,444",2.000000,20.275339,7/36 (19.44%),"[0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 5.83573878e-02 1.00000000e+00
 7.33764988e-01 0.00000000e+00 0.00000000e+00 1.00000000e+00
 3.23907900e-02 0.00000000e+00 3.36251323e-01 1.70710158e-01
 0.00000000e+00 9.77950328e-01 2.31265346e-01 6.27808567e-01
 7.84687256e-01 3.89942494e-03 0.00000000e+00 3.38029627e-01
 1.59372785e-01 0.00000000e+00 0.00000000e+00 2.62105417e-02
 9.54314906e-03 1.48677571e-02 1.00000000e+00 5.08365216e-01
 0.00000000e+00 9.51599802e-04 1.00000000e+00 8.67316002e-01]"
3,"1,188,236",1.000000,19.963183,10/36 (27.78%),"[0.27621682 1.         0.74134947 0.         0.40962861 1.
 0.75125145 0.         0.2730534  1.         1.         0.45520116
 1.         0.         1.         0.49001532 0.         0.0201705
 0.         0.         0.79503854 0.06839979 0.40268799 0.
 1.         1.         0.         0.97889079 0.         0.78987447
 0.         0.         0.13794794 1.         0.34708311 1.        ]"
4,"1,191,192",0.000000,0.031250,36/36 (100.00%),"[1. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0.
 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.]"
5,"1,192,723",1.000000,20.220349,9/36 (25.00%),"[1.00000000e+00 2.39734915e-01 0.00000000e+00 6.23323794e-01
 0.00000000e+00 5.21637708e-01 7.75304231e-01 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 3.65120725e-01 0.00000000e+00 1.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 5.40984803e-08 1.00000000e+00 1.44381750e-01
 1.75678222e-01 0.00000000e+00 2.13728177e-01 1.00000000e+00
 3.98892325e-01 1.98953506e-01 9.95068861e-01 1.00000000e+00
 1.79487997e-01 7.28485152e-01 0.00000000e+00 5.39236381e-02]"
6,"1,194,297",1.000000,19.450711,16/36 (44.44%),"[1.         1.         0.31700365 0.59798909 0.39031405 1.
 0.         0.         0.         0.76060115 0.         1.
 1.         0.         0.84470672 0.         0.         0.
 1.         0.         0.63988549 0.         1.         1.
 0.         0.         0.30588593 0.79575804 0.         0.
 1.         1.         0.         0.         1.         1.        ]"
7,"1,198,412",0.000000,9.136217,19/36 (52.78%),"[0.92892713 0.05412908 0.35424812 0.55508639 0.63866657 0.
 1.         0.28587411 0.54471114 0.3746896  0.         1.
 0.40435532 0.12761463 0.70648501 0.         0.         1.
 0.69857396 0.66558528 0.         1.         1.         0.
 0.20487308 0.04540725 1.         0.         0.         1.
 0.         0.         1.         0.         0.         1.        ]"
8,"1,217,965",1.000000,19.904781,11/36 (30.56%),"[0.         0.30382132 1.         0.66816028 0.40143451 0.6756762
 0.62569035 0.3449924  0.         0.         0.         0.70353385
 0.84578423 0.         0.         0.47250586 0.43816747 0.09749175
 0.         1.         1.         0.         0.18764671 0.77962057
 1.         0.         0.         0.00996364 0.40513899 1.
 1.         0.         1.         1.         0.         0.        ]"
9,"1,253,849",0.000000,2.434252,20/36 (55.56%),"[0.         0.92629816 0.92167886 0.         0.         0.
 0.68794775 0.         0.         0.         0.         1.
 0.72524253 0.25980577 0.         0.         0.         1.
 0.14351382 0.82304037 0.         1.         1.         0.
 0.         0.93036178 0.         0.         0.         1.
 0.01761028 0.         1.         1.         0.         1.        ]"
10,"1,317,605",1.000000,20.148854,8/36 (22.22%),"[0.76457995 0.54364462 0.         1.         0.88469972 0.
 0.         0.         0.         0.37720943 0.25922631 1.
 0.32664609 0.1798187  0.         0.350048   0.10069115 0.80110561
 0.98664164 0.71533184 0.08270553 0.         0.23931034 0.
 0.         0.         0.         1.         0.         1.
 0.96749066 0.87393367 0.         1.         0.         0.83875017]"
11,"1,332,159",1.000000,20.006292,11/36 (30.56%),"[0.         0.98821941 0.40818046 1.         0.         0.
 0.         1.         0.         0.         1.         1.
 0.         0.         0.64611574 1.         0.         0.
 1.         1.         0.         0.         0.83451094 1.
 0.         0.29079212 0.39066884 0.84517877 0.         0.
 0.         1.         1.         0.46893853 0.75830986 1.        ]"
12,"1,341,844",1.000000,18.346400,19/36 (52.78%),"[0.94529806 0.         1.         1.         0.         1.
 0.78163151 0.17658878 0.         0.         0.         1.
 0.17002005 0.05470278 0.81833143 1.         0.         0.
 0.         0.30019112 0.         0.         1.         1.
 0.23586172 0.23219958 0.15816887 0.         0.         0.
 0.         1.         0.74600325 0.         1.         1.        ]"
13,"1,343,094",1.000000,20.010856,11/36 (30.56%),"[0.00000000e+00 6.73495575e-01 6.14471549e-01 1.48963543e-04
 3.56143447e-01 8.44589147e-01 1.00000000e+00 0.00000000e+00
 4.48082824e-01 8.07143823e-01 6.43689399e-01 0.00000000e+00
 1.00000000e+00 0.00000000e+00 8.51911174e-01 3.21274549e-01
 2.47659703e-01 2.92386348e-01 0.00000000e+00 3.43651922e-01
 9.56258880e-01 2.66392249e-01 3.65187798e-01 8.60921542e-01
 0.00000000e+00 0.00000000e+00 3.53728861e-01 2.40466197e-01
 7.67612059e-02 5.08480168e-01 1.00000000e+00 1.00000000e+00
 0.00000000e+00 8.12092567e-01 1.00000000e+00 0.00000000e+00]"
14,"1,350,652",0.000000,0.480018,22/36 (61.11%),"[0.         0.         0.         1.         0.         1.
 1.         0.         0.         1.         0.         1.
 1.         0.         0.24164884 0.         0.50886048 0.
 0.         0.54747478 1.         0.36757357 0.96484387 0.
 1.         0.         0.34408271 0.03935856 0.         0.76704492
 1.         0.         1.         0.70497632 0.18549897 0.82320237]"
15,"1,375,820",0.000000,0.031681,36/36 (100.00%),"[0. 1. 1. 0. 1. 1. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 1. 0. 1. 1.
 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 1.]"
16,"1,430,637",1.000000,19.023279,16/36 (44.44%),"[0.         0.         0.73437404 1.         0.         1.
 0.         1.         0.         0.00374415 0.         1.
 0.         1.         0.         1.         0.         0.
 0.         0.         1.         0.01122639 1.         1.
 0.         0.09124901 1.         0.         0.28443219 0.01704827
 0.80487417 1.         0.         0.50800053 1.         0.        ]"
17,"1,454,003",1.000000,18.418218,16/36 (44.44%),"[1.         0.         0.         0.         0.         0.
 1.         0.         0.         1.         1.         0.
 0.         0.96045548 0.65394413 0.         0.         0.
 1.         0.         0.0454932  0.         0.89374615 0.821681
 0.79467822 0.31834599 0.11586161 0.05622469 0.         0.0329657
 0.44850294 0.54368959 0.         0.66582575 0.52941984 0.        ]"
18,"1,470,603",0.000000,0.031680,36/36 (100.00%),"[1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0.
 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1.]"
19,"1,480,509",2.000000,20.769300,6/36 (16.67%),"[9.30733387e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 3.53807122e-01 3.00166115e-01 0.00000000e+00 0.00000000e+00
 9.83843291e-01 9.07110715e-01 0.00000000e+00 4.72851874e-02
 1.00000000e+00 0.00000000e+00 7.70285099e-02 0.00000000e+00
 2.52532668e-02 1.00000000e+00 1.00000000e+00 0.00000000e+00
 9.81086304e-01 1.00000000e+00 9.44308884e-03 1.00000000e+00
 0.00000000e+00 1.14839361e-05 1.79905094e-01 0.00000000e+00
 1.00000000e+00 9.90530056e-04 0.00000000e+00 6.31903176e-01
 1.00000000e+00 0.00000000e+00 9.96858245e-01 2.30215287e-01]"
20,"1,505,558",1.000000,20.368492,7/36 (19.44%),"[0.4280603  0.         0.70079616 1.         0.20673756 0.
 0.         0.34892347 0.05177873 0.14499661 0.52419261 0.64278486
 0.         0.30245228 0.78942567 0.75796506 0.         0.32959057
 0.80342805 0.82488076 0.46565521 0.         0.81205178 1.
 0.         0.         0.         0.         0.         0.
 1.         1.         0.         0.80683844 1.         0.09377462]"
21,"1,554,862",0.000000,3.920848,7/36 (19.44%),"[0.79638465 0.13763762 0.         1.         1.         0.
 0.50870957 0.         0.23778424 0.         0.         0.10092289
 0.         0.60253169 0.65228976 0.14730788 0.78968333 0.80825415
 0.58385721 0.03727029 0.26548116 0.5720174  0.         0.04217722
 0.57761212 0.         0.08715893 1.         0.         0.33365494
 0.         0.79638465 0.53648854 0.35132527 1.         0.55282804]"
22,"1,568,229",1.000000,18.412525,18/36 (50.00%),"[1.         0.         1.         1.         0.         0.69505232
 1.         0.         0.         0.         0.80382735 0.20798997
 0.         0.05895286 0.01347592 0.32768808 0.77454074 0.24213067
 0.         0.         0.39304399 0.39926468 0.         0.36158317
 1.         1.         0.         0.09669511 0.30319901 0.61926263
 0.         0.         1.         0.7955761  0.37723331 0.82937614]"
23,"1,589,978",0.000000,1.518858,20/36 (55.56%),"[1.         0.         0.37758907 0.83577161 1.         0.33974964
 1.         0.         0.27857503 0.17309084 0.         0.65364829
 0.         0.93619517 0.         0.66597137 0.17348034 1.
 0.         0.63852718 0.44576202 1.         0.         0.
 0.5598934  0.12382611 0.         0.         1.         1.
 0.64033212 0.         1.         1.         0.         0.        ]"
24,"1,605,903",0.000000,15.128847,8/36 (22.22%),"[0.         0.33813773 0.4021025  1.         1.         0.010777
 0.         0.78094489 1.         0.2078898  0.15138191 0.
 1.         0.         0.         0.92962655 1.         0.
 1.         0.         1.         0.02154775 0.15163702 0.53213613
 0.         0.3509828  1.         0.         0.         0.76824696
 0.9369051  1.         0.10791632 0.7049253  0.55441824 0.45206865]"
25,"1,611,457",1.000000,19.287604,18/36 (50.00%),"[1.         0.         0.11127496 0.         1.         0.18312197
 1.         0.         1.         0.29855126 0.91857756 0.02142477
 0.         1.         0.         0.75263618 0.27454923 0.
 0.         1.         0.         1.         0.38604263 0.03719645
 1.         0.         0.28118521 0.         0.64405965 1.
 1.         0.         1.         1.         0.         0.10260263]"
26,"1,615,209",1.000000,19.631866,9/36 (25.00%),"[3.33129381e-01 4.60035037e-04 0.00000000e+00 4.41449058e-01
 1.24601488e-01 8.07095434e-01 1.00000000e+00 7.61527092e-01
 0.00000000e+00 3.61760269e-01 1.70214588e-01 8.94960984e-01
 4.72150757e-01 4.47400101e-01 7.16774072e-03 1.00000000e+00
 1.00000000e+00 0.00000000e+00 3.21427552e-01 9.93133718e-01
 7.22325306e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 7.10557195e-02 4.03724554e-02 0.00000000e+00
 1.00000000e+00 0.00000000e+00 6.71381569e-01 1.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00]"
