Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,003,822",0.000000,0.234070,23/36 (63.89%),"[0.56753221 0.         0.         0.54667295 1.         0.13993731
 1.         0.         1.         0.         0.31398758 0.94943301
 0.         0.         0.62441931 0.         0.39341932 0.55319825
 1.         0.         0.         1.         0.         0.
 1.         0.         0.         1.         0.         0.
 0.         1.         1.         0.         1.         1.        ]"
2,"1,124,444",1.000000,20.342217,7/36 (19.44%),"[1.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 9.86928369e-01 4.01882630e-01
 9.28396529e-04 0.00000000e+00 0.00000000e+00 4.07058737e-01
 0.00000000e+00 0.00000000e+00 6.68590176e-01 8.03857399e-01
 3.06548118e-01 7.10386385e-01 7.66665962e-01 1.00000000e+00
 2.33559020e-03 4.67205263e-01 1.02793323e-02 6.98167603e-01
 0.00000000e+00 6.77645980e-03 2.09688538e-01 4.00112742e-02
 1.00000000e+00 1.76083088e-02 2.06598924e-01 1.00000000e+00
 7.96601339e-01 0.00000000e+00 1.00000000e+00 2.54679645e-01]"
3,"1,188,236",1.000000,19.401308,10/36 (27.78%),"[0.         1.         0.62242301 0.         0.458246   0.
 0.96739464 0.         0.45677341 1.         1.         0.
 0.66133817 0.         1.         0.45322644 0.06541858 0.70488333
 0.         0.         0.87350629 0.         0.29728598 0.91726954
 1.         1.         0.         0.58371564 0.         0.28998038
 0.         0.         0.         1.         0.         0.26700815]"
4,"1,191,192",0.000000,0.015644,36/36 (100.00%),"[1. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0.
 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.]"
5,"1,192,723",1.000000,21.249318,9/36 (25.00%),"[1.         0.         0.         0.63893988 1.         0.
 1.         0.         1.         0.         0.         0.91848668
 0.         0.         1.         0.         0.         1.
 1.         1.         0.         0.7001096  0.         0.34485565
 0.         0.322168   0.42327354 0.         0.54887925 0.62188437
 1.         1.         0.19234054 0.         0.         0.        ]"
6,"1,194,297",0.000000,0.229970,16/36 (44.44%),"[0.97528282 0.61649686 0.         0.         0.         1.
 0.         0.30099932 0.11226225 0.72466343 0.         1.
 0.91205876 1.         0.11728417 0.97916524 0.         0.
 0.         0.         0.95535351 0.         1.         1.
 0.         0.         0.94033416 0.         0.         0.
 1.         1.         0.         0.         1.         1.        ]"
7,"1,198,412",1.000000,18.853320,19/36 (52.78%),"[0.03163239 0.72045796 0.04006654 0.92188108 1.         0.
 0.54219072 0.00837479 0.81489601 0.12219723 0.         1.
 1.         0.07063933 0.50241897 0.         0.         1.
 0.17517299 0.01408682 0.         1.         1.         0.
 0.06130286 0.76511087 1.         0.         0.         1.
 0.         0.         0.17913179 0.         0.         1.        ]"
8,"1,217,965",1.000000,20.107330,11/36 (30.56%),"[4.04806309e-05 0.00000000e+00 5.13065464e-01 7.78768441e-01
 0.00000000e+00 6.13496843e-01 1.00000000e+00 3.40358510e-03
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 9.69208135e-01 0.00000000e+00 0.00000000e+00 5.92569407e-01
 1.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 4.93440161e-02 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 3.11644001e-01
 0.00000000e+00 6.25226229e-01 1.00000000e+00 0.00000000e+00
 4.10037265e-01 0.00000000e+00 2.25349102e-01 7.79568968e-01]"
9,"1,253,849",0.000000,12.266904,20/36 (55.56%),"[0.33326007 1.         0.91515508 0.         0.         0.
 0.5502697  0.08049235 0.         0.         0.         1.
 1.         0.         0.         0.         0.         1.
 0.         0.67515769 0.         1.         1.         0.
 0.36876095 0.51061381 0.2725099  0.         0.         1.
 0.43140773 0.13537388 0.95650918 0.95802437 0.         1.        ]"
10,"1,317,605",1.000000,20.341970,8/36 (22.22%),"[0.         1.         0.82914703 0.         1.         0.97156108
 0.48893155 0.03408303 0.25648195 0.88161791 0.         0.08464496
 0.10767478 1.         0.         1.         0.27151613 0.29277987
 0.0282024  1.         0.         0.         0.38469635 0.9061406
 0.57148617 0.01638609 0.         1.         0.         0.75210114
 1.         0.07147638 0.         1.         0.         0.03289294]"
11,"1,332,159",0.000000,2.937307,11/36 (30.56%),"[0.11809078 0.09111516 0.63235792 0.70639354 0.         0.
 0.         0.21612722 0.28878973 0.         1.         1.
 0.65303086 0.05934304 1.         1.         0.         0.
 0.54792196 0.14961504 0.         0.         1.         1.
 0.48140751 0.01867408 1.         1.         0.         0.
 1.         1.         0.         0.25066288 0.55976867 0.91456373]"
12,"1,341,844",0.000000,12.222725,19/36 (52.78%),"[0.79770357 0.         1.         1.         0.         1.
 0.79783016 0.04480523 0.         0.         0.         1.
 0.44693783 0.7982875  0.99000014 0.21216884 0.         0.
 0.71232451 0.4906233  0.38229415 0.         1.         1.
 0.95561123 0.31232448 1.         0.59860973 0.         0.
 0.10724061 0.12124091 0.         0.         1.         1.        ]"
13,"1,343,094",1.000000,20.216054,11/36 (30.56%),"[0.         0.         0.         0.05360736 1.         0.65801828
 1.         0.         1.         1.         0.         0.30344636
 1.         0.         0.04715112 0.         0.39993812 0.
 0.         0.9090051  0.55656761 0.         1.         0.51907345
 0.         0.         0.         0.42930366 0.42441591 0.17827904
 1.         1.         0.         0.29346117 0.81690639 0.63128402]"
14,"1,350,652",0.000000,1.921567,22/36 (61.11%),"[0.         0.         0.         1.         0.         1.
 1.         0.         0.         1.         0.         1.
 1.         0.         0.2408724  0.         0.75504776 0.
 0.         0.51251647 0.50180436 0.27015951 0.83513582 0.
 1.         0.         0.46462389 0.30024945 0.         1.
 1.         0.         1.         0.68063881 0.         0.86968468]"
15,"1,375,820",0.000000,0.015624,36/36 (100.00%),"[0. 1. 1. 0. 1. 1. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 1. 0. 1. 1.
 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 1.]"
16,"1,430,637",1.000000,19.601529,16/36 (44.44%),"[0.         0.         1.         0.85310983 0.         1.
 0.         1.         0.         0.         0.         1.
 0.         1.         0.         0.         0.7646501  0.
 0.         0.         1.         0.         1.         0.
 0.         0.         0.16889596 1.         0.         1.
 1.         0.51918844 0.12185683 0.75674829 0.38203309 1.        ]"
