Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,003,822",0.000000,0.731766,23/36 (63.89%),"[0.76891652 0.         0.05694347 1.         0.52727032 0.16802472
 1.         0.37662333 0.79142615 0.45606101 0.43140387 1.
 0.         0.         0.97484637 0.         0.16118743 0.64129788
 1.         0.         0.         1.         0.         0.
 1.         0.         0.         1.         0.         0.
 0.         1.         1.         0.         1.         1.        ]"
2,"1,124,444",1.000000,21.286626,7/36 (19.44%),"[0.         0.         0.         1.         1.         0.
 0.96704592 0.89266004 0.         0.         0.         0.69215698
 0.         0.04256192 0.60706953 0.7402584  0.         1.
 1.         0.90926053 0.23151718 0.28200387 0.43409355 0.
 0.         0.16894432 1.         0.0899294  0.07076423 0.
 0.         0.         0.58347713 0.         0.69842682 1.        ]"
3,"1,188,236",1.000000,21.138856,10/36 (27.78%),"[1.00000000e+00 1.17330828e-06 2.17992747e-01 0.00000000e+00
 7.50703140e-02 4.16920218e-01 8.42530671e-01 0.00000000e+00
 1.12682502e-03 6.23645167e-01 7.90089340e-01 2.57836606e-01
 4.83937659e-01 8.35635289e-01 1.00000000e+00 2.83862725e-01
 4.13448843e-01 9.41751301e-01 0.00000000e+00 0.00000000e+00
 8.65724050e-03 5.42431774e-01 4.29643670e-01 6.20015379e-01
 1.00000000e+00 1.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 3.68366495e-01 0.00000000e+00 0.00000000e+00
 2.58930247e-01 3.87102151e-01 1.00000000e+00 1.00000000e+00]"
4,"1,191,192",0.000000,0.005089,36/36 (100.00%),"[1. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0.
 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.]"
5,"1,192,723",1.000000,21.245477,9/36 (25.00%),"[0.61468545 0.68601067 0.         0.         1.         1.
 0.         0.         1.         0.         0.         0.
 0.38358077 0.         1.         0.         0.48678412 0.82377164
 0.95148848 1.         0.         0.16882781 0.40904554 0.95431633
 0.         0.3392794  1.         0.84745184 0.11080766 0.
 0.98167694 0.72829969 0.11996824 0.         0.37600108 0.20646047]"
6,"1,194,297",0.000000,0.400819,16/36 (44.44%),"[0.6498608  0.59198873 0.         0.45089525 0.32028974 0.52720057
 0.20864116 0.49143946 0.         1.         0.13143197 1.
 1.         1.         0.00524721 0.5208133  0.         0.
 0.         0.         0.99958188 0.         1.         1.
 0.         0.         0.80056693 0.11465309 0.         0.
 1.         1.         0.         0.         1.         1.        ]"
7,"1,198,412",0.000000,13.221556,19/36 (52.78%),"[0.74710668 0.         0.47641529 0.5734138  0.50194466 0.
 0.75807673 0.         0.88922163 0.40944499 0.         1.
 0.40984675 0.23778976 0.56595347 0.         0.         1.
 0.54019358 0.64196688 0.         1.         1.         0.
 0.48826997 0.         1.         0.         0.         1.
 0.         0.         1.         0.         0.         1.        ]"
8,"1,217,965",1.000000,20.776785,11/36 (30.56%),"[0.40942725 0.70111646 0.9068234  0.         0.87428565 1.
 0.99614435 0.         0.00545396 0.         0.00683945 0.01729922
 1.         0.         0.         0.         0.40961187 0.58338772
 0.         1.         1.         0.         0.37376621 0.92784301
 1.         0.         0.         1.         0.         0.38597667
 1.         0.         0.09075977 1.         0.42197931 0.45365961]"
9,"1,253,849",0.000000,1.945908,20/36 (55.56%),"[0.15265956 0.84432702 1.         0.         0.         0.
 0.70121903 0.28524719 0.         0.         0.         1.
 0.52482497 0.1936739  0.         0.         0.         1.
 0.36744936 0.78462137 0.         1.         1.         0.
 0.05014963 0.71111385 0.         0.         0.         1.
 0.         0.33971121 0.80479612 0.74787255 0.         1.        ]"
10,"1,317,605",2.000000,20.919156,8/36 (22.22%),"[0.21029662 0.96465842 0.6426258  0.00661531 0.62961417 1.
 0.56168767 0.         0.36900248 0.27713528 0.12484404 0.
 0.76899754 0.09120418 0.         0.20488192 0.9113616  0.20465215
 0.42367732 0.         0.         0.         0.57866069 0.
 0.12157891 1.         0.         1.         0.         0.02157545
 0.13215236 0.91072665 0.         1.         0.         0.        ]"
