Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,003,822",0.000000,0.062632,23/36 (63.89%),"[0.57974652 0.         0.13879731 1.         1.         0.
 1.         0.38641152 0.997673   0.         0.         0.52630546
 0.         0.         0.88687365 0.         0.16545217 0.69601209
 1.         0.         0.         1.         0.         0.
 1.         0.         0.         1.         0.         0.
 0.         1.         1.         0.         1.         1.        ]"
2,"1,124,444",1.000000,21.087511,7/36 (19.44%),"[0.57075443 0.         0.         1.         1.         0.
 1.         0.         0.         0.         0.         0.572896
 0.         1.         1.         0.         0.15012172 0.69283443
 0.         0.01225722 0.2568346  0.         0.         0.
 1.         0.50687226 0.         0.40267286 1.         1.
 0.45927904 0.         0.86688578 1.         0.4621718  0.        ]"
3,"1,188,236",1.000000,20.385092,10/36 (27.78%),"[0.11774112 0.76053278 0.76149188 0.         1.         0.74930993
 1.         0.         0.23091875 0.         0.20395862 0.41930513
 0.68235816 0.40072566 0.43481579 0.25341177 1.         0.83056324
 0.         0.         0.43592572 1.         0.         0.32679226
 1.         1.         0.         1.         0.         0.
 0.         0.         0.         0.27173955 0.89729808 0.65858127]"
4,"1,191,192",0.000000,0.015625,36/36 (100.00%),"[1. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0.
 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.]"
5,"1,192,723",1.000000,23.638020,9/36 (25.00%),"[1.         0.         0.         1.         0.86595027 0.11228868
 1.         0.         1.         0.         0.         1.
 0.         0.         1.         0.         0.         0.94318506
 0.92486714 0.31926675 0.         1.         1.         0.
 0.75553527 0.1847535  0.56349074 0.         0.         0.
 0.         0.38747127 1.         0.         1.         0.72897262]"
6,"1,194,297",1.000000,20.317655,16/36 (44.44%),"[1.         0.         1.         0.60959624 0.         0.
 0.88071133 0.18081841 0.44467899 0.         1.         0.62288778
 0.37565062 0.6400311  0.74676505 0.         0.         0.
 1.         0.         0.         0.         1.         1.
 0.         0.         1.         1.         0.         0.
 1.         1.         0.         0.         1.         1.        ]"
7,"1,198,412",0.000000,5.260984,19/36 (52.78%),"[0.53126396 0.         0.14316224 1.         1.         0.
 1.         0.         1.         0.         0.         1.
 0.         0.         0.74427235 0.         0.         1.
 1.         1.         0.         1.         1.         0.
 0.2149151  0.         1.         0.         0.         1.
 0.         0.         1.         0.         0.         1.        ]"
8,"1,217,965",1.000000,19.489708,11/36 (30.56%),"[0.         1.         1.         0.         1.         1.
 0.65219235 0.         0.         0.31212636 0.         0.31590416
 1.         0.         0.         0.         0.         0.2927264
 0.         1.         1.         0.         0.77790174 1.
 1.         0.         0.         0.         0.45706901 0.
 1.         0.         0.         0.         1.         0.59556986]"
9,"1,253,849",0.000000,0.220630,20/36 (55.56%),"[0.03656844 0.67084419 0.83979223 0.         0.         0.
 0.56779685 0.08464881 0.         0.         0.         1.
 0.86259408 0.24666906 0.         0.         0.         1.
 0.         0.85877059 0.         1.         1.         0.
 0.         0.50895882 0.         0.         0.         1.
 0.23934554 0.         0.9230217  0.50902165 0.         1.        ]"
10,"1,317,605",1.000000,19.736249,8/36 (22.22%),"[0.         1.         1.         0.09088225 0.30354591 0.
 1.         0.         0.         1.         0.         1.
 1.         0.         0.         1.         0.         0.9723606
 0.1476826  0.         0.         0.         0.         0.
 0.         1.         0.         1.         0.         1.
 0.         1.         0.         1.         0.         0.64871796]"
