Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,003,822",0.000000,0.361920,23/36 (63.89%),"[0.71769471 0.         0.43184608 0.57433774 1.         0.19177732
 1.         0.00517283 0.67246808 0.40137342 0.1883832  0.86611613
 0.         0.         0.54537172 0.         0.25742067 0.61324118
 1.         0.         0.         1.         0.         0.
 1.         0.         0.         1.         0.         0.
 0.         1.         1.         0.         1.         1.        ]"
2,"1,124,444",1.000000,21.210883,7/36 (19.44%),"[0.         0.         0.         1.         1.         0.
 0.66780872 1.         0.         0.         0.         0.80891934
 0.01736848 0.         1.         1.         0.         0.98421631
 1.         0.00351672 0.04074365 0.20926412 0.19719843 0.03622451
 0.99283753 0.40403022 0.99134892 0.37791032 0.         0.01527101
 0.01886313 0.         1.         0.         1.         1.        ]"
3,"1,188,236",1.000000,20.677637,10/36 (27.78%),"[0.43339365 0.89871447 1.         0.         0.91600254 0.98715407
 0.23825906 0.         0.16771285 0.19702791 0.         0.05821241
 0.7433449  0.9521818  0.08618499 1.         1.         0.
 0.         0.         0.06094845 0.11365126 0.05694154 0.38714666
 1.         1.         0.         0.95099458 0.         0.51344329
 0.         0.         0.31888711 1.         0.32347092 1.        ]"
4,"1,191,192",0.000000,0.015644,36/36 (100.00%),"[1. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0.
 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.]"
5,"1,192,723",1.000000,20.722918,9/36 (25.00%),"[0.99970095 0.18965714 0.         1.         0.64658419 0.
 1.         0.         1.         0.         0.         0.70895071
 0.         0.         1.         0.         0.         0.50110186
 1.         1.         0.         0.         0.         0.44193848
 0.1720767  0.         0.53860207 0.         0.         0.98453458
 0.19590521 0.28450294 0.72970494 0.         0.         0.64060668]"
6,"1,194,297",1.000000,19.572433,16/36 (44.44%),"[0.16534195 0.03733105 0.56962121 0.63201412 0.29779156 0.4926892
 0.693398   0.49996236 0.32649917 0.         0.50095597 0.18138969
 1.         0.         0.97154832 0.94071056 0.         0.
 0.44679026 0.         0.         0.         1.         1.
 0.         0.         0.55508829 1.         0.         0.
 1.         1.         0.         0.         1.         1.        ]"
7,"1,198,412",0.000000,1.784623,19/36 (52.78%),"[0.80388191 0.3889309  0.         0.86838092 0.69046961 0.
 0.63583153 0.         0.56564595 0.10079127 0.         1.
 0.         0.35297719 0.9442505  0.         0.         1.
 0.74569814 0.78848695 0.         1.         1.         0.
 0.38591209 0.13727826 1.         0.         0.         1.
 0.         0.         0.60369961 0.         0.         1.        ]"
8,"1,217,965",2.000000,20.788014,11/36 (30.56%),"[0.41745876 1.         0.07910354 0.75526318 0.20469496 0.
 0.         0.90318111 0.42800885 1.         0.         0.
 1.         0.         0.         0.15633792 0.72043026 1.
 0.         1.         1.         0.         0.         0.46057612
 1.         0.         0.         0.49250627 0.51854449 0.
 1.         0.         0.67862111 0.09777655 0.73613885 0.44081829]"
9,"1,253,849",0.000000,7.201673,20/36 (55.56%),"[0.27084597 1.         0.69633526 0.         0.         0.
 0.66204932 0.4506452  0.         0.         0.         1.
 0.5264034  0.12498484 0.         0.         0.         1.
 0.13123298 0.5143203  0.         1.         1.         0.
 0.30225867 0.87694711 0.23547596 0.         0.         1.
 0.         0.40842042 0.61838893 0.76255282 0.         1.        ]"
10,"1,317,605",1.000000,20.701300,8/36 (22.22%),"[0.79040876 0.47883008 1.         0.04671819 1.         0.00959636
 1.         0.         1.         0.36046491 1.         0.18637703
 0.         0.         0.         0.99962949 0.         0.86757555
 1.         1.         0.34311454 0.         0.         1.
 0.         0.13018025 0.         1.         0.         0.
 0.72010817 0.61724563 0.         1.         0.         0.        ]"
11,"1,332,159",1.000000,19.785036,11/36 (30.56%),"[0.11043235 0.         1.         0.         0.         0.
 0.         0.03417593 0.94627592 0.         1.         1.
 0.41867403 0.806938   0.         1.         0.         0.
 0.42242477 0.86689187 0.         0.63265417 0.39675079 1.
 0.         0.         0.         0.23875588 0.         1.
 0.708712   0.67261753 0.         1.         0.82676988 0.        ]"
12,"1,341,844",0.000000,6.387794,19/36 (52.78%),"[0.64072157 0.         1.         1.         0.         1.
 1.         0.35983365 0.         0.         0.         1.
 0.0191677  1.         0.7577925  0.06971274 0.         0.
 0.87838906 0.         0.37472214 0.         1.         1.
 0.59836092 0.33671022 0.81777587 0.80600294 0.         0.
 0.05330908 0.29553831 0.         0.         1.         1.        ]"
13,"1,343,094",1.000000,20.287607,11/36 (30.56%),"[0.         0.63946799 0.82938794 0.49441303 0.45879109 0.09382925
 1.         0.         0.4902487  0.         0.13301935 0.63713013
 1.         0.         0.14737615 0.80842617 0.92085157 0.42264469
 0.         1.         0.70414247 0.         0.         0.99256982
 0.         0.         0.         0.04352851 0.06929987 0.81616376
 1.         1.         0.         0.56971614 1.         0.17958439]"
14,"1,350,652",0.000000,0.109806,22/36 (61.11%),"[0.         0.         0.         1.         0.         1.
 1.         0.         0.         1.         0.         1.
 1.         0.         0.         0.         0.71382917 0.
 0.         0.84953032 0.92722044 0.         0.597097   0.08020362
 1.         0.         0.         0.4492795  0.         1.
 1.         0.         0.71703561 1.         0.07756618 0.97761001]"
15,"1,375,820",0.000000,0.000000,36/36 (100.00%),"[0. 1. 1. 0. 1. 1. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 1. 0. 1. 1.
 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 1.]"
16,"1,430,637",0.000000,4.094314,16/36 (44.44%),"[0.         0.         0.80951561 0.52336812 0.         1.
 0.         1.         0.         0.42776324 0.         1.
 0.         1.         0.         1.         1.         0.
 0.         0.         0.77197845 0.49797321 0.37273651 1.
 0.         0.48897838 1.         0.37695084 0.25584355 0.83625274
 0.95876443 1.         0.         0.62323556 0.65979069 0.        ]"
17,"1,454,003",0.000000,8.394380,16/36 (44.44%),"[1.         0.         0.         0.         0.         0.
 1.         0.         0.         1.         1.         0.
 0.         0.98742164 1.         0.         0.         0.
 0.5204009  0.15943408 0.18397341 0.         1.         0.96770875
 0.98742164 0.08348755 0.71853329 0.97814273 0.         0.
 0.29787746 0.         0.         0.3494273  1.         0.8420065 ]"
18,"1,470,603",0.000000,0.000000,36/36 (100.00%),"[1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0.
 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1.]"
19,"1,480,509",1.000000,20.821975,6/36 (16.67%),"[1.98074843e-01 3.72076538e-01 4.87447056e-01 9.56041206e-04
 1.00000000e+00 5.45551614e-01 0.00000000e+00 2.03943590e-02
 9.84146844e-01 0.00000000e+00 8.46085227e-03 0.00000000e+00
 1.00000000e+00 0.00000000e+00 9.06070219e-01 8.61103989e-02
 1.00000000e+00 1.57883597e-01 1.00000000e+00 0.00000000e+00
 4.70513839e-01 5.86563786e-03 5.76110785e-01 4.69451325e-01
 0.00000000e+00 9.60502516e-01 0.00000000e+00 5.56189143e-01
 1.55821090e-01 1.00000000e+00 0.00000000e+00 8.74994694e-01
 3.45048139e-01 6.98145227e-01 1.10585793e-01 1.00000000e+00]"
