Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,003,822",0.000000,0.156841,23/36 (63.89%),"[0.62170636 0.         0.06181516 1.         0.52424118 0.
 1.         0.10520038 0.95766826 0.30742391 0.35298163 1.
 0.         0.         0.81692738 0.         0.31126662 0.82757774
 1.         0.         0.         1.         0.         0.
 1.         0.         0.         1.         0.         0.
 0.         1.         1.         0.         1.         1.        ]"
2,"1,124,444",2.000000,20.739788,7/36 (19.44%),"[1.         0.         0.         1.         1.         0.
 0.79689871 0.         0.52472183 0.         0.         0.18321968
 0.         0.32922994 1.         0.         0.         0.68989664
 0.21000813 0.50785485 0.38841307 0.         0.48197413 0.65914621
 0.41368266 1.         0.18254853 0.         0.39176716 0.33893241
 0.81850669 0.         0.29759436 1.         0.98195332 0.25981443]"
3,"1,188,236",1.000000,20.227975,10/36 (27.78%),"[0.         1.         0.60813579 0.         0.71864551 1.
 1.         0.         0.22279785 1.         0.03516459 0.35718589
 0.55728743 0.25861054 0.08249447 0.93667077 0.37668176 0.09180763
 0.         0.         0.         0.38479639 1.         0.73337802
 1.         1.         0.         0.25625733 0.         0.
 0.         0.         0.95385231 1.         0.34305866 0.83270588]"
4,"1,191,192",0.000000,0.003018,36/36 (100.00%),"[1. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0.
 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.]"
5,"1,192,723",1.000000,20.204216,9/36 (25.00%),"[0.70063729 0.         0.         1.         0.55822806 0.36396905
 0.65053185 0.         1.         0.         0.         0.63942082
 0.19290774 0.         1.         0.         0.         0.78559034
 0.84511622 0.23299579 0.         0.         0.30858264 0.44573709
 0.92701977 0.25743726 0.35254887 0.         1.         0.6847683
 0.02955132 1.         1.         0.         0.1692345  0.01671973]"
6,"1,194,297",0.000000,0.995160,16/36 (44.44%),"[0.87237249 1.         0.42480653 0.         0.38328707 1.
 0.         0.30778273 0.18742969 0.72114625 0.29551721 1.
 1.         0.68333766 0.         1.         0.         0.
 0.         0.         0.86266308 0.         1.         1.
 0.         0.         0.50618304 0.         0.         0.
 1.         1.         0.         0.         1.         1.        ]"
7,"1,198,412",1.000000,18.566286,19/36 (52.78%),"[7.49994682e-01 4.22020282e-01 0.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 7.60067762e-02 8.33149884e-01
 5.26106004e-01 1.61158429e-05 0.00000000e+00 1.00000000e+00
 9.24739069e-01 5.35055226e-03 2.38027489e-01 0.00000000e+00
 0.00000000e+00 1.00000000e+00 9.87370628e-01 9.78588609e-03
 0.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00
 1.09804811e-02 0.00000000e+00 1.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00]"
8,"1,217,965",1.000000,20.154418,11/36 (30.56%),"[0.21752477 0.87280116 1.         0.01053127 1.         0.1279378
 1.         0.         0.01821033 0.01938523 0.82739584 0.3899602
 0.62193198 0.         0.         0.31610509 0.         0.
 0.         1.         1.         0.         0.96024741 0.57281809
 1.         0.         0.         0.         0.         0.31891855
 1.         0.         0.         0.79535391 1.         0.        ]"
9,"1,253,849",0.000000,2.124039,20/36 (55.56%),"[0.         1.         0.71845611 0.         0.         0.
 0.91027423 0.40250288 0.         0.         0.         1.
 0.85382706 0.31579958 0.         0.         0.         1.
 0.         0.62306995 0.         1.         1.         0.
 0.         0.83896058 0.         0.         0.         1.
 0.03001552 0.21015816 0.68522412 1.         0.         1.        ]"
10,"1,317,605",1.000000,20.350724,8/36 (22.22%),"[0.96887285 0.32963613 0.01413785 0.         0.         0.61695415
 0.8116665  0.20630477 0.04755565 1.         0.         0.55810283
 0.         0.46666503 0.         0.73477186 0.06835608 0.
 1.         1.         0.         0.         0.34239354 0.87085371
 0.16956363 0.03307715 0.         1.         0.         0.95150552
 0.89911853 1.         0.         1.         0.         0.        ]"
11,"1,332,159",1.000000,20.403971,11/36 (30.56%),"[0.12098846 0.         0.         0.24970562 0.         0.
 1.         0.34632518 0.08065929 0.         1.         1.
 0.55919649 0.         0.90132689 1.         0.         0.
 0.36434401 1.         0.         0.         1.         1.
 0.00350052 0.2290457  0.57114066 1.         0.         0.
 0.86832193 1.         0.01919681 0.         1.         0.8801486 ]"
12,"1,341,844",0.000000,5.184595,19/36 (52.78%),"[0.58497963 0.         1.         1.         0.         1.
 0.57732554 0.14572754 0.         0.         0.         1.
 0.41019132 0.51944035 0.83285475 0.         0.         0.
 0.90239639 0.25536213 0.         0.         1.         1.
 1.         0.3140356  0.59744581 0.53242234 0.         0.
 0.16742575 0.1115029  0.         0.         1.         1.        ]"
13,"1,343,094",1.000000,20.579924,11/36 (30.56%),"[0.         0.45248159 0.18270617 0.24638203 0.91657872 1.
 1.         0.         0.         0.93700765 0.         0.
 1.         0.         0.         0.74877992 0.16296689 0.
 0.         1.         0.         0.         0.79787953 0.63810964
 0.         0.         0.75353317 1.         0.         0.04652515
 1.         1.         0.         0.         0.6828305  1.        ]"
14,"1,350,652",0.000000,4.036063,22/36 (61.11%),"[0.         0.         0.         1.         0.         1.
 1.         0.         0.         1.         0.         1.
 1.         0.         0.46438878 0.         0.93610997 0.
 0.         1.         1.         0.24225405 0.67600633 0.
 1.         0.         0.03359816 0.37485503 0.         1.
 1.         0.         0.95318726 0.7799626  0.         0.63021383]"
15,"1,375,820",0.000000,0.000000,36/36 (100.00%),"[0. 1. 1. 0. 1. 1. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 1. 0. 1. 1.
 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 1.]"
16,"1,430,637",0.000000,0.227135,16/36 (44.44%),"[0.         0.         0.97206265 0.5286614  0.         1.
 0.         1.         0.         0.37756187 0.         1.
 0.         1.         0.         0.54395149 1.         0.
 0.         0.         0.91238387 0.         0.38392313 1.
 0.         0.00815356 1.         0.4798592  0.00294609 0.92796525
 0.54091597 0.72121977 0.21593738 0.66534677 0.97206265 0.        ]"
17,"1,454,003",0.000000,1.005433,16/36 (44.44%),"[1.         0.         0.         0.         0.         0.
 1.         0.         0.         1.         1.         0.
 0.         0.81123468 1.         0.         0.         0.
 0.74636899 0.         0.04533808 0.27235879 1.         0.75695612
 1.         0.15646532 0.74640409 1.         0.         0.47369767
 0.         0.37240665 0.35720097 0.3002462  1.         0.51750106]"
18,"1,470,603",0.000000,0.015645,36/36 (100.00%),"[1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0.
 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1.]"
19,"1,480,509",1.000000,21.124828,6/36 (16.67%),"[0.44992998 0.31213386 0.17097976 0.         0.54691775 0.62523322
 0.         0.62517899 1.         0.37956204 0.08515772 0.
 1.         0.         0.17858498 1.         1.         0.23019718
 1.         0.         0.56191282 0.30679802 0.35809977 0.
 0.         0.35754291 0.8265516  0.11194422 0.96578964 0.31241138
 0.67539446 0.7127364  0.         0.42988522 1.         0.        ]"
20,"1,505,558",2.000000,20.592749,7/36 (19.44%),"[0.         0.         0.         0.         0.11247639 0.
 0.68411272 1.         0.         0.91512654 0.99338944 0.
 0.         0.39001765 0.         0.41964585 0.         0.74114201
 0.         1.         0.77921914 0.4622523  0.         0.99389084
 0.         0.         0.34200985 0.39475523 0.         0.
 1.         1.         0.         0.         0.97714747 0.58555641]"
21,"1,554,862",2.000000,20.874816,7/36 (19.44%),"[1.         0.50518736 0.         1.         1.         0.
 0.         0.         0.         0.         0.         0.8834136
 1.         0.02477921 0.00483896 0.54922574 0.         0.66076043
 1.         0.         0.         0.90845677 0.         0.26488246
 0.         0.         0.59794068 0.23151735 0.55939334 0.4933501
 0.24635177 0.         1.         0.46675347 0.         0.        ]"
22,"1,568,229",0.000000,9.192761,18/36 (50.00%),"[1.         0.         1.         1.         0.         0.62116061
 1.         0.         0.         0.         0.45377005 1.
 0.         0.42935802 0.23888289 0.64778917 0.54609625 0.44354669
 0.         0.         0.21909517 0.         0.         0.65961905
 1.         1.         0.         0.         0.19041147 0.85136579
 0.         0.         0.         0.62263952 0.64941062 0.        ]"
23,"1,589,978",0.000000,5.293906,20/36 (55.56%),"[1.         0.         0.40064458 0.5890338  1.         0.34053964
 1.         0.         0.37940749 0.40765961 0.         0.66730206
 0.         0.74773401 0.         0.74393464 0.28896938 1.
 0.3559293  0.50772195 0.31993026 1.         0.         0.
 0.94196785 0.29260931 0.         0.         1.         1.
 0.96567892 0.         1.         1.         0.         0.        ]"
24,"1,605,903",1.000000,20.363433,8/36 (22.22%),"[0.11799682 0.86169735 0.80193191 0.         0.38151362 1.
 0.         0.28255972 0.47673422 0.         0.         1.
 1.         0.         1.         0.04725301 1.         0.30927483
 1.         0.         0.78572297 0.01462771 0.50475268 0.26605847
 0.         0.01043892 0.         0.         0.         0.936576
 0.         0.56744217 1.         0.00599615 0.         1.        ]"
25,"1,611,457",0.000000,8.408194,18/36 (50.00%),"[1.         0.         1.         0.         0.3462959  0.36993896
 1.         0.         1.         0.30789755 0.32406587 0.66819232
 0.         1.         0.         0.72184315 0.         1.
 0.         1.         0.         1.         0.18138766 0.38368622
 1.         0.         0.42824584 0.         0.43153146 1.
 1.         0.         1.         0.52973226 0.3093182  0.5673132 ]"
26,"1,615,209",2.000000,19.796417,9/36 (25.00%),"[0.01482839 0.64820524 1.         0.18615532 0.         0.09108969
 0.34067477 0.         0.04782358 0.         0.70115487 0.02811675
 0.20675792 0.         0.04047191 0.37427553 0.81687727 0.
 0.70188409 0.1427861  0.73409549 0.74102149 0.         0.
 0.96584775 0.36589397 0.         0.         1.         0.
 0.34125452 0.50233403 1.         0.         1.         0.        ]"
27,"1,700,818",0.000000,0.268945,24/36 (66.67%),"[0.         1.         1.         0.         1.         1.
 0.         0.         0.         1.         0.         0.
 1.         0.19659588 0.         1.         0.         0.
 0.6640023  0.         0.6764972  0.         0.         0.
 0.07932442 0.18017156 1.         0.         1.         1.
 1.         0.5754792  0.37478673 0.21192614 0.         0.        ]"
28,"1,744,893",0.000000,0.121943,18/36 (50.00%),"[0.         0.74315573 1.         0.21306906 1.         0.59982091
 0.68313105 0.29636323 0.         0.92859708 0.01263506 0.00135005
 0.85418456 0.         0.         0.5770263  0.38725273 0.
 0.         1.         1.         0.         1.         0.91099666
 0.         0.         0.         0.         0.         0.
 0.         1.         1.         0.         1.         1.        ]"
29,"1,771,362",1.000000,19.457688,15/36 (41.67%),"[0.         0.18983452 0.         0.         0.84626    0.55739374
 0.         0.         1.         1.         0.         0.
 1.         0.88525796 0.         0.         0.60439051 0.66668973
 0.         0.         0.         1.         0.         0.
 0.19944457 0.         0.         1.         0.         0.28494763
 0.45090622 0.         0.02588001 0.         0.60694205 0.84615551]"
30,"1,807,054",0.000000,0.055913,27/36 (75.00%),"[0.15758965 0.07296129 0.51382522 0.89661809 0.         0.
 0.23017798 0.42847021 0.09101299 0.         1.         1.
 0.         0.         0.55854922 0.69527185 0.         0.
 1.         1.         0.         0.         1.         1.
 0.         0.         1.         1.         0.         0.
 1.         1.         0.         0.         1.         1.        ]"
31,"1,821,140",0.000000,3.851082,20/36 (55.56%),"[0.48929695 0.6802907  0.         1.         0.         1.
 0.46329348 0.63113117 0.         1.         0.         1.
 1.         0.35775762 0.96600388 0.         0.         0.
 0.88736514 0.2117728  0.69794821 0.24997615 0.         1.
 0.36804076 0.88158938 0.4661539  0.         0.         1.
 0.15318526 1.         0.         1.         1.         0.        ]"
32,"1,823,388",1.000000,18.201198,19/36 (52.78%),"[0.         0.         0.         1.         1.         0.
 0.         1.         1.         0.         0.         0.
 0.08759719 0.         0.         1.         1.         0.
 1.         0.33662832 0.97998601 0.         0.         0.83379361
 0.53139149 0.41888038 1.         0.         0.4107457  1.
 0.11241462 0.82471217 0.38372566 0.5525085  1.         0.16137349]"
33,"1,831,701",2.000000,20.984869,6/36 (16.67%),"[1.         0.         0.43826804 0.13125172 0.01625939 1.
 1.         0.         0.01363635 0.67252631 1.         0.
 0.         0.32505675 0.53919827 0.45850578 0.41777652 1.
 0.21212231 0.22889807 1.         0.23328362 0.23392191 1.
 0.         0.84699549 0.2812797  0.12536338 0.         0.12858841
 0.43530579 0.74402388 0.         0.32191337 0.53446771 0.66427762]"
34,"1,905,338",1.000000,19.389451,12/36 (33.33%),"[0.51963849 0.13281568 1.         0.91991895 0.00520577 0.
 0.         1.         0.4676044  0.46851276 0.91991895 0.
 0.19935417 1.         0.         0.         0.9860882  0.45095175
 0.01073035 0.         1.         1.         0.         0.17192718
 0.91991895 1.         0.         0.         0.45235165 0.
 0.         0.05616233 0.         0.97237505 1.         0.10329665]"
35,"1,925,806",0.000000,13.736106,14/36 (38.89%),"[1.         1.         0.         0.         1.         0.80870529
 0.         0.         1.         1.         0.         0.17487016
 0.52711279 1.         0.         0.         0.49776854 0.90524161
 0.         0.204401   0.58014301 1.         0.07571475 0.80126861
 0.93228079 0.71869017 0.         0.         0.16969436 0.34952078
 0.37593114 0.39063241 0.80722563 0.69893471 0.         0.45507855]"
36,"1,945,389",0.000000,0.016038,36/36 (100.00%),"[1. 1. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0.
 1. 1. 0. 0. 1. 1. 0. 0. 1. 1. 0. 0.]"
37,"1,945,835",2.000000,20.404182,7/36 (19.44%),"[1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 5.39745641e-04 1.00000000e+00 2.83499030e-01
 3.72785282e-01 0.00000000e+00 6.61363569e-01 0.00000000e+00
 0.00000000e+00 9.24384906e-01 1.00000000e+00 6.28564669e-03
 2.30921335e-01 8.85518852e-01 4.25425136e-01 0.00000000e+00
 1.98197853e-02 0.00000000e+00 0.00000000e+00 7.45585853e-01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 2.34956530e-01
 1.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 8.22718701e-01 0.00000000e+00]"
38,"1,966,415",0.000000,0.015625,28/36 (77.78%),"[1.         0.         0.         1.         1.         0.
 0.52535097 0.15419395 0.         0.         0.         1.
 0.         0.97223388 0.         1.         0.         1.
 0.25458948 1.         0.         1.         0.         0.
 0.50787244 0.         1.         0.         1.         1.
 1.         0.         1.         0.         0.         0.        ]"
39,"10,016,966",0.000000,0.047307,27/36 (75.00%),"[7.33039151e-01 5.45360154e-01 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 8.51652727e-02 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00
 9.32690668e-01 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 4.82749482e-01
 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00
 5.73216615e-04 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 5.18048446e-01 6.22816610e-01
 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00]"
40,"10,021,279",1.000000,19.419967,16/36 (44.44%),"[0.82628723 0.         0.         0.01225345 1.         0.82628723
 0.72819431 0.46533097 0.43658518 0.09393119 0.         0.
 0.13702289 1.         0.09265715 0.06995894 0.         0.70537977
 0.         0.82628723 0.         0.38987703 0.         0.58454762
 1.         0.         1.         0.         1.         0.
 1.         0.         1.         0.         1.         0.        ]"
41,"10,043,693",0.000000,0.235342,16/36 (44.44%),"[0.         0.         0.         0.         0.         1.
 0.         1.         1.         0.         0.         1.
 0.62118897 0.         0.         1.         1.         0.
 0.85058214 0.19196472 0.71453262 0.29097996 0.37841167 0.62058052
 0.22087555 0.32105894 1.         0.         0.         1.
 0.72871708 0.64075857 0.         0.67455992 0.61975019 0.        ]"
42,"10,068,202",0.000000,0.019587,36/36 (100.00%),"[0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 1. 1.
 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1.]"
43,"10,070,131",1.000000,19.106382,15/36 (41.67%),"[2.17379887e-02 3.22724369e-03 5.22256527e-01 7.39505491e-01
 4.87945585e-01 1.00000000e+00 9.31895824e-01 5.23526845e-01
 3.26875730e-01 3.97224578e-01 0.00000000e+00 5.56770133e-01
 0.00000000e+00 0.00000000e+00 1.00000000e+00 9.31895824e-01
 8.39040511e-03 3.12702993e-01 1.00000000e+00 1.00000000e+00
 0.00000000e+00 1.31231413e-04 2.15804458e-01 1.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 1.00000000e+00 0.00000000e+00 2.58072053e-01]"
