Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,003,822",0.000000,0.034534,23/36 (63.89%),"[5.56949337e-01 0.00000000e+00 2.64682449e-01 1.00000000e+00
 1.00000000e+00 2.97758625e-01 1.00000000e+00 3.14150777e-01
 1.00000000e+00 2.76850250e-01 0.00000000e+00 5.30939149e-01
 0.00000000e+00 0.00000000e+00 5.25680673e-01 0.00000000e+00
 4.57837218e-05 1.00000000e+00 1.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00]"
2,"1,124,444",1.000000,21.767275,7/36 (19.44%),"[0.57279039 0.         0.         1.         1.         0.
 0.71353004 0.10494798 0.67208327 0.         0.         0.
 0.33486754 0.47779909 1.         0.00170297 0.8057819  1.
 1.         0.56314238 0.05663148 0.33682026 0.14399176 0.
 0.44637831 0.37010753 0.         0.38104469 0.50609452 0.25317399
 0.37156274 0.60391837 1.         0.45186871 0.80583009 0.01649485]"
3,"1,188,236",1.000000,20.383452,10/36 (27.78%),"[0.7801906  0.96303947 0.09588081 0.         0.90745242 1.
 0.01579861 0.         0.46733978 0.52123532 0.1358427  0.
 0.95890175 0.75307393 0.45973576 0.84742297 0.         0.25618033
 0.         0.         0.         0.30302364 0.73533413 0.79211955
 1.         1.         0.         0.14211216 0.         0.
 0.         0.         0.         0.52374446 0.86449658 0.302376  ]"
4,"1,191,192",0.000000,0.000000,36/36 (100.00%),"[1. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0.
 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.]"
5,"1,192,723",1.000000,20.753609,9/36 (25.00%),"[0.9446242  1.         0.         0.00237452 1.         0.83071193
 0.         0.         1.         0.         0.         0.
 0.11614209 0.         1.         0.         0.37232781 1.
 1.         0.54309849 0.         0.44786722 0.10282044 0.62444939
 0.         0.0848246  0.         0.36485263 0.17318921 0.02327332
 0.56227432 0.61991307 0.04895619 0.68210122 0.96867733 0.        ]"
6,"1,194,297",0.000000,8.036431,16/36 (44.44%),"[0.59687295 0.79004521 0.21428799 0.         0.15625674 1.
 0.         0.29113309 0.00422488 0.51836435 0.42364698 1.
 0.51968581 0.99442062 0.01969453 0.58469449 0.         0.
 0.         0.         0.99241347 0.         1.         1.
 0.         0.         0.75823133 0.08612077 0.         0.
 1.         1.         0.         0.         1.         1.        ]"
7,"1,198,412",0.000000,2.147318,19/36 (52.78%),"[0.9001552  0.2557629  0.         1.         1.         0.
 1.         0.16393869 0.60956093 0.         0.         1.
 0.33688289 0.03727083 0.81826032 0.         0.         1.
 1.         0.7780057  0.         1.         1.         0.
 0.         0.14491909 1.         0.         0.         1.
 0.         0.         1.         0.         0.         1.        ]"
8,"1,217,965",1.000000,20.005060,11/36 (30.56%),"[0.         0.80536425 0.6591467  0.         1.         1.
 0.84796303 0.04200252 0.         0.24580627 0.25912175 0.02069901
 0.82234704 0.         0.         0.90287435 0.90381056 0.23636836
 0.         1.         1.         0.         0.00780715 0.
 1.         0.         0.         0.         0.00864851 0.
 1.         0.         0.         0.19039938 0.98043641 0.54832289]"
9,"1,253,849",0.000000,9.849230,20/36 (55.56%),"[0.27700407 0.69998846 1.         0.         0.         0.
 0.55664893 0.27191749 0.         0.         0.         1.
 0.82255547 0.28909755 0.         0.         0.         1.
 0.36442188 0.7970458  0.         1.         1.         0.
 0.09925994 0.6204706  0.04604311 0.         0.         1.
 0.27914154 0.01879542 0.58635577 0.62473873 0.         1.        ]"
10,"1,317,605",1.000000,20.749015,8/36 (22.22%),"[0.4496699  0.         0.02489094 0.29896755 1.         1.
 0.79531254 0.99134813 0.44506503 0.90179128 0.03885697 0.08558999
 0.         0.0649392  0.         1.         0.37167529 0.60485774
 1.         1.         0.32772236 0.         0.18392513 0.
 0.46860742 0.00145173 0.         1.         0.         1.
 0.65574397 0.80963431 0.         1.         0.         0.60143429]"
11,"1,332,159",0.000000,1.309148,11/36 (30.56%),"[0.         0.         0.57463378 0.98741355 0.         0.
 0.         0.07387141 0.         0.         1.         1.
 1.         0.02274349 0.67811419 1.         0.         0.
 1.         0.         0.         0.27087651 0.54971487 1.
 0.         0.         1.         0.90217325 0.         0.11251748
 0.94045575 0.83914456 0.         0.02419791 0.92949356 0.94299639]"
12,"1,341,844",1.000000,19.231392,19/36 (52.78%),"[0.22745341 0.         1.         1.         0.         1.
 1.         1.         0.         0.         0.         1.
 0.17620333 0.18222053 0.72872938 1.         0.         0.
 1.         0.23927187 0.         0.         1.         1.
 0.53446502 0.13854233 0.70942919 0.         0.         0.
 0.00622718 0.         0.         0.         1.         1.        ]"
13,"1,343,094",2.000000,20.267516,11/36 (30.56%),"[0.         1.         1.         0.32821781 0.         0.09865387
 1.         0.         0.         0.63764925 0.05184428 0.
 1.         0.         1.         0.25378796 1.         1.
 0.         0.         1.         0.09764897 0.         0.03535733
 0.         0.         0.         0.08530269 0.06948828 1.
 1.         1.         0.         0.03757409 0.         1.        ]"
14,"1,350,652",0.000000,0.273475,22/36 (61.11%),"[0.         0.         0.         1.         0.         1.
 1.         0.         0.         1.         0.         1.
 1.         0.         0.         0.         1.         0.
 0.         0.79997479 1.         0.         1.         0.37472087
 1.         0.         0.         0.40954623 0.         0.85136261
 1.         0.         0.53443698 0.9809784  0.48991497 0.66725218]"
15,"1,375,820",0.000000,0.006000,36/36 (100.00%),"[0. 1. 1. 0. 1. 1. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 1. 0. 1. 1.
 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 1.]"
16,"1,430,637",1.000000,19.337262,16/36 (44.44%),"[0.         0.         0.72131445 0.66916787 0.         1.
 0.         1.         0.         0.31604492 0.         1.
 0.         1.         0.         1.         0.36072499 0.
 0.         0.         0.         0.71490588 0.         1.
 0.         0.81794259 0.11956792 0.17818837 0.02330556 1.
 0.46034452 0.76050833 0.16415503 0.79937904 0.66125337 0.14397429]"
17,"1,454,003",1.000000,19.422777,16/36 (44.44%),"[1.         0.         0.         0.         0.         0.
 1.         0.         0.         1.         1.         0.
 0.         0.4393339  0.88372574 0.         0.         1.
 1.         1.         0.         0.64905123 0.06014903 1.
 0.42160117 0.31002014 0.20236841 0.         0.         0.
 1.         1.         0.22290526 1.         0.98436609 0.        ]"
18,"1,470,603",0.000000,0.016037,36/36 (100.00%),"[1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0.
 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1.]"
