Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,003,822",0.000000,2.356647,23/36 (63.89%),"[0.50323049 0.         0.37214719 0.89690664 0.64128063 0.
 1.         0.14031026 0.6152686  0.31647631 0.41138373 1.
 0.         0.         1.         0.         0.         1.
 1.         0.         0.         1.         0.         0.
 1.         0.         0.         1.         0.         0.
 0.         1.         1.         0.         1.         1.        ]"
2,"1,124,444",1.000000,21.274545,7/36 (19.44%),"[0.22841101 0.         0.         1.         1.         0.
 1.         0.         0.         0.         0.         0.57466007
 1.         0.         1.         0.90785538 0.34069012 1.
 0.10011594 0.         0.1232311  0.24346072 0.30137408 0.13786301
 0.64940048 0.         0.17618403 0.15466279 1.         0.76666139
 0.91382546 0.3408637  1.         0.5897967  0.22163505 0.18886011]"
3,"1,188,236",1.000000,20.723521,10/36 (27.78%),"[0.46098246 1.         0.71494478 0.         0.26146645 1.
 0.44272681 0.         0.         0.58065545 0.         1.
 0.62034441 0.63899036 0.10828835 0.         0.98451256 0.
 0.         0.         0.44940047 0.         0.58472335 0.27138835
 1.         1.         0.         0.38956907 0.         0.75235094
 0.         0.         0.80103963 1.         0.         0.87189322]"
4,"1,191,192",0.000000,0.015811,36/36 (100.00%),"[1. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0.
 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.]"
5,"1,192,723",1.000000,21.282463,9/36 (25.00%),"[0.58879925 0.         0.         0.99864614 0.50811922 0.
 0.7464575  0.         1.         0.         0.         0.40485995
 0.         0.         1.         0.         0.68218571 0.64745464
 1.         1.         0.         0.69312657 0.         0.33626915
 0.07111012 0.24770025 0.91577471 0.16028306 0.         0.98955562
 0.92341066 0.72206508 0.00800974 0.         0.35522119 0.54148644]"
6,"1,194,297",1.000000,18.472367,16/36 (44.44%),"[1.         1.         0.00960033 0.         0.55466747 0.00807526
 0.         0.         0.         0.         1.         0.
 0.87442925 1.         0.23866566 0.1026987  0.         0.
 0.40743721 0.         0.54421867 0.         1.         1.
 0.         0.         0.87442925 0.         0.         0.
 1.         1.         0.         0.         1.         1.        ]"
7,"1,198,412",0.000000,0.149075,19/36 (52.78%),"[0.586901   0.2301525  0.20950069 0.59022298 0.8215549  0.
 0.60601459 0.3404358  0.93121504 0.         0.         1.
 0.018038   0.47857122 0.90176    0.         0.         1.
 0.92636121 1.         0.         1.         1.         0.
 0.42624474 0.02047687 1.         0.         0.         1.
 0.         0.         0.79474237 0.         0.         1.        ]"
8,"1,217,965",0.000000,4.983108,11/36 (30.56%),"[0.44841378 1.         1.         0.         0.         0.15507677
 0.54204996 0.         0.         1.         0.29901889 0.82064972
 0.64880205 0.         0.         0.70640328 0.4505516  1.
 0.         1.         1.         0.         1.         0.45896597
 1.         0.         0.         0.         1.         0.23248884
 1.         0.         1.         1.         0.02848429 0.        ]"
9,"1,253,849",0.000000,0.157356,20/36 (55.56%),"[0.33844365 0.93928753 0.98538183 0.         0.         0.
 1.         0.47443679 0.         0.         0.         1.
 0.9224969  0.         0.         0.         0.         1.
 0.         0.98229158 0.         1.         1.         0.
 0.26606593 1.         0.48258184 0.         0.         1.
 0.11193929 0.30126432 1.         0.86359276 0.         1.        ]"
10,"1,317,605",1.000000,19.975397,8/36 (22.22%),"[0.68559634 0.53544005 0.45098869 0.3853533  0.84605513 0.86968709
 0.45255184 0.26224805 0.89756488 1.         0.         0.15534446
 1.         0.01603955 0.         0.36109673 0.4207011  0.97470139
 1.         0.         0.01332363 0.         0.         0.13583374
 0.26067719 1.         0.         1.         0.         0.82455826
 0.4717906  0.90362814 0.         1.         0.         1.        ]"
11,"1,332,159",1.000000,19.923863,11/36 (30.56%),"[5.86886496e-01 0.00000000e+00 1.00000000e+00 7.36032411e-01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 5.14408980e-04
 1.39476535e-01 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 5.27191794e-01 1.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 9.22740999e-01
 0.00000000e+00 0.00000000e+00 8.64543909e-01 1.00000000e+00
 0.00000000e+00 2.67744137e-01 1.00000000e+00 1.00000000e+00
 0.00000000e+00 2.31254043e-02 1.00000000e+00 1.00000000e+00
 4.20662734e-01 2.29308423e-01 8.03400188e-01 7.03050905e-01]"
12,"1,341,844",0.000000,4.964800,19/36 (52.78%),"[0.50552883 0.         1.         1.         0.         1.
 0.78646484 0.25950556 0.         0.         0.         1.
 0.         1.         1.         0.         0.         0.
 0.82878053 0.45485913 0.38051464 0.         1.         1.
 0.55167258 0.28356898 0.77743931 0.75441969 0.         0.
 0.         0.         0.3140972  0.         1.         1.        ]"
