Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,003,822",0.000000,0.332996,23/36 (63.89%),"[1.         0.         0.         0.80694491 0.61987754 0.08603336
 1.         0.         0.93764188 0.07791203 0.19870514 1.
 0.         0.         0.7454639  0.         0.         0.57379414
 1.         0.         0.         1.         0.         0.
 1.         0.         0.         1.         0.         0.
 0.         1.         1.         0.         1.         1.        ]"
2,"1,124,444",2.000000,19.387781,7/36 (19.44%),"[0.         0.         0.         1.         1.         0.
 1.         0.         0.07675889 0.         0.         0.
 1.         0.17278643 1.         1.         0.02607665 0.
 0.09904242 0.         0.32882068 0.         0.54816633 1.
 0.14980427 0.48805078 1.         0.01832617 0.12530822 0.
 0.56864223 1.         0.02935199 1.         1.         0.19562949]"
3,"1,188,236",1.000000,19.781466,10/36 (27.78%),"[9.93621673e-01 1.00000000e+00 0.00000000e+00 0.00000000e+00
 7.22479918e-01 6.53985393e-01 0.00000000e+00 0.00000000e+00
 2.32399737e-03 1.00000000e+00 3.01304436e-01 0.00000000e+00
 8.00572641e-01 1.00000000e+00 2.13670471e-01 2.89599026e-04
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 7.55422591e-04 6.57686334e-01 7.80988483e-01 3.44596516e-01
 1.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 6.82797517e-01 1.00000000e+00 4.04257361e-01 5.12884559e-01]"
4,"1,191,192",0.000000,0.015647,36/36 (100.00%),"[1. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0.
 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.]"
5,"1,192,723",1.000000,19.320859,9/36 (25.00%),"[8.74780777e-01 0.00000000e+00 0.00000000e+00 4.79269165e-01
 1.00000000e+00 6.98817812e-01 1.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 1.32401963e-01
 0.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 1.00000000e+00 5.51847601e-01 6.49820721e-01 1.00000000e+00
 0.00000000e+00 7.67018241e-04 0.00000000e+00 0.00000000e+00
 3.19859501e-01 0.00000000e+00 6.52545148e-01 2.74253507e-01
 3.06085579e-03 4.49633113e-01 0.00000000e+00 4.89983981e-01
 1.00000000e+00 1.43454137e-04 8.60320595e-01 9.88031360e-01]"
6,"1,194,297",1.000000,19.433583,16/36 (44.44%),"[0.94459402 0.02448611 0.02941086 0.6782716  0.20372701 1.
 0.4351399  0.46488506 0.08919051 0.50495726 0.11745469 0.7315042
 0.4671503  0.90675039 0.93999344 0.         0.         0.
 1.         0.         0.         0.         1.         1.
 0.         0.         0.5217216  0.50475793 0.         0.
 1.         1.         0.         0.         1.         1.        ]"
7,"1,198,412",0.000000,8.266769,19/36 (52.78%),"[0.70687444 0.15899941 0.29758069 0.78546066 0.97702031 0.
 0.73070117 0.32472496 0.7633881  0.30413946 0.         1.
 0.26962459 0.28720432 1.         0.         0.         1.
 0.84535403 1.         0.         1.         1.         0.
 0.23047306 0.06399047 1.         0.         0.         1.
 0.         0.         0.77595478 0.         0.         1.        ]"
8,"1,217,965",1.000000,19.561393,11/36 (30.56%),"[0.00000000e+00 3.07867716e-01 5.44013196e-01 5.48261277e-01
 0.00000000e+00 6.30430987e-01 5.46557094e-01 6.16395077e-01
 9.64712880e-02 1.35310292e-01 0.00000000e+00 1.00000000e+00
 2.42128893e-01 0.00000000e+00 0.00000000e+00 2.93831843e-01
 1.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 1.00000000e+00 4.24029485e-02
 1.00000000e+00 0.00000000e+00 0.00000000e+00 3.43587203e-01
 1.15222911e-01 4.13724156e-01 1.00000000e+00 0.00000000e+00
 5.75044164e-01 1.00000000e+00 6.08953276e-04 4.56663711e-01]"
9,"1,253,849",0.000000,0.204124,20/36 (55.56%),"[0.27795501 0.94251994 0.81017448 0.         0.         0.
 0.82279241 0.04024671 0.         0.         0.         1.
 1.         0.         0.         0.         0.         1.
 0.         0.91054815 0.         1.         1.         0.
 0.         0.80467506 0.47669125 0.         0.         1.
 0.         0.00390877 1.         0.66474831 0.         1.        ]"
10,"1,317,605",1.000000,19.533787,8/36 (22.22%),"[0.24164959 0.60848592 1.         0.48809657 0.         0.55050504
 0.37442433 0.37085307 0.01605402 1.         0.26080535 0.73186553
 0.0430794  1.         0.         0.79105797 0.         0.41491163
 0.20289606 0.71848808 0.24091264 0.         0.04041096 1.
 1.         0.40486376 0.         1.         0.         0.67493559
 1.         0.28862846 0.         1.         0.         0.05095796]"
