Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,003,822",0.000000,0.339451,23/36 (63.89%),"[1.         0.         0.11167557 1.         0.66538178 0.18287218
 1.         0.27663089 0.5556031  0.         0.06858318 0.72114115
 0.         0.         0.61694022 0.         0.         0.74729838
 1.         0.         0.         1.         0.         0.
 1.         0.         0.         1.         0.         0.
 0.         1.         1.         0.         1.         1.        ]"
2,"1,124,444",1.000000,21.537975,7/36 (19.44%),"[1.         0.         0.         1.         1.         0.
 0.00470579 0.90826306 1.         0.         0.         1.
 0.52092327 0.         0.33941776 0.         0.         0.7588265
 1.         0.05889597 0.93651009 0.         0.23013441 0.
 0.         0.         0.83889801 0.         0.         0.
 1.         0.96964515 0.14442925 0.41902879 0.83203021 1.        ]"
3,"1,188,236",2.000000,21.194546,10/36 (27.78%),"[1.         0.44692051 0.52235346 0.         0.93736354 0.00439361
 1.         0.         0.         0.         1.         0.40649313
 0.38982715 0.8841665  0.73405505 0.         0.48113329 0.
 0.         0.         0.16193646 0.         0.64453826 0.62016006
 1.         1.         0.         0.37856943 0.         0.
 0.         0.         0.48983573 0.07824804 0.60839317 0.84903205]"
4,"1,191,192",0.000000,0.016415,36/36 (100.00%),"[1. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0.
 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.]"
5,"1,192,723",1.000000,20.398648,9/36 (25.00%),"[7.07547832e-01 8.37856064e-01 0.00000000e+00 2.25759567e-01
 0.00000000e+00 6.97383696e-01 2.19054300e-01 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 8.92716282e-01 0.00000000e+00 1.00000000e+00 0.00000000e+00
 5.94961584e-01 0.00000000e+00 7.75471747e-01 0.00000000e+00
 0.00000000e+00 7.25145473e-02 6.42315527e-01 1.19549361e-01
 0.00000000e+00 1.39127022e-03 0.00000000e+00 6.68772579e-01
 2.84371738e-01 2.77098120e-01 1.00000000e+00 1.00000000e+00
 4.64913873e-01 8.17179665e-01 4.34525830e-06 1.88356073e-01]"
6,"1,194,297",1.000000,18.593482,16/36 (44.44%),"[9.93860724e-01 1.98400166e-01 3.06802429e-01 7.49524868e-01
 5.10446686e-01 1.29674151e-01 6.39650450e-01 4.94017025e-01
 4.38637068e-01 4.84220375e-01 4.34909495e-01 0.00000000e+00
 8.65483054e-04 3.97464453e-01 1.00000000e+00 6.74338547e-01
 0.00000000e+00 0.00000000e+00 1.07737963e-01 0.00000000e+00
 2.02427972e-01 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 6.39441662e-01 5.18195563e-01
 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00]"
7,"1,198,412",1.000000,17.753466,19/36 (52.78%),"[1.         0.64399458 0.         0.50884453 0.94083941 0.
 0.05772047 0.         0.13916113 0.0340922  0.         1.
 0.         1.         1.         0.         0.         1.
 0.57919451 0.49024897 0.         1.         1.         0.
 0.         0.78847626 1.         0.         0.         1.
 0.         0.         0.         0.         0.         1.        ]"
8,"1,217,965",1.000000,19.480797,11/36 (30.56%),"[7.04649601e-01 0.00000000e+00 6.94342879e-01 9.87686996e-01
 4.44271177e-01 4.17755818e-01 1.00000000e+00 3.22383931e-01
 2.35679599e-01 3.64830616e-01 6.49007304e-01 7.70461203e-01
 3.96471586e-01 0.00000000e+00 0.00000000e+00 7.09969504e-01
 1.95560502e-01 2.43152525e-01 0.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 3.09413005e-05 8.69409099e-01
 1.00000000e+00 0.00000000e+00 0.00000000e+00 8.32499158e-01
 4.97829911e-01 6.89769431e-01 1.00000000e+00 0.00000000e+00
 1.87706603e-01 1.00000000e+00 1.20151730e-02 4.92227108e-01]"
9,"1,253,849",1.000000,16.111814,20/36 (55.56%),"[0.         1.         0.0417486  0.         0.         0.
 0.         1.         0.         0.         0.         1.
 0.82699362 0.         0.         0.         0.         1.
 0.91827313 0.         0.         1.         1.         0.
 0.         0.29518382 1.         0.         0.         1.
 0.         0.09448554 1.         0.33439612 0.         1.        ]"
10,"1,317,605",1.000000,20.063172,8/36 (22.22%),"[0.         0.00102824 1.         0.04552341 0.89916248 1.
 0.93824191 0.97433426 0.04742649 1.         0.         0.24864866
 0.19919867 0.42249256 0.         0.97304336 0.38705368 0.8628893
 0.         0.67578934 0.65867518 0.         0.28036945 0.51957756
 0.85249502 0.06438221 0.         1.         0.         0.
 1.         0.3558653  0.         1.         0.         0.        ]"
11,"1,332,159",1.000000,20.000773,11/36 (30.56%),"[0.2773961  0.83668826 0.19620074 0.89629955 0.         0.
 0.         0.96015967 0.         0.         1.         1.
 0.28662892 0.10166505 1.         1.         0.         0.
 0.84383319 0.25185449 0.         0.34261785 0.67426695 1.
 0.94349263 0.09912325 0.34280359 0.84633608 0.         0.43186992
 0.06180488 0.60450427 0.97139366 0.08834991 0.63729173 1.        ]"
12,"1,341,844",0.000000,0.252018,19/36 (52.78%),"[1.         0.         1.         1.         0.         1.
 0.84977806 0.03879397 0.         0.         0.         1.
 0.32381939 1.         0.93857539 0.0888511  0.         0.
 0.84977806 0.         0.04980181 0.         1.         1.
 1.         0.01677173 1.         1.         0.         0.
 0.         0.44323481 0.19935695 0.         1.         1.        ]"
13,"1,343,094",1.000000,19.980510,11/36 (30.56%),"[0.00000000e+00 8.89673053e-01 2.45775794e-01 1.00000000e+00
 9.34042076e-01 0.00000000e+00 1.00000000e+00 0.00000000e+00
 1.00000000e+00 3.64178358e-01 1.83637523e-01 1.26920000e-05
 1.00000000e+00 0.00000000e+00 5.53997826e-01 2.38828779e-02
 3.20842723e-01 9.79010383e-01 0.00000000e+00 2.74610060e-01
 2.19578188e-01 5.91663727e-01 3.30240940e-01 9.03349392e-01
 0.00000000e+00 0.00000000e+00 3.87138057e-01 8.44498706e-01
 4.67143300e-01 2.02957753e-01 1.00000000e+00 1.00000000e+00
 0.00000000e+00 9.48809686e-02 1.00000000e+00 6.19695181e-01]"
14,"1,350,652",0.000000,0.125432,22/36 (61.11%),"[0.         0.         0.         1.         0.         1.
 1.         0.         0.         1.         0.         1.
 1.         0.         0.43827523 0.         1.         0.
 0.         0.79944571 1.         0.26083474 0.83325405 0.28820548
 1.         0.         0.39030157 0.22854016 0.         0.72598355
 1.         0.         0.70718917 1.         0.         1.        ]"
15,"1,375,820",0.000000,0.000000,36/36 (100.00%),"[0. 1. 1. 0. 1. 1. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 1. 0. 1. 1.
 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 1.]"
