Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,003,822",0.000000,0.128840,23/36 (63.89%),"[1.0000 0.0000 0.0282 0.6972 0.7083 0.0000 1.0000 0.0000 0.9844 0.0000
 0.3188 1.0000 0.0000 0.0000 1.0000 0.0000 0.0000 1.0000 1.0000 0.0000
 0.0000 1.0000 0.0000 0.0000 1.0000 0.0000 0.0000 1.0000 0.0000 0.0000
 0.0000 1.0000 1.0000 0.0000 1.0000 1.0000]"
2,"1,124,444",2.000000,18.450150,7/36 (19.44%),"[0.0000 0.0000 0.0000 1.0000 1.0000 0.0000 1.0000 0.0000 0.0000 0.0000
 0.0000 0.0000 1.0000 0.0000 0.2180 0.0000 0.0465 0.3958 0.0000 0.0000
 0.8535 0.9005 0.3401 1.0000 0.1930 0.9006 0.0000 0.0000 0.0000 0.8661
 0.0382 0.5925 0.0315 1.0000 1.0000 0.0712]"
3,"1,188,236",1.000000,17.241013,10/36 (27.78%),"[0.0000 1.0000 1.0000 0.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.1651
 1.0000 0.0000 0.5223 0.6660 0.0000 0.0000 0.0000 0.5139 0.0000 0.0000
 0.0000 0.6430 1.0000 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 1.0000
 0.0000 0.0000 0.7687 0.7551 0.0000 1.0000]"
4,"1,191,192",0.000000,0.031251,36/36 (100.00%),"[1.0000 1.0000 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000
 0.0000 1.0000 0.0000 1.0000 0.0000 1.0000 0.0000 1.0000 0.0000 1.0000
 0.0000 1.0000 0.0000 0.0000 1.0000 0.0000 1.0000 0.0000 1.0000 0.0000
 1.0000 0.0000 1.0000 0.0000 1.0000 0.0000]"
5,"1,192,723",1.000000,16.523869,9/36 (25.00%),"[0.0004 0.0756 0.0000 0.9596 1.0000 0.0000 1.0000 0.0000 1.0000 0.0000
 0.0000 0.0000 0.8131 0.0000 1.0000 0.0000 0.9300 1.0000 0.3419 0.0000
 0.0000 1.0000 0.0000 0.0073 0.7607 0.8263 0.0285 0.0000 1.0000 1.0000
 0.1558 0.0000 1.0000 0.9176 0.2635 0.0000]"
6,"1,194,297",1.000000,16.062460,16/36 (44.44%),"[0.0000 0.0000 0.0000 1.0000 0.9830 0.0000 0.9520 0.7761 0.0000 0.0190
 0.0000 0.2702 0.0000 0.0000 0.7807 1.0000 0.0000 0.0000 1.0000 0.0000
 0.0000 0.0000 1.0000 1.0000 0.0000 0.0000 0.8226 0.6321 0.0000 0.0000
 1.0000 1.0000 0.0000 0.0000 1.0000 1.0000]"
7,"1,198,412",0.000000,0.078555,19/36 (52.78%),"[1.0000 0.4305 0.3726 1.0000 1.0000 0.0000 1.0000 0.0000 0.6901 0.0072
 0.0000 1.0000 0.0000 0.0000 1.0000 0.0000 0.0000 1.0000 0.6019 0.8603
 0.0000 1.0000 1.0000 0.0000 0.0000 0.2109 1.0000 0.0000 0.0000 1.0000
 0.0000 0.0000 1.0000 0.0000 0.0000 1.0000]"
8,"1,217,965",1.000000,16.592503,11/36 (30.56%),"[0.0000 0.6108 0.5993 0.2531 1.0000 0.0000 1.0000 0.0000 0.0000 0.0000
 1.0000 0.0000 0.9201 0.0000 0.0000 1.0000 0.0112 0.0000 0.0000 1.0000
 1.0000 0.0000 0.8826 0.8896 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000
 1.0000 0.0000 0.0000 0.4051 0.9341 0.7697]"
9,"1,253,849",1.000000,14.217707,20/36 (55.56%),"[0.7488 0.9054 0.0000 0.0000 0.0000 0.0000 0.0387 0.0000 0.0000 0.0000
 0.0000 1.0000 0.9054 0.7874 0.0000 0.0000 0.0000 1.0000 0.0000 0.0000
 0.0000 1.0000 1.0000 0.0000 1.0000 0.1968 0.7302 0.0000 0.0000 1.0000
 0.9210 0.4495 0.2564 0.0000 0.0000 1.0000]"
10,"1,317,605",2.000000,15.702298,8/36 (22.22%),"[0.0000 1.0000 0.0000 1.0000 1.0000 0.0000 0.0000 1.0000 0.0680 0.0000
 0.1498 0.0000 0.0000 0.0000 0.0000 1.0000 1.0000 0.0000 0.0000 1.0000
 0.8452 0.0000 0.2721 0.0200 0.0000 0.0000 0.0000 1.0000 0.0000 0.0000
 0.9241 1.0000 0.0000 1.0000 0.0000 0.0000]"
11,"1,332,159",0.000000,6.768815,11/36 (30.56%),"[0.0000 0.0000 0.7212 0.7136 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
 1.0000 1.0000 1.0000 0.0000 1.0000 1.0000 0.0000 0.0000 1.0000 0.0000
 0.0000 0.0000 1.0000 1.0000 0.0070 0.0901 1.0000 0.7007 0.0000 0.0000
 1.0000 1.0000 0.0000 0.0000 0.6976 1.0000]"
12,"1,341,844",0.000000,0.049893,19/36 (52.78%),"[1.0000 0.0000 1.0000 1.0000 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000
 0.0000 1.0000 0.0000 1.0000 0.7083 0.0000 0.0000 0.0000 1.0000 0.3258
 0.0009 0.0000 1.0000 1.0000 0.5219 0.0000 1.0000 1.0000 0.0000 0.0000
 0.0000 0.1544 0.0000 0.0000 1.0000 1.0000]"
13,"1,343,094",1.000000,16.563834,11/36 (30.56%),"[0.0000 0.8785 0.0158 1.0000 1.0000 0.0000 1.0000 0.0000 0.6442 0.0000
 0.1437 0.0000 1.0000 0.0000 1.0000 0.0000 0.9725 1.0000 0.0000 0.2022
 0.0000 0.0000 0.0001 0.0000 0.0000 0.0000 1.0000 0.6174 0.1309 1.0000
 1.0000 1.0000 0.0000 0.0021 0.3061 0.8472]"
14,"1,350,652",0.000000,6.370853,22/36 (61.11%),"[0.0000 0.0000 0.0000 1.0000 0.0000 1.0000 1.0000 0.0000 0.0000 1.0000
 0.0000 1.0000 1.0000 0.0000 0.0020 0.0000 0.6249 0.0000 0.0000 0.6418
 0.9399 0.4168 1.0000 0.0000 1.0000 0.0000 0.2483 0.0000 0.0000 0.9574
 1.0000 0.0000 0.5698 1.0000 0.0000 1.0000]"
