Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,003,822",0.000000,8.407227,23/36 (63.89%),"[0.5903902  0.         0.         0.70427909 0.5411994  0.34789096
 1.         0.31899432 1.         0.         0.         0.72246612
 0.         0.         0.50071959 0.         0.25636041 0.70057322
 1.         0.         0.         1.         0.         0.
 1.         0.         0.         1.         0.         0.
 0.         1.         1.         0.         1.         1.        ]"
2,"1,124,444",1.000000,17.616719,7/36 (19.44%),"[1.         0.         0.         1.         1.         0.
 1.         0.         1.         0.         0.         0.
 0.         0.         1.         0.39242275 0.         1.
 1.         1.         0.         0.         0.         1.
 0.         0.         0.         0.         0.         0.
 0.38074827 1.         1.         0.         1.         1.        ]"
3,"1,188,236",2.000000,20.167803,10/36 (27.78%),"[0.         0.         1.         0.         1.         0.29341724
 0.         0.         1.         0.01327819 1.         0.
 1.         1.         0.         0.         0.         0.
 0.         0.         0.         0.         1.         1.
 1.         1.         0.         0.         0.         0.4058427
 0.         0.         1.         0.         1.         1.        ]"
4,"1,191,192",0.000000,0.033013,36/36 (100.00%),"[1. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0.
 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.]"
5,"1,192,723",2.000000,16.494941,9/36 (25.00%),"[1.         0.         0.         0.         1.         1.
 1.         0.         1.         0.         0.         0.
 0.06119467 0.         1.         0.         0.         0.
 1.         0.         0.         0.         1.         1.
 1.         0.         0.         0.43574124 0.         0.
 0.         0.         1.         1.         0.         0.        ]"
6,"1,194,297",1.000000,16.938663,16/36 (44.44%),"[1.         0.         0.         1.         1.         0.
 1.         0.         0.4486362  0.         0.07193022 1.
 0.         1.         1.         0.         0.         0.
 1.         0.         0.         0.         1.         1.
 0.         0.         1.         1.         0.         0.
 1.         1.         0.         0.         1.         1.        ]"
7,"1,198,412",1.000000,16.340517,19/36 (52.78%),"[1.         0.         1.         0.67122975 0.         0.
 1.         0.         0.         0.         0.         1.
 0.         1.         0.         0.         0.         1.
 0.         1.         0.         1.         1.         0.
 0.         0.         1.         0.         0.         1.
 0.         0.         1.         0.         0.         1.        ]"
8,"1,217,965",1.000000,17.179035,11/36 (30.56%),"[0.         0.70795738 1.         0.         0.         0.
 1.         0.         0.32929743 1.         0.         1.
 1.         0.         0.         1.         0.         1.
 0.         1.         1.         0.         0.         0.
 1.         0.         0.         0.         0.         0.
 1.         0.         0.         0.         1.         1.        ]"
9,"1,253,849",0.000000,7.641667,20/36 (55.56%),"[0.         0.74424245 1.         0.         0.         0.
 0.74547025 0.33740067 0.         0.         0.         1.
 0.97641657 0.         0.         0.         0.         1.
 0.44474738 0.89831194 0.         1.         1.         0.
 0.20926493 1.         0.         0.         0.         1.
 0.13859612 0.         0.66176379 1.         0.         1.        ]"
10,"1,317,605",1.000000,17.164311,8/36 (22.22%),"[1. 0. 0. 1. 0. 1. 1. 0. 0. 1. 0. 1. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0.
 1. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0.]"
11,"1,332,159",1.000000,17.629371,11/36 (30.56%),"[0.         1.         1.         0.36834018 0.         0.
 0.         0.         0.         0.         1.         1.
 0.         0.         1.         1.         0.         0.
 1.         1.         0.         0.         0.         1.
 0.         0.         0.         1.         0.         1.
 1.         1.         0.         1.         0.         0.        ]"
