Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,003,822",0.000000,2.770442,23/36 (63.89%),"[0.56025084 0.         0.39114155 1.         0.57697855 0.4263413
 1.         0.44951359 0.87166048 0.         0.15766651 0.56077062
 0.         0.         0.74787325 0.         0.         0.60152451
 1.         0.         0.         1.         0.         0.
 1.         0.         0.         1.         0.         0.
 0.         1.         1.         0.         1.         1.        ]"
2,"1,124,444",1.000000,18.201380,7/36 (19.44%),"[1.         0.         0.         1.         1.         0.
 0.66701796 0.4092897  0.18683811 0.         0.         0.59908743
 0.36154724 0.48867222 0.50125259 0.69143991 0.44270701 0.89573013
 0.60838845 1.         0.49913562 0.45479595 0.46914678 0.43212334
 0.         0.46264193 0.01289248 0.20669703 0.54736463 0.09457503
 0.55939867 0.50597277 0.39350742 0.47954759 0.88566327 0.43785415]"
3,"1,188,236",1.000000,17.724419,10/36 (27.78%),"[0.47163199 0.5469069  0.5436746  0.         0.18285627 0.67512912
 0.33831194 0.         0.         0.33814424 0.2852739  1.
 0.80235629 0.58412587 0.07754948 0.         0.51964094 0.
 0.         0.         0.00671973 0.06415324 0.88271519 0.40890896
 1.         1.         0.         0.33219592 0.         0.58108547
 0.         0.         0.70507985 0.65133637 0.4421476  0.86258062]"
4,"1,191,192",0.000000,0.000000,36/36 (100.00%),"[1. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0.
 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.]"
5,"1,192,723",1.000000,17.931773,9/36 (25.00%),"[0.85553028 0.         0.         0.55934365 0.97665669 0.27863592
 0.58198866 0.         1.         0.         0.         0.57813146
 0.         0.         1.         0.         0.08675491 0.52379422
 1.         0.94839671 0.         0.92199644 0.95664825 0.33528991
 0.         0.33175212 0.0912959  0.         0.26218489 0.79225843
 0.         0.9831745  0.69821896 0.         0.11828476 0.05709484]"
6,"1,194,297",1.000000,16.429926,16/36 (44.44%),"[0.04254384 0.         0.         0.26341146 0.58246389 1.
 1.         0.26555954 0.         1.         0.         0.
 0.58820862 0.30383157 0.         1.         0.         0.
 0.         0.         1.         0.         1.         1.
 0.         0.         0.88060173 0.12423598 0.         0.
 1.         1.         0.         0.         1.         1.        ]"
7,"1,198,412",0.000000,0.224057,19/36 (52.78%),"[1.         0.32284911 0.         0.5146166  1.         0.
 0.51276293 0.         0.82867233 0.48877625 0.         1.
 0.37595353 0.         0.83381048 0.         0.         1.
 0.84508052 1.         0.         1.         1.         0.
 0.2833124  0.00888031 1.         0.         0.         1.
 0.         0.         1.         0.         0.         1.        ]"
8,"1,217,965",1.000000,17.615175,11/36 (30.56%),"[0.17671637 0.02243374 0.7287566  0.53866277 0.41177931 1.
 0.81940502 0.61228278 0.36206363 0.09019446 0.         1.
 0.26790026 0.         0.         0.45479304 0.         0.04904553
 0.         1.         1.         0.         0.98569665 1.
 1.         0.         0.         0.61154505 0.35024318 0.
 1.         0.         0.         0.         0.94734825 0.57959961]"
9,"1,253,849",0.000000,4.270603,20/36 (55.56%),"[0.41390797 0.71619055 0.73956921 0.         0.         0.
 0.57179989 0.         0.         0.         0.         1.
 0.85301597 0.32351896 0.         0.         0.         1.
 0.31348926 0.68190954 0.         1.         1.         0.
 0.43527237 0.93722625 0.49518149 0.         0.         1.
 0.49782345 0.45913528 0.53923206 0.53182753 0.         1.        ]"
10,"1,317,605",1.000000,18.416749,8/36 (22.22%),"[0.58147587 0.12895716 0.81347166 0.28878824 0.03437076 0.55262013
 0.58665686 0.         0.62426297 0.         0.31884363 0.94211541
 0.05406227 0.50946752 0.         0.53824854 0.52565097 0.41079006
 0.32720293 0.89284385 0.25899422 0.         0.47349985 0.27979772
 0.50838158 0.31407764 0.         1.         0.         0.71470228
 0.58900194 0.49492261 0.         1.         0.         0.44482949]"
11,"1,332,159",1.000000,17.004766,11/36 (30.56%),"[1.         0.88406009 0.07145731 0.         0.         0.
 0.23103264 0.01454473 0.08031127 0.         1.         1.
 0.00468069 0.16770585 0.66563251 1.         0.         0.
 0.76211142 1.         0.         0.36730129 0.         1.
 0.         0.30243889 0.36390642 0.         0.         1.
 1.         1.         0.         1.         1.         0.02643263]"
