Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,003,822",0.000000,0.965662,23/36 (63.89%),"[0.6005582  0.         0.         1.         0.83476885 0.37641381
 1.         0.         0.59638874 0.01901644 0.25742966 1.
 0.         0.         1.         0.         0.         1.
 1.         0.         0.         1.         0.         0.
 1.         0.         0.         1.         0.         0.
 0.         1.         1.         0.         1.         1.        ]"
2,"1,124,444",1.000000,17.750472,7/36 (19.44%),"[0.94646495 0.         0.         1.         1.         0.
 1.         0.42748019 1.         0.         0.         0.30862062
 0.49067125 0.01563565 1.         0.14097338 1.         0.78003145
 0.75540812 0.14023525 0.         0.02621043 0.33489324 0.
 0.89825164 0.         0.         0.21979917 1.         0.94283235
 0.159727   0.         1.         0.91271862 0.         0.        ]"
3,"1,188,236",1.000000,18.161771,10/36 (27.78%),"[0.00000000e+00 7.92779217e-01 1.00000000e+00 0.00000000e+00
 7.37362925e-01 3.39156294e-01 9.83945507e-01 0.00000000e+00
 2.50360750e-01 0.00000000e+00 1.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 8.72365125e-03 5.78970512e-01 0.00000000e+00 0.00000000e+00
 2.85494019e-04 8.24959525e-01 0.00000000e+00 8.47202079e-01
 1.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 4.67151644e-02 0.00000000e+00 0.00000000e+00
 6.75863740e-02 0.00000000e+00 9.90829206e-01 1.00000000e+00]"
4,"1,191,192",0.000000,0.011980,36/36 (100.00%),"[1. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0.
 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.]"
5,"1,192,723",1.000000,18.727270,9/36 (25.00%),"[1.00000000e+00 8.64094790e-01 0.00000000e+00 2.02125578e-01
 6.57394640e-01 1.00000000e+00 6.68502758e-04 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 7.70016762e-01 0.00000000e+00 1.00000000e+00 0.00000000e+00
 2.77086931e-01 1.00000000e+00 7.69301857e-01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 9.16879860e-02 8.30841811e-01
 2.02961782e-01 1.00000000e+00 0.00000000e+00 8.11154222e-01
 2.37040382e-01 0.00000000e+00 0.00000000e+00 8.30841811e-01
 4.22824600e-01 6.27725633e-01 3.63222219e-01 4.27252384e-02]"
6,"1,194,297",1.000000,16.351025,16/36 (44.44%),"[0.00000000e+00 7.42385635e-01 8.98519951e-01 0.00000000e+00
 3.23030525e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 9.06051484e-07 0.00000000e+00 8.84646518e-01 1.00000000e+00
 1.00000000e+00 2.22658179e-01 8.84725464e-01 1.00000000e+00
 0.00000000e+00 0.00000000e+00 8.98519951e-01 0.00000000e+00
 2.29559323e-01 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 2.17416606e-02 1.26718851e-01
 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00]"
7,"1,198,412",0.000000,0.146425,19/36 (52.78%),"[1.00000000e+00 3.01687484e-01 8.78221363e-02 5.04659933e-01
 1.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 1.00000000e+00 8.73217666e-06 0.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 9.17571568e-01 7.39125360e-01
 0.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00
 0.00000000e+00 2.70071104e-01 1.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00]"
8,"1,217,965",1.000000,18.167408,11/36 (30.56%),"[0.2623239  0.72112916 1.         0.         0.25848472 0.90143708
 0.78795187 0.34616854 0.27054739 0.         0.         0.54175158
 0.65204315 0.         0.         0.88915948 0.98303185 0.44379416
 0.         1.         1.         0.         0.40107039 0.08009403
 1.         0.         0.         0.74292933 0.01180889 0.93440254
 1.         0.         0.594757   0.16261443 0.40749329 0.51660666]"
9,"1,253,849",0.000000,4.124378,20/36 (55.56%),"[0.         0.56064049 0.92195543 0.         0.         0.
 0.53858743 0.         0.         0.         0.         1.
 0.59858481 0.18595197 0.         0.         0.         1.
 0.         0.87242013 0.         1.         1.         0.
 0.2026981  0.58718133 0.26359704 0.         0.         1.
 0.         0.48652864 0.5243864  0.58631043 0.         1.        ]"
10,"1,317,605",2.000000,17.064542,8/36 (22.22%),"[0.71902976 0.48689421 0.         0.59067319 1.         0.0246452
 0.25819763 1.         0.80329217 0.20405549 0.30097647 1.
 0.25587715 0.         0.         1.         0.50604838 0.04084093
 0.         0.99795007 1.         0.         0.         0.
 0.         0.03456472 0.         1.         0.         0.
 1.         1.         0.         1.         0.         0.        ]"
11,"1,332,159",1.000000,16.638630,11/36 (30.56%),"[0.01634556 0.         1.         1.         0.         0.
 0.70344334 0.22273022 0.11215441 0.         1.         1.
 0.         0.00405302 0.98960311 1.         0.         0.
 0.98821662 1.         0.         0.         0.17008457 1.
 0.00589292 0.23733984 0.         0.69689512 0.         1.
 0.51062295 0.80739989 0.         1.         0.         0.        ]"
12,"1,341,844",0.000000,6.524128,19/36 (52.78%),"[0.7145158  0.         1.         1.         0.         1.
 1.         0.12926071 0.         0.         0.         1.
 0.32082206 1.         0.56155965 0.46479927 0.         0.
 0.70291007 0.34208312 0.21312752 0.         1.         1.
 0.50547982 0.41635766 0.56212828 1.         0.         0.
 0.41825935 0.19058012 0.45210617 0.         1.         1.        ]"
13,"1,343,094",1.000000,17.044524,11/36 (30.56%),"[0.         0.5204126  0.9136293  0.39125077 0.43573299 0.47039384
 1.         0.         0.49543308 0.41852294 0.47504028 0.41328248
 1.         0.         1.         0.82916356 0.13218536 0.4587524
 0.         0.39186651 0.4336761  0.41595448 0.52324942 0.51153574
 0.         0.         0.52786225 0.55391008 0.46318856 0.
 1.         1.         0.         0.44422516 0.60716646 1.        ]"
14,"1,350,652",0.000000,1.902961,22/36 (61.11%),"[0.         0.         0.         1.         0.         1.
 1.         0.         0.         1.         0.         1.
 1.         0.         0.48311352 0.         0.59934368 0.
 0.         0.56336495 0.5016963  0.42352523 0.91913489 0.43143259
 1.         0.         0.49550792 0.22609581 0.         0.62226594
 1.         0.         0.51440145 0.57890263 0.46248804 0.52024702]"
15,"1,375,820",0.000000,0.015625,36/36 (100.00%),"[0. 1. 1. 0. 1. 1. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 1. 0. 1. 1.
 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 1.]"
