Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,003,822",0.000000,1.496048,23/36 (63.89%),"[1.0000 0.0000 0.0000 0.6129 1.0000 0.0000 1.0000 0.4081 1.0000 0.0000
 0.0000 0.5001 0.0000 0.0000 1.0000 0.0000 0.4938 1.0000 1.0000 0.0000
 0.0000 1.0000 0.0000 0.0000 1.0000 0.0000 0.0000 1.0000 0.0000 0.0000
 0.0000 1.0000 1.0000 0.0000 1.0000 1.0000]"
2,"1,124,444",2.000000,18.278122,7/36 (19.44%),"[0.0000 0.0000 0.0000 1.0000 1.0000 0.0000 0.0755 1.0000 0.3101 0.0000
 0.0000 0.7389 0.0000 1.0000 0.1575 0.0000 0.0198 1.0000 0.8485 0.0000
 0.0000 0.0000 0.0012 0.0000 0.9905 0.0000 0.0000 0.0000 0.8505 0.1043
 0.3236 1.0000 0.5153 0.0000 1.0000 0.0336]"
3,"1,188,236",1.000000,18.192355,10/36 (27.78%),"[0.8794 0.9096 0.0000 0.0000 1.0000 0.8934 0.1798 0.0000 0.8911 1.0000
 0.0000 0.0000 0.9570 0.9513 0.0000 0.3835 0.0000 1.0000 0.0000 0.0000
 0.0000 1.0000 0.6126 0.4757 1.0000 1.0000 0.0000 0.0000 0.0000 0.8060
 0.0000 0.0000 0.0000 0.9413 0.0000 0.7523]"
4,"1,191,192",0.000000,0.030394,36/36 (100.00%),"[1.0000 1.0000 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000
 0.0000 1.0000 0.0000 1.0000 0.0000 1.0000 0.0000 1.0000 0.0000 1.0000
 0.0000 1.0000 0.0000 0.0000 1.0000 0.0000 1.0000 0.0000 1.0000 0.0000
 1.0000 0.0000 1.0000 0.0000 1.0000 0.0000]"
5,"1,192,723",1.000000,17.909878,9/36 (25.00%),"[1.0000 0.0000 0.0000 0.5504 1.0000 0.0000 1.0000 0.0000 1.0000 0.0000
 0.0000 0.9664 0.0000 0.0000 1.0000 0.0000 0.0000 0.9862 1.0000 0.6070
 0.0000 1.0000 0.0000 0.0000 0.0000 0.0000 1.0000 0.0000 1.0000 1.0000
 1.0000 0.6560 0.1974 0.0000 0.0000 0.0000]"
6,"1,194,297",0.000000,3.131643,16/36 (44.44%),"[0.8061 0.6793 0.0000 0.0000 0.0000 0.9839 0.4632 0.2584 0.0000 1.0000
 0.0606 0.9839 1.0000 0.9603 0.0000 0.9839 0.0000 0.0000 0.0000 0.0000
 0.6115 0.0000 1.0000 1.0000 0.0000 0.0000 1.0000 0.0008 0.0000 0.0000
 1.0000 1.0000 0.0000 0.0000 1.0000 1.0000]"
7,"1,198,412",0.000000,7.515421,19/36 (52.78%),"[0.6895 0.0000 0.0000 1.0000 0.5531 0.0000 1.0000 0.3424 0.6684 0.0000
 0.0000 1.0000 0.0000 0.0000 1.0000 0.0000 0.0000 1.0000 1.0000 1.0000
 0.0000 1.0000 1.0000 0.0000 0.2873 0.0000 1.0000 0.0000 0.0000 1.0000
 0.0000 0.0000 1.0000 0.0000 0.0000 1.0000]"
8,"1,217,965",1.000000,17.048843,11/36 (30.56%),"[0.0000 1.0000 1.0000 0.0000 0.6177 1.0000 1.0000 0.0000 0.0000 0.0000
 0.0000 0.0000 0.9917 0.0000 0.0000 0.0002 1.0000 0.0000 0.0000 1.0000
 1.0000 0.0000 1.0000 0.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000
 1.0000 0.0000 1.0000 0.0010 1.0000 1.0000]"
9,"1,253,849",0.000000,0.201148,20/36 (55.56%),"[0.3654 0.9038 0.5345 0.0000 0.0000 0.0000 1.0000 0.0671 0.0000 0.0000
 0.0000 1.0000 0.8501 0.0000 0.0000 0.0000 0.0000 1.0000 0.0797 0.8477
 0.0000 1.0000 1.0000 0.0000 0.0000 0.9699 0.0000 0.0000 0.0000 1.0000
 0.1040 0.0000 1.0000 0.7978 0.0000 1.0000]"
10,"1,317,605",2.000000,18.762183,8/36 (22.22%),"[0.8546 0.0000 1.0000 0.6264 0.0000 0.8580 0.0000 0.7799 0.0000 0.0000
 0.0971 0.6579 0.0000 1.0000 0.0000 1.0000 1.0000 0.0000 1.0000 0.0000
 0.0000 0.0000 0.0000 0.0000 0.6913 0.0000 0.0000 1.0000 0.0000 0.3631
 0.0000 1.0000 0.0000 1.0000 0.0000 0.0026]"
