Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,003,822",0.000000,1.435688,23/36 (63.89%),"[0.9981 0.0000 0.0000 1.0000 0.9938 0.0000 1.0000 0.0000 0.6032 0.0000
 0.0000 0.9147 0.0000 0.0000 1.0000 0.0000 0.0000 0.6061 1.0000 0.0000
 0.0000 1.0000 0.0000 0.0000 1.0000 0.0000 0.0000 1.0000 0.0000 0.0000
 0.0000 1.0000 1.0000 0.0000 1.0000 1.0000]"
2,"1,124,444",1.000000,17.112954,7/36 (19.44%),"[0.8926 0.0000 0.0000 1.0000 1.0000 0.0000 0.6382 0.0000 0.0000 0.0000
 0.0000 1.0000 0.4098 1.0000 0.6779 0.4792 0.0005 0.9149 0.1053 0.0000
 0.0000 0.0000 0.8831 0.0000 1.0000 0.0000 0.8828 0.0000 0.9344 0.0000
 0.7649 0.0000 1.0000 0.0000 0.0017 0.0000]"
3,"1,188,236",2.000000,16.466316,10/36 (27.78%),"[1.0000 0.5801 0.0000 0.0000 1.0000 0.2903 0.0000 0.0000 1.0000 0.3583
 1.0000 0.0000 0.6189 0.0000 1.0000 0.4757 0.0000 0.0000 0.0000 0.0000
 0.0000 0.0000 1.0000 1.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000
 0.0000 0.0000 0.0000 1.0000 1.0000 0.0000]"
4,"1,191,192",0.000000,0.022088,36/36 (100.00%),"[1.0000 1.0000 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000
 0.0000 1.0000 0.0000 1.0000 0.0000 1.0000 0.0000 1.0000 0.0000 1.0000
 0.0000 1.0000 0.0000 0.0000 1.0000 0.0000 1.0000 0.0000 1.0000 0.0000
 1.0000 0.0000 1.0000 0.0000 1.0000 0.0000]"
5,"1,192,723",2.000000,17.214661,9/36 (25.00%),"[0.9841 1.0000 0.0000 0.1489 0.0000 0.8288 0.1278 0.0000 1.0000 0.0000
 0.0000 1.0000 0.0000 0.0000 1.0000 0.0000 0.0000 0.3757 1.0000 0.0000
 0.0000 0.9820 0.0000 0.0000 1.0000 0.0025 0.0000 1.0000 0.0000 1.0000
 0.2703 1.0000 0.6299 0.1219 0.3870 0.0000]"
6,"1,194,297",1.000000,15.697978,16/36 (44.44%),"[0.0000 0.0000 0.7642 0.0000 0.0000 1.0000 1.0000 0.0000 1.0000 0.0000
 0.0006 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
 1.0000 0.0000 1.0000 1.0000 0.0000 0.0000 1.0000 0.0000 0.0000 0.0000
 1.0000 1.0000 0.0000 0.0000 1.0000 1.0000]"
7,"1,198,412",0.000000,13.375049,19/36 (52.78%),"[0.7639 0.0000 0.0000 1.0000 0.7766 0.0000 0.9934 0.0486 1.0000 0.3631
 0.0000 1.0000 0.0000 0.0000 1.0000 0.0000 0.0000 1.0000 1.0000 0.5703
 0.0000 1.0000 1.0000 0.0000 0.0000 0.1467 1.0000 0.0000 0.0000 1.0000
 0.0000 0.0000 0.5970 0.0000 0.0000 1.0000]"
8,"1,217,965",2.000000,17.207974,11/36 (30.56%),"[0.0000 0.4628 0.0000 0.5836 1.0000 0.0000 0.2974 1.0000 1.0000 0.0000
 0.2582 0.1397 0.0000 0.0000 0.0000 1.0000 0.1646 0.0655 0.0000 1.0000
 1.0000 0.0000 1.0000 1.0000 1.0000 0.0000 0.0000 0.6497 0.0164 0.2801
 1.0000 0.0000 0.0000 1.0000 0.0000 0.0000]"
9,"1,253,849",1.000000,14.811853,20/36 (55.56%),"[1.0000 0.0098 1.0000 0.0000 0.0000 0.0000 1.0000 0.0000 0.0000 0.0000
 0.0000 1.0000 0.0000 1.0000 0.0000 0.0000 0.0000 1.0000 0.0000 1.0000
 0.0000 1.0000 1.0000 0.0000 0.2894 0.0000 0.0000 0.0000 0.0000 1.0000
 0.9841 0.6792 0.0000 0.2212 0.0000 1.0000]"
10,"1,317,605",2.000000,17.034592,8/36 (22.22%),"[0.0058 0.0000 1.0000 1.0000 0.2234 0.0000 1.0000 0.6397 0.3768 0.0000
 0.0000 0.0005 0.0000 0.0000 0.0000 0.0000 0.5914 1.0000 0.0110 0.6183
 0.6397 0.0000 0.0000 0.0000 1.0000 0.0049 0.0000 1.0000 0.0000 0.0414
 0.8602 0.0721 0.0000 1.0000 0.0000 0.0000]"
11,"1,332,159",1.000000,16.674906,11/36 (30.56%),"[0.0000 0.0000 0.0000 0.1202 0.0000 0.0000 1.0000 0.0000 0.0000 0.0000
 1.0000 1.0000 0.5838 0.0000 1.0000 1.0000 0.0000 0.0000 0.0042 0.0000
 0.0000 0.0000 0.7158 1.0000 1.0000 0.2388 0.9752 1.0000 0.0000 0.0000
 0.9924 0.1058 0.2360 0.0203 0.6242 0.8132]"
12,"1,341,844",1.000000,15.570488,19/36 (52.78%),"[0.0000 0.0000 1.0000 1.0000 0.0000 1.0000 0.9556 1.0000 0.0000 0.0000
 0.0000 1.0000 0.3527 0.2416 0.9556 1.0000 0.0000 0.0000 0.6973 0.0202
 0.0000 0.0000 1.0000 1.0000 0.0412 1.0000 0.0326 0.0000 0.0000 0.0000
 0.0652 1.0000 0.2631 0.0000 1.0000 1.0000]"
13,"1,343,094",1.000000,16.768692,11/36 (30.56%),"[0.0000 0.6712 1.0000 0.0000 0.2117 0.0000 1.0000 0.0000 0.0078 0.1100
 0.0000 1.0000 1.0000 0.0000 1.0000 0.8943 0.0987 1.0000 0.0000 0.0000
 0.3559 0.0000 0.0000 0.0000 0.0000 0.0000 0.9933 1.0000 0.0943 1.0000
 1.0000 1.0000 0.0000 0.0669 0.0000 0.9162]"
14,"1,350,652",0.000000,1.473633,22/36 (61.11%),"[0.0000 0.0000 0.0000 1.0000 0.0000 1.0000 1.0000 0.0000 0.0000 1.0000
 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 1.0000 0.0000 0.0000 1.0000
 1.0000 0.0000 0.9239 0.0000 1.0000 0.0000 0.0000 0.0000 0.0000 1.0000
 1.0000 0.0000 1.0000 0.5187 0.0000 1.0000]"
15,"1,375,820",0.000000,0.029663,36/36 (100.00%),"[0.0000 1.0000 1.0000 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 1.0000
 0.0000 0.0000 1.0000 1.0000 0.0000 1.0000 0.0000 0.0000 0.0000 0.0000
 1.0000 0.0000 1.0000 1.0000 1.0000 0.0000 1.0000 0.0000 0.0000 0.0000
 1.0000 0.0000 0.0000 0.0000 1.0000 1.0000]"
16,"1,430,637",1.000000,16.061438,16/36 (44.44%),"[0.0000 0.0000 0.7545 1.0000 0.0000 1.0000 0.0000 1.0000 0.0000 0.2941
 0.0000 1.0000 0.0000 1.0000 0.0000 1.0000 0.8505 0.0000 0.0000 0.0000
 0.1550 0.0000 0.0000 0.2352 0.0000 0.0000 1.0000 1.0000 0.0000 0.1308
 1.0000 1.0000 0.1328 0.0000 1.0000 1.0000]"
17,"1,454,003",1.000000,15.310522,16/36 (44.44%),"[1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 1.0000 0.0000 0.0000 1.0000
 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.9841 1.0000 0.0000
 0.9730 1.0000 0.2677 0.9841 0.7028 0.0000 0.0852 0.3369 0.0000 0.0000
 0.0001 0.0000 0.0000 0.9921 1.0000 0.0000]"
18,"1,470,603",0.000000,0.031680,36/36 (100.00%),"[1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 1.0000 1.0000
 0.0000 1.0000 1.0000 1.0000 0.0000 0.0000 0.0000 1.0000 0.0000 0.0000
 0.0000 1.0000 1.0000 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000
 0.0000 0.0000 0.0000 0.0000 1.0000 1.0000]"
19,"1,480,509",2.000000,18.126103,6/36 (16.67%),"[0.0151 0.0000 1.0000 1.0000 0.0003 0.0000 0.0000 1.0000 0.0065 0.0585
 1.0000 0.0000 1.0000 0.0000 0.6484 0.0000 1.0000 0.0000 1.0000 0.0000
 1.0000 0.0000 0.0000 0.6484 0.0000 0.8493 0.0000 0.0217 1.0000 0.0000
 0.0000 1.0000 0.0000 0.0000 1.0000 0.0241]"
20,"1,505,558",1.000000,17.142897,7/36 (19.44%),"[0.0000 0.0000 0.0000 0.0000 0.8547 0.1239 0.0000 0.0000 1.0000 0.2590
 1.0000 0.0000 0.9157 0.0000 0.9065 0.1649 0.0231 0.6446 1.0000 0.2013
 0.0000 1.0000 0.3130 0.7245 0.0000 0.0000 0.0951 0.8974 0.0000 0.0000
 1.0000 1.0000 0.0000 0.0041 0.9169 1.0000]"
21,"1,554,862",1.000000,17.471802,7/36 (19.44%),"[0.0000 0.0000 0.0000 1.0000 1.0000 0.0000 1.0000 0.6939 0.0000 0.0000
 0.0000 0.9222 0.0005 0.0000 1.0000 1.0000 0.0000 1.0000 0.9714 0.9335
 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 1.0000 1.0000 0.0000 0.0000
 1.0000 0.5927 0.0000 0.0000 0.0017 0.0000]"
22,"1,568,229",1.000000,15.523946,18/36 (50.00%),"[1.0000 0.0000 1.0000 1.0000 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000
 0.0000 0.9556 0.0000 1.0000 1.0000 0.4835 0.0000 0.0378 0.0000 0.0000
 0.2188 0.0000 0.0000 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000
 0.0000 0.0000 0.0425 1.0000 0.7833 0.0000]"
23,"1,589,978",0.000000,2.152879,20/36 (55.56%),"[1.0000 0.0000 0.0000 1.0000 0.9235 0.0000 1.0000 0.0000 0.0000 0.2163
 0.0000 1.0000 0.0000 1.0000 0.0000 0.5957 0.0000 1.0000 0.4504 0.7177
 0.0000 1.0000 0.0000 0.0000 0.9231 0.0000 0.0000 0.0000 1.0000 1.0000
 1.0000 0.0000 1.0000 1.0000 0.0000 0.0000]"
24,"1,605,903",2.000000,17.123173,8/36 (22.22%),"[0.0624 0.0000 0.9161 0.0000 0.7941 1.0000 0.0000 0.0000 1.0000 0.3249
 0.0000 0.0000 1.0000 0.0000 0.4966 0.4633 0.7873 1.0000 1.0000 0.0000
 0.0000 0.0000 0.0000 0.0000 0.0000 0.9155 0.8921 0.0000 0.0000 0.9147
 0.0000 0.0000 0.4083 0.0000 0.3316 0.8911]"
