Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,003,822",0.000000,1.874905,23/36 (63.89%),"[1.         0.         0.         0.68101562 0.65861406 0.27027562
 1.         0.2988914  0.97977801 0.10219068 0.37956083 1.
 0.         0.         1.         0.         0.         0.50755507
 1.         0.         0.         1.         0.         0.
 1.         0.         0.         1.         0.         0.
 0.         1.         1.         0.         1.         1.        ]"
2,"1,124,444",2.000000,19.701170,7/36 (19.44%),"[0.         0.         0.         1.         1.         0.
 0.75799691 0.15844407 0.88407244 0.         0.         0.
 0.92604584 0.35417214 0.65418272 0.         0.89252307 0.07705577
 0.         0.         0.08751915 0.10247959 1.         0.18669852
 0.         0.89252307 0.56990326 0.22296866 0.         0.
 0.01393859 0.         0.         0.         0.67504636 1.        ]"
3,"1,188,236",1.000000,20.057755,10/36 (27.78%),"[0.31220428 1.         1.         0.         0.1110089  0.
 0.         0.         0.16390322 0.60588301 0.60588301 0.3862502
 0.05571656 0.60588301 0.54702732 0.32000411 0.         0.60588301
 0.         0.         0.12118115 1.         0.03991564 1.
 1.         1.         0.         0.60588301 0.         0.20045278
 0.         0.         0.20303579 0.         0.64369394 1.        ]"
4,"1,191,192",0.000000,0.000000,36/36 (100.00%),"[1. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0.
 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.]"
5,"1,192,723",1.000000,20.633895,9/36 (25.00%),"[0.6206074  0.         0.         0.9427588  1.         0.47109421
 1.         0.         1.         0.         0.         0.51354082
 0.36652098 0.         1.         0.         0.19937457 1.
 0.70183565 1.         0.         1.         0.13008036 0.48950369
 0.3014445  0.28930294 0.         0.23519869 0.88716466 1.
 0.         0.15945402 0.9427588  0.53714545 0.47506517 0.08398286]"
6,"1,194,297",0.000000,11.996256,16/36 (44.44%),"[1.         0.56871074 0.         0.24061815 0.         0.862374
 0.21022886 0.19788657 0.04755273 1.         0.01763662 1.
 0.64188986 1.         0.         0.68247599 0.         0.
 0.00736738 0.         0.8660794  0.         1.         1.
 0.         0.         1.         0.15160546 0.         0.
 1.         1.         0.         0.         1.         1.        ]"
7,"1,198,412",0.000000,0.455731,19/36 (52.78%),"[1.         0.         0.         0.57010074 0.89324235 0.
 0.50265174 0.         0.61358007 0.         0.         1.
 0.2860306  0.         0.89400327 0.         0.         1.
 1.         1.         0.         1.         1.         0.
 0.24621766 0.36545747 1.         0.         0.         1.
 0.         0.         1.         0.         0.         1.        ]"
8,"1,217,965",0.000000,0.147162,11/36 (30.56%),"[0.17903417 1.         1.         0.4110887  0.21786014 0.18023972
 0.85795862 0.12621626 0.0900659  0.55406571 0.17859374 0.80187689
 0.73406816 0.         0.         0.70192635 0.29301906 0.66989019
 0.         1.         1.         0.         1.         0.
 1.         0.         0.         0.03828139 1.         0.13712738
 1.         0.         0.80028719 0.69418797 0.06906973 0.39434415]"
9,"1,253,849",0.000000,7.030477,20/36 (55.56%),"[0.         0.72609561 0.51645361 0.         0.         0.
 1.         0.         0.         0.         0.         1.
 0.57904871 0.         0.         0.         0.         1.
 0.         0.7546309  0.         1.         1.         0.
 0.         0.79642342 0.32443415 0.         0.         1.
 0.02294193 0.35211865 0.52402366 1.         0.         1.        ]"
10,"1,317,605",1.000000,19.647552,8/36 (22.22%),"[0.98041436 0.34577004 0.90447757 0.57316186 0.43197253 0.84603082
 0.63008941 0.         0.09046735 0.         0.37502074 0.74093721
 0.         0.         0.         0.26193375 0.         0.11840813
 0.57432819 0.92825609 0.00569023 0.         0.30591489 0.96568413
 0.43431156 0.43793215 0.         1.         0.         0.87720738
 0.81283703 0.84356447 0.         1.         0.         0.        ]"
11,"1,332,159",0.000000,20.160985,11/36 (30.56%),"[0.29542752 0.06154201 0.74908219 0.53889589 0.         0.
 0.29386884 0.33119756 0.         0.         1.         1.
 1.         0.23976974 0.74811534 1.         0.         0.
 0.71247989 0.40378965 0.         0.14833949 0.80419043 1.
 0.34294223 0.42517893 1.         0.75283316 0.         0.44053706
 0.77178166 0.50594153 0.41179085 0.29517304 0.98336584 0.96897215]"
12,"1,341,844",1.000000,18.862639,19/36 (52.78%),"[1.         0.         1.         1.         0.         1.
 0.58777641 0.30514854 0.         0.         0.         1.
 0.3219403  0.29359396 1.         0.78406144 0.         0.
 0.52121102 1.         0.40048991 0.         1.         1.
 0.44413929 0.         0.15620787 0.09769137 0.         0.
 1.         0.         0.33767497 0.         1.         1.        ]"
13,"1,343,094",1.000000,20.311956,11/36 (30.56%),"[0.         0.83906538 0.68795256 0.         0.31708187 0.05733635
 1.         0.         0.00796482 0.         0.         0.58557693
 1.         0.         0.50041326 0.9249006  0.         1.
 0.         0.         0.05381132 0.         0.1218975  0.1762485
 0.         0.         0.1284537  0.76482004 0.         1.
 1.         1.         0.         0.74583241 0.05931486 1.        ]"
14,"1,350,652",0.000000,0.808273,22/36 (61.11%),"[0.         0.         0.         1.         0.         1.
 1.         0.         0.         1.         0.         1.
 1.         0.         0.         0.         0.5849977  0.
 0.         0.83357926 0.90871089 0.         1.         0.3291197
 1.         0.         0.05710174 0.43027961 0.         0.84326462
 1.         0.         0.76324182 1.         0.42961013 0.55430735]"
15,"1,375,820",0.000000,0.022221,36/36 (100.00%),"[0. 1. 1. 0. 1. 1. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 1. 0. 1. 1.
 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 1.]"
16,"1,430,637",1.000000,19.649969,16/36 (44.44%),"[0.         0.         0.19927812 0.63110729 0.         1.
 0.         1.         0.         0.56817928 0.         1.
 0.         1.         0.         0.         1.         0.
 0.         0.         1.         0.01768883 0.69354612 0.18594988
 0.         0.30904799 0.69040997 0.32335288 0.13025406 0.
 0.56756544 1.         0.29722783 0.         1.         0.50758228]"
