Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,003,822",0.000000,1.363302,23/36 (63.89%),"[0.62492883 0.         0.41351269 0.50132441 0.71399311 0.40196154
 1.         0.04023789 1.         0.21464914 0.31078524 0.7173464
 0.         0.         0.72827776 0.         0.46857478 0.89225963
 1.         0.         0.         1.         0.         0.
 1.         0.         0.         1.         0.         0.
 0.         1.         1.         0.         1.         1.        ]"
2,"1,124,444",1.000000,19.702355,7/36 (19.44%),"[0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 5.46622038e-01
 1.00000000e+00 0.00000000e+00 0.00000000e+00 8.48987923e-01
 1.06118719e-02 8.71733258e-02 1.01704864e-01 0.00000000e+00
 1.35553942e-01 7.89202123e-01 7.19053242e-01 4.21799761e-01
 0.00000000e+00 8.25410536e-01 0.00000000e+00 0.00000000e+00
 5.62253244e-01 3.18095146e-01 4.66578428e-03 8.48987923e-01
 2.59828321e-04 2.30889547e-01 2.83077852e-01 8.44772545e-01
 9.21773441e-01 4.16991002e-01 1.00000000e+00 1.00000000e+00]"
3,"1,188,236",2.000000,19.214263,10/36 (27.78%),"[0.5683682  0.         0.66480152 0.         0.43541357 0.
 0.96773498 0.         0.21051688 0.26310706 0.         1.
 0.22978287 0.74963669 0.87878643 0.         0.20125773 0.51888799
 0.         0.         0.08243478 1.         0.         0.
 1.         1.         0.         0.74193145 0.         0.80822124
 0.         0.         0.27193847 0.         0.         0.86945925]"
4,"1,191,192",0.000000,0.015631,36/36 (100.00%),"[1. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0.
 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.]"
5,"1,192,723",1.000000,19.511012,9/36 (25.00%),"[1.00000000e+00 7.18363107e-01 0.00000000e+00 2.42659544e-01
 7.18363107e-01 8.25254585e-01 2.29764743e-01 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 6.94190735e-01 1.00000000e+00 1.00000000e+00 3.99151068e-01
 0.00000000e+00 1.49468234e-01 4.09856697e-01 0.00000000e+00
 7.18363107e-01 7.26981599e-02 1.00000000e+00 0.00000000e+00
 0.00000000e+00 1.36530115e-05 0.00000000e+00 0.00000000e+00
 7.18363107e-01 0.00000000e+00 1.00000000e+00 7.02198407e-01]"
6,"1,194,297",1.000000,19.906095,16/36 (44.44%),"[0.         0.00984367 0.         1.         0.06212029 0.76555518
 1.         0.28745091 0.25355973 1.         0.         0.6598433
 0.85419561 0.         1.         0.         0.         0.
 0.22698619 0.         1.         0.         1.         1.
 0.         0.         0.36609974 1.         0.         0.
 1.         1.         0.         0.         1.         1.        ]"
7,"1,198,412",0.000000,9.043530,19/36 (52.78%),"[1.00000000e+00 9.09066179e-02 0.00000000e+00 6.52511769e-01
 5.06880855e-01 0.00000000e+00 1.00000000e+00 1.07525240e-01
 7.98396388e-01 1.02909557e-02 0.00000000e+00 1.00000000e+00
 3.52054102e-01 1.12317791e-01 6.18479544e-01 0.00000000e+00
 0.00000000e+00 1.00000000e+00 1.00000000e+00 8.33543590e-01
 0.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00
 3.07181727e-01 3.16661632e-05 1.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00]"
8,"1,217,965",1.000000,21.793003,11/36 (30.56%),"[0.38950752 0.84305148 0.         0.70786689 1.         0.24859001
 0.01553465 1.         0.27054078 0.         0.00804073 1.
 0.88010995 0.         0.         0.41390045 0.49812163 0.61224024
 0.         1.         1.         0.         1.         0.
 1.         0.         0.         0.         0.73172404 0.
 1.         0.         0.93563259 0.89794884 0.         0.        ]"
9,"1,253,849",0.000000,11.244073,20/36 (55.56%),"[0.2839017  0.51693044 0.66154891 0.         0.         0.
 0.5267199  0.24754825 0.         0.         0.         1.
 0.80020598 0.30218874 0.         0.         0.         1.
 0.48741149 0.55322691 0.         1.         1.         0.
 0.33533921 0.77087982 0.         0.         0.         1.
 0.24924513 0.40121017 0.83296438 1.         0.         1.        ]"
10,"1,317,605",1.000000,20.321431,8/36 (22.22%),"[1.98637123e-01 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 6.14448791e-01 1.00000000e+00 1.00000000e+00
 2.25695517e-01 3.23269843e-01 1.56884953e-02 6.68687323e-01
 2.22253792e-01 2.29492634e-04 0.00000000e+00 0.00000000e+00
 3.22290419e-02 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 6.80199138e-01
 5.71186457e-02 1.65659927e-01 0.00000000e+00 1.00000000e+00
 0.00000000e+00 2.32873652e-01 6.45621924e-01 8.40113910e-01
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00]"
