Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,003,822",0.000000,0.299562,23/36 (63.89%),"[0.83172967 0.         0.3822909  1.         1.         0.46468322
 1.         0.         1.         0.33710063 0.24181184 1.
 0.         0.         1.         0.         0.         0.94013227
 1.         0.         0.         1.         0.         0.
 1.         0.         0.         1.         0.         0.
 0.         1.         1.         0.         1.         1.        ]"
2,"1,124,444",1.000000,18.742921,7/36 (19.44%),"[0.         0.         0.         1.         1.         0.
 0.         0.52948937 1.         0.         0.         1.
 0.         0.17693341 0.         0.48823916 0.39292703 0.92483607
 1.         0.54097154 0.26291879 0.79230975 0.30623055 0.
 0.32019015 0.16309911 0.         0.75769198 0.00881534 0.04701519
 0.43594735 1.         1.         0.42867766 1.         1.        ]"
3,"1,188,236",1.000000,18.812886,10/36 (27.78%),"[0.         1.         0.60474059 0.         0.21231688 0.63698307
 0.41520289 0.         0.33922149 0.5376517  0.40547035 0.65881122
 1.         1.         0.31744167 0.4026777  0.80476111 0.37374324
 0.         0.         0.         0.46273027 0.63117063 0.49165742
 1.         1.         0.         0.48988373 0.         0.56359807
 0.         0.         0.68427491 1.         0.         0.64048359]"
4,"1,191,192",0.000000,0.000000,36/36 (100.00%),"[1. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0.
 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.]"
5,"1,192,723",1.000000,19.246987,9/36 (25.00%),"[1.00000000e+00 3.36028306e-01 0.00000000e+00 3.65414544e-01
 7.29250404e-01 5.33965578e-01 1.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 2.91026074e-01
 1.25356319e-02 0.00000000e+00 1.00000000e+00 0.00000000e+00
 1.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00
 0.00000000e+00 3.25384034e-01 3.60283488e-01 1.51437340e-01
 1.00000000e+00 3.41546089e-05 7.14883366e-02 0.00000000e+00
 3.95078955e-01 7.61532748e-03 2.31446484e-01 1.00000000e+00
 9.59367076e-01 1.36276768e-01 5.04560773e-01 1.00000000e+00]"
6,"1,194,297",0.000000,0.364413,16/36 (44.44%),"[0.63848495 1.         0.         0.         0.32788221 0.70070224
 0.         0.         0.28464702 0.75122211 0.20369863 1.
 0.72897822 1.         0.14012087 1.         0.         0.
 0.         0.         0.63192692 0.         1.         1.
 0.         0.         0.75266644 0.19087477 0.         0.
 1.         1.         0.         0.         1.         1.        ]"
7,"1,198,412",0.000000,0.280412,19/36 (52.78%),"[1.         0.         0.11979853 1.         1.         0.
 1.         0.         0.63913931 0.1327614  0.         1.
 0.06600373 0.36873482 1.         0.         0.         1.
 1.         1.         0.         1.         1.         0.
 0.07696578 0.0514689  1.         0.         0.         1.
 0.         0.         1.         0.         0.         1.        ]"
8,"1,217,965",1.000000,19.078530,11/36 (30.56%),"[0.         0.70200347 0.82842494 0.         0.70089388 0.73079575
 0.70130089 0.         0.32575485 0.8596589  0.05882319 0.25986719
 1.         0.         0.         0.87012444 0.42654206 0.0888597
 0.         1.         1.         0.         0.74988685 0.98121282
 1.         0.         0.         1.         0.46925314 0.
 1.         0.         0.         0.         0.53649059 1.        ]"
9,"1,253,849",0.000000,0.787863,20/36 (55.56%),"[0.04312785 0.72484383 0.91903316 0.         0.         0.
 0.92382022 0.         0.         0.         0.         1.
 0.76437735 0.         0.         0.         0.         1.
 0.         0.77165804 0.         1.         1.         0.
 0.         0.97993803 0.11821188 0.         0.         1.
 0.         0.         0.9964124  0.74711612 0.         1.        ]"
10,"1,317,605",1.000000,19.053492,8/36 (22.22%),"[0.83860505 1.         0.25028325 0.44718104 0.         0.56108706
 0.         0.14328324 0.55355428 1.         0.00669834 1.
 0.         0.         0.         0.         0.39034275 0.1423439
 0.76840218 0.93499558 0.         0.         0.         0.99052453
 0.         0.49669882 0.         1.         0.         1.
 1.         1.         0.         1.         0.         0.1951956 ]"
