Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,003,822",0.000000,1.382169,23/36 (63.89%),"[0.7244217  0.         0.36485987 1.         0.5237141  0.45279558
 1.         0.         0.78883458 0.02685773 0.         1.
 0.         0.         1.         0.         0.24213708 1.
 1.         0.         0.         1.         0.         0.
 1.         0.         0.         1.         0.         0.
 0.         1.         1.         0.         1.         1.        ]"
2,"1,124,444",1.000000,22.009798,7/36 (19.44%),"[0.65362522 0.         0.         1.         1.         0.
 1.         0.02832158 0.35512241 0.         0.         0.85742757
 0.         0.         0.80119283 0.81060642 0.22834905 1.
 0.1106291  0.54455565 0.08716464 0.         0.         0.
 0.         0.57612171 0.         0.08727924 0.59255363 0.85488343
 0.91210186 0.39791849 1.         0.65723881 0.         0.        ]"
3,"1,188,236",1.000000,20.779992,10/36 (27.78%),"[0.72120245 0.73978858 0.18899399 0.         0.         0.
 0.         0.         0.23543973 0.98366464 0.99044482 0.0482307
 1.         0.60852942 0.35066125 0.         0.20259346 0.63387783
 0.         0.         0.74334676 0.6943068  0.         1.
 1.         1.         0.         0.1541556  0.         0.
 0.         0.         0.33348118 0.90629934 0.93652454 0.17248065]"
4,"1,191,192",0.000000,0.000000,36/36 (100.00%),"[1. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0.
 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.]"
5,"1,192,723",1.000000,21.886545,9/36 (25.00%),"[0.26541442 0.46025678 0.         1.         0.88552686 0.
 0.22084518 0.         1.         0.         0.         0.92742288
 1.         0.         1.         0.         0.         1.
 0.50265044 0.12718218 0.         1.         0.98812568 0.
 0.33656959 1.         0.28525171 0.         0.         0.
 0.         0.96495301 0.18618859 1.         1.         0.09203241]"
6,"1,194,297",1.000000,20.161268,16/36 (44.44%),"[0.07137464 0.         0.65135615 0.54314114 0.19402418 0.06597593
 0.40305098 1.         0.16562889 0.01137657 0.80662695 1.
 1.         0.18576803 0.91722127 0.67275805 0.         0.
 0.92199618 0.         0.18472921 0.         1.         1.
 0.         0.         0.38990617 0.         0.         0.
 1.         1.         0.         0.         1.         1.        ]"
7,"1,198,412",0.000000,3.313794,19/36 (52.78%),"[1.         0.         0.03935408 0.83828484 0.64440784 0.
 0.88353865 0.         0.6556048  0.45255051 0.         1.
 0.29143129 0.         1.         0.         0.         1.
 0.90770005 0.66117844 0.         1.         1.         0.
 0.40428585 0.08476009 1.         0.         0.         1.
 0.         0.         1.         0.         0.         1.        ]"
8,"1,217,965",2.000000,21.127309,11/36 (30.56%),"[3.20035089e-01 1.00000000e+00 0.00000000e+00 8.32492708e-01
 5.74537198e-01 0.00000000e+00 1.60417960e-01 9.95021064e-01
 0.00000000e+00 0.00000000e+00 4.93122199e-01 7.56959781e-01
 3.32365861e-01 0.00000000e+00 0.00000000e+00 3.80728895e-01
 2.23300053e-01 7.61603306e-01 0.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 9.55650248e-01
 0.00000000e+00 1.02336756e-01 1.00000000e+00 0.00000000e+00
 0.00000000e+00 6.37377687e-01 3.89500956e-01 6.05120641e-04]"
9,"1,253,849",0.000000,1.669541,20/36 (55.56%),"[0.         0.50983981 1.         0.         0.         0.
 0.89215267 0.26143288 0.         0.         0.         1.
 0.82247997 0.         0.         0.         0.         1.
 0.         0.79443489 0.         1.         1.         0.
 0.         1.         0.3305969  0.         0.         1.
 0.         0.4638789  0.74507398 1.         0.         1.        ]"
10,"1,317,605",1.000000,21.487361,8/36 (22.22%),"[0.10684925 0.61246816 0.         1.         0.         0.65258822
 0.4149225  0.81175403 0.19268542 0.82575451 0.         0.87949356
 0.22579148 0.         0.         0.05412347 0.12073344 0.
 1.         1.         0.48409565 0.         0.00153278 0.89517185
 0.13372266 0.32162746 0.         1.         0.         0.87727482
 1.         0.85864448 0.         1.         0.         0.        ]"
