Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,003,822",0.000000,0.069126,23/36 (63.89%),"[1.         0.         0.         1.         1.         0.25
 1.         0.00411168 0.52525154 0.14239885 0.         1.
 0.         0.         0.68447936 0.         0.33333333 0.94413526
 1.         0.         0.         1.         0.         0.
 1.         0.         0.         1.         0.         0.
 0.         1.         1.         0.         1.         1.        ]"
2,"1,124,444",1.000000,21.890955,7/36 (19.44%),"[0.57077384 0.         0.         1.         1.         0.
 0.74731616 0.49841511 0.45290833 0.         0.         0.46547585
 0.36878338 0.25206112 0.75       0.57081069 0.25021543 0.04366157
 0.63684048 1.         0.41242132 0.2304166  0.60946532 0.65379683
 0.25       0.37462235 0.3520842  0.41666667 0.43378976 0.46778387
 0.52662394 0.53199569 0.25       0.43302524 0.59314746 1.        ]"
3,"1,188,236",1.000000,21.543798,10/36 (27.78%),"[0.         0.61613786 0.57255062 0.         1.         0.53955631
 0.26767267 0.         0.43276048 0.         0.48136555 0.37092909
 0.57644626 0.72208726 0.33080625 0.41660883 0.18416645 0.66666667
 0.         0.         0.33333333 0.51684085 0.73030184 0.33285948
 1.         1.         0.         0.38619784 0.         1.
 0.         0.         0.60648927 0.91654349 0.         0.92028444]"
4,"1,191,192",0.000000,0.015644,36/36 (100.00%),"[1. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0.
 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.]"
5,"1,192,723",1.000000,21.679070,9/36 (25.00%),"[0.53513948 0.52724192 0.         0.25       0.75       1.
 0.46590628 0.         1.         0.         0.         0.46728762
 0.66666667 0.         1.         0.         0.75       0.64718185
 0.68222349 0.2439009  0.         0.         0.03731327 0.4290754
 0.         0.33333333 0.67699079 0.58333333 0.49929196 0.42930807
 0.58416629 0.55719458 0.42382753 0.4824615  0.75       0.28500189]"
6,"1,194,297",0.000000,1.171933,16/36 (44.44%),"[0.54629313 0.75       0.33333481 0.45750454 0.         0.886368
 0.25       0.38375739 0.37508446 1.         0.33333333 0.61380805
 0.69950792 0.52398124 0.36811389 0.59067483 0.         0.
 0.         0.         0.66666667 0.         1.         1.
 0.         0.         0.7732689  0.         0.         0.
 1.         1.         0.         0.         1.         1.        ]"
7,"1,198,412",0.000000,0.729867,19/36 (52.78%),"[0.86693823 0.         0.45436226 1.         0.74325442 0.
 0.66666667 0.15572232 0.75       0.25       0.         1.
 0.         0.25421249 0.60214021 0.         0.         1.
 1.         0.68542017 0.         1.         1.         0.
 0.47612817 0.         1.         0.         0.         1.
 0.         0.         0.50846305 0.         0.         1.        ]"
8,"1,217,965",1.000000,21.020415,11/36 (30.56%),"[0.33333333 0.66666667 0.6709644  0.         1.         0.93454019
 1.         0.45808134 0.42238984 0.25       0.45766404 0.44180223
 1.         0.         0.         0.53411317 0.43979868 0.25
 0.         1.         1.         0.         1.         0.53265242
 1.         0.         0.         0.75       0.         0.41834195
 1.         0.         0.35459138 1.         0.33333333 0.14978653]"
9,"1,253,849",0.000000,0.884658,20/36 (55.56%),"[0.3819544  0.6353279  1.         0.         0.         0.
 1.         0.43766887 0.         0.         0.         1.
 1.         0.3305236  0.         0.         0.         1.
 0.40058774 1.         0.         1.         1.         0.
 0.33333333 0.50073985 0.         0.         0.         1.
 0.         0.         1.         1.         0.         1.        ]"
10,"1,317,605",1.000000,22.273386,8/36 (22.22%),"[1.         0.37400852 0.49087015 0.         0.50783748 1.
 0.8433993  0.05281601 0.5378926  0.51738781 0.46842725 0.25008493
 0.         0.53436096 0.         0.38321721 0.51230681 1.
 0.3873263  0.56129274 0.33538661 0.         0.46869023 0.44175333
 0.68451855 0.46547613 0.         1.         0.         0.33944958
 0.57084437 0.00156884 0.         1.         0.         0.52467677]"
