Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,003,822",0.000000,0.035162,23/36 (63.89%),"[0.65506937 0.         0.30928171 0.98135561 0.58458647 0.48012749
 1.         0.21754272 0.93961059 0.15043962 0.27575915 0.7485157
 0.         0.         0.68317724 0.         0.4811999  0.95281372
 1.         0.         0.         1.         0.         0.
 1.         0.         0.         1.         0.         0.
 0.         1.         1.         0.         1.         1.        ]"
2,"1,124,444",1.000000,20.114634,7/36 (19.44%),"[1.         0.         0.         1.         1.         0.
 1.         0.47471136 0.         0.         0.         1.
 0.         1.         1.         0.         0.02561673 1.
 1.         0.         0.         0.         0.20174238 0.
 0.86580904 0.         1.         0.         0.         0.
 0.         0.         1.         0.12116986 1.         0.82906547]"
3,"1,188,236",1.000000,18.492130,10/36 (27.78%),"[7.73251990e-03 6.24530422e-01 6.08336429e-01 0.00000000e+00
 1.97255738e-02 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 9.03482362e-01 1.00000000e+00
 6.48707552e-01 1.00000000e+00 7.76944283e-04 0.00000000e+00
 2.56218483e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 8.66860072e-01 0.00000000e+00
 1.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 8.66860072e-01 0.00000000e+00 0.00000000e+00
 8.66860072e-01 1.00000000e+00 0.00000000e+00 6.76449853e-01]"
4,"1,191,192",0.000000,0.015625,36/36 (100.00%),"[1. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0.
 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.]"
5,"1,192,723",1.000000,19.679478,9/36 (25.00%),"[6.66666667e-01 3.42518997e-01 0.00000000e+00 9.07867236e-01
 9.81849360e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 8.81153289e-01
 9.07867236e-01 0.00000000e+00 1.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 8.08650255e-01 0.00000000e+00
 0.00000000e+00 6.78737062e-01 1.00000000e+00 7.81116923e-05
 0.00000000e+00 6.64450076e-01 1.00000000e+00 0.00000000e+00
 0.00000000e+00 3.75894649e-01 3.81472669e-01 0.00000000e+00
 0.00000000e+00 9.07867236e-01 6.94272703e-01 6.85153458e-02]"
6,"1,194,297",0.000000,2.722940,16/36 (44.44%),"[1.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 6.21066286e-06 1.00000000e+00 1.83634430e-01 0.00000000e+00
 3.35788573e-01 7.50000000e-01 0.00000000e+00 5.65505790e-01
 7.20661507e-01 7.86839002e-01 3.90661185e-01 9.20624777e-01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 8.77224878e-01 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 9.76254305e-01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00]"
7,"1,198,412",0.000000,0.240609,19/36 (52.78%),"[0.60686207 0.44071809 0.         1.         0.83056349 0.
 0.72681761 0.11994555 1.         0.38144941 0.         1.
 0.08283297 0.         1.         0.         0.         1.
 0.67694186 0.6249552  0.         1.         1.         0.
 0.         0.19842611 1.         0.         0.         1.
 0.         0.         1.         0.         0.         1.        ]"
8,"1,217,965",1.000000,18.661545,11/36 (30.56%),"[0.         0.87888233 0.8807143  0.10924723 0.14369415 0.55292291
 0.75220839 0.         0.         0.         0.         1.
 1.         0.         0.         0.75       1.         0.
 0.         1.         1.         0.         0.         0.33333333
 1.         0.         0.         0.         0.         0.33333333
 1.         0.         1.         1.         0.         0.5743515 ]"
9,"1,253,849",0.000000,0.251959,20/36 (55.56%),"[0.         0.65626166 1.         0.         0.         0.
 1.         0.         0.         0.         0.         1.
 1.         0.06370746 0.         0.         0.         1.
 0.         1.         0.         1.         1.         0.
 0.         0.87304528 0.         0.         0.         1.
 0.         0.         1.         0.62290345 0.         1.        ]"
10,"1,317,605",1.000000,20.595759,8/36 (22.22%),"[6.06242888e-01 9.53549724e-01 0.00000000e+00 0.00000000e+00
 8.72808102e-01 6.26464799e-01 0.00000000e+00 0.00000000e+00
 6.88919668e-01 9.89220278e-01 0.00000000e+00 3.28111464e-01
 1.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 8.47559098e-01 3.25338005e-05 0.00000000e+00
 4.72770723e-01 0.00000000e+00 2.70419139e-01 1.75342152e-03
 1.00000000e+00 9.19632763e-01 0.00000000e+00 1.00000000e+00
 0.00000000e+00 3.62911510e-01 1.00129562e-02 2.58795458e-02
 0.00000000e+00 1.00000000e+00 0.00000000e+00 3.33333333e-01]"
11,"1,332,159",2.000000,18.480692,11/36 (30.56%),"[0.         0.         0.92927234 0.09240702 0.         0.
 0.         0.44772938 0.93142288 0.         1.         1.
 0.         0.92927234 0.         1.         0.         0.
 0.         0.65430261 0.         0.73371419 0.30056522 1.
 1.         0.         0.         0.07288117 0.         0.79666707
 0.99473778 0.         1.         1.         0.25148509 0.        ]"
12,"1,341,844",0.000000,0.666248,19/36 (52.78%),"[0.98253598 0.         1.         1.         0.         1.
 0.91794648 0.         0.         0.         0.         1.
 0.         0.50447092 1.         0.         0.         0.
 1.         0.         0.         0.         1.         1.
 0.92779633 0.         1.         1.         0.         0.
 0.         0.         0.46615078 0.         1.         1.        ]"
13,"1,343,094",1.000000,18.599294,11/36 (30.56%),"[0.         1.         0.75744674 0.         0.         1.
 1.         0.         0.         0.86476218 0.86476218 0.
 1.         0.         0.         0.         0.         1.
 0.         0.16908943 1.         0.         0.         1.
 0.         0.         0.58879814 0.41795329 0.         0.
 1.         1.         0.         1.         0.78544355 0.        ]"
14,"1,350,652",0.000000,0.093091,22/36 (61.11%),"[0.         0.         0.         1.         0.         1.
 1.         0.         0.         1.         0.         1.
 1.         0.         0.         0.         0.50833874 0.
 0.         0.51826089 0.93120099 0.         1.         0.49942468
 1.         0.         0.         0.28737997 0.         0.82492325
 1.         0.         1.         1.         0.14382967 0.88154894]"
15,"1,375,820",0.000000,0.000000,36/36 (100.00%),"[0. 1. 1. 0. 1. 1. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 1. 0. 1. 1.
 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 1.]"
16,"1,430,637",0.000000,11.889022,16/36 (44.44%),"[0.         0.         1.         1.         0.         1.
 0.         1.         0.         0.         0.         1.
 0.         1.         0.         1.         0.66704624 0.
 0.         0.         1.         0.         0.         0.7510885
 0.         0.07333033 1.         0.         0.         0.88475134
 0.65329433 0.50862092 0.         1.         0.74068925 0.        ]"
17,"1,454,003",1.000000,17.110870,16/36 (44.44%),"[1.         0.         0.         0.         0.         0.
 1.         0.         0.         1.         1.         0.
 0.         1.         1.         0.         0.         0.96850112
 0.31031247 0.         0.         0.16705557 0.21015589 0.54147886
 0.         0.98964668 0.50170602 0.         0.         0.18042721
 0.15505069 0.         0.4174617  1.         1.         0.        ]"
18,"1,470,603",0.000000,0.015921,36/36 (100.00%),"[1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0.
 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1.]"
19,"1,480,509",1.000000,19.860512,6/36 (16.67%),"[0.         1.         0.         0.         0.91287531 0.37274259
 0.         1.         0.         0.         0.91709514 0.
 1.         0.         1.         0.9497821  0.         0.
 1.         0.         0.35012763 0.         1.         1.
 0.         1.         0.23347156 0.6225497  0.         0.
 0.         0.98159603 0.         0.64278693 0.         0.66666667]"
20,"1,505,558",1.000000,19.503218,7/36 (19.44%),"[0.         0.         0.91555352 0.53706939 0.         0.
 0.49072082 0.36333824 0.         0.         0.59278619 1.
 0.03080397 0.46300775 1.         0.90934002 0.21165413 0.
 0.51634181 1.         0.01017555 0.         0.09354296 0.90998528
 0.         0.         0.02877473 1.         0.         1.
 1.         1.         0.         1.         0.         0.06359066]"
21,"1,554,862",1.000000,19.453404,7/36 (19.44%),"[0.00000000e+00 9.68731276e-01 0.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 8.23303880e-01
 1.32710284e-02 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 3.72299842e-01 3.66936729e-01
 3.07782425e-01 0.00000000e+00 9.50089702e-01 7.30190609e-01
 0.00000000e+00 4.31364943e-01 5.35091068e-01 1.00000000e+00
 4.36108858e-06 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 1.65331517e-03 9.50089702e-01 6.67939365e-01
 1.73514044e-01 0.00000000e+00 7.19600099e-01 1.00000000e+00]"
22,"1,568,229",0.000000,0.098787,18/36 (50.00%),"[1.         0.         1.         1.         0.         1.
 1.         0.         0.         0.         0.00319949 0.63160991
 0.         0.25       0.         1.         0.66666667 0.09659871
 0.         0.         0.         0.         0.         0.67642257
 1.         1.         0.         0.         0.41503865 0.63438956
 0.         0.         0.15315179 0.95585754 1.         0.        ]"
23,"1,589,978",0.000000,14.598845,20/36 (55.56%),"[1.         0.         0.         0.52762507 1.         0.
 1.         0.         0.         0.         0.         1.
 0.         0.95675825 0.         1.         0.         1.
 0.         1.         0.         1.         0.         0.
 1.         0.         0.         0.         1.         1.
 1.         0.         1.         1.         0.         0.        ]"
24,"1,605,903",1.000000,19.771424,8/36 (22.22%),"[0.39362867 0.         1.         0.         0.         0.62220766
 0.         0.33543006 0.95491174 0.         0.24983442 0.69018228
 1.         0.         0.         0.         0.61972147 0.
 1.         0.         0.61843059 0.00364291 0.67444001 0.
 0.         0.32930382 1.         0.         0.         0.75
 0.90722867 1.         0.         0.61399286 0.90089659 0.        ]"
25,"1,611,457",0.000000,0.263349,18/36 (50.00%),"[1.         0.         0.95918772 0.         0.         0.
 1.         0.         1.         0.         0.43586121 1.
 0.         1.         0.         0.88505036 0.         1.
 0.         1.         0.         1.         0.         0.
 1.         0.         0.         0.         0.         1.
 1.         0.         1.         1.         0.         1.        ]"
26,"1,615,209",1.000000,18.257878,9/36 (25.00%),"[0.33333333 0.27175039 1.         0.67469114 0.30134802 1.
 0.54344587 0.52346351 0.4499491  0.23235018 0.         0.6282618
 0.         0.         1.         1.         0.         0.
 0.00341553 0.         0.29207918 0.         0.         0.
 1.         0.20147481 0.8130288  0.         1.         0.
 1.         0.         0.58757386 0.         1.         0.        ]"
27,"1,700,818",0.000000,0.990473,24/36 (66.67%),"[0.         1.         1.         0.         1.         1.
 0.         0.         0.         1.         0.         0.
 0.5169724  0.00175792 0.         1.         0.         0.
 0.55411781 0.0110089  1.         0.         0.         0.
 0.         0.         1.         0.         1.         1.
 1.         0.83635162 0.         0.         0.         0.        ]"
28,"1,744,893",0.000000,0.393178,18/36 (50.00%),"[0.04444702 1.         1.         0.         1.         1.
 0.72423309 0.         0.         1.         0.         0.
 1.         0.         0.         1.         0.06703543 0.40472149
 0.         1.         1.         0.         1.         1.
 0.         0.         0.         0.         0.         0.
 0.         1.         1.         0.         1.         1.        ]"
29,"1,771,362",1.000000,17.165002,15/36 (41.67%),"[0.75813064 0.         0.         0.         0.         0.71724169
 1.         0.         1.         1.         0.         1.
 0.         0.         0.         0.         0.         0.
 0.         1.         0.         1.         0.         1.
 0.         0.71902657 0.         1.         0.         0.00417379
 0.         0.         0.         0.         0.72083653 1.        ]"
30,"1,807,054",0.000000,0.169841,27/36 (75.00%),"[0.         0.         1.         1.         0.         0.
 0.         0.         0.         0.         1.         1.
 0.         0.         1.         0.59597394 0.         0.
 1.         1.         0.         0.         1.         1.
 0.         0.         1.         1.         0.         0.
 1.         1.         0.         0.         1.         1.        ]"
31,"1,821,140",0.000000,10.945795,20/36 (55.56%),"[0.34212188 0.81700585 0.         1.         0.         1.
 0.34087567 0.99994237 0.         1.         0.         1.
 1.         0.         0.51484762 0.         0.         0.
 1.         0.094646   1.         0.3687763  0.         1.
 0.         0.86743404 0.         0.         0.         1.
 0.         1.         0.         1.         1.         0.        ]"
32,"1,823,388",1.000000,16.640448,19/36 (52.78%),"[0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 3.44474461e-01 0.00000000e+00 0.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 3.33333333e-01 5.18231819e-05
 7.35826042e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 6.66838596e-01 6.60388369e-07
 0.00000000e+00 0.00000000e+00 9.17305170e-01 9.88097674e-01
 1.18209636e-02 5.20166307e-01 6.34479797e-01 4.54140783e-01]"
33,"1,831,701",1.000000,20.655224,6/36 (16.67%),"[1.         0.         0.         1.         0.88881996 0.4948393
 1.         0.         0.70246751 0.0042062  0.         1.
 0.         0.40145305 0.89645873 0.         0.03524852 1.
 0.         0.         0.28331226 1.         0.88741318 0.
 0.         0.88881996 0.92918531 0.         0.         1.
 0.58333333 0.         0.2790993  0.58681139 0.         0.79020335]"
34,"1,905,338",1.000000,18.276497,12/36 (33.33%),"[1.         0.15450257 0.0305949  0.         1.         1.
 0.         0.36179449 1.         1.         0.         0.03802055
 0.63756721 1.         0.         0.         0.         1.
 0.01201415 0.         1.         1.         0.         1.
 1.         1.         0.         0.         0.         0.25802823
 0.         0.         1.         0.92540895 0.         0.        ]"
35,"1,925,806",1.000000,18.131442,14/36 (38.89%),"[1.         1.         0.         0.         0.         0.61352462
 0.         0.         1.         1.         0.         0.89127632
 1.         1.         0.         0.         0.17556928 0.
 0.         0.18194918 0.65592397 0.31782601 1.         0.53149732
 0.         0.40960243 1.         0.         0.32837359 0.01097031
 1.         1.         0.21933087 0.37780375 0.40698163 0.        ]"
36,"1,945,389",0.000000,0.004019,36/36 (100.00%),"[1. 1. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0.
 1. 1. 0. 0. 1. 1. 0. 0. 1. 1. 0. 0.]"
37,"1,945,835",1.000000,20.343384,7/36 (19.44%),"[0.59059046 0.         0.68331978 0.         0.15801035 0.98040461
 0.98040461 0.         0.56800762 0.         0.         1.
 0.         0.83848678 0.03931287 1.         1.         0.
 1.         0.         0.98040461 0.29680227 0.         1.
 0.         0.         0.85217561 0.         0.         0.83526534
 1.         1.         0.         0.00152902 0.46585344 0.        ]"
38,"1,966,415",0.000000,0.156093,28/36 (77.78%),"[1.         0.         0.         1.         1.         0.
 1.         0.2825442  0.11440562 0.         0.         1.
 0.         0.60622115 0.         1.         0.         1.
 0.1280518  1.         0.         1.         0.         0.
 1.         0.         1.         0.         1.         1.
 0.85183242 0.         1.         0.         0.         0.        ]"
39,"10,016,966",0.000000,0.226636,27/36 (75.00%),"[0.64987776 1.         0.         0.         0.         0.
 0.         0.         0.         0.         1.         1.
 0.78154563 0.         1.         1.         0.         0.
 1.         0.         0.         0.         1.         1.
 0.         0.         1.         1.         0.         0.
 1.         1.         0.         0.         1.         1.        ]"
40,"10,021,279",0.000000,3.786342,16/36 (44.44%),"[1.         0.         0.61565394 0.         0.04937569 0.
 1.         0.         0.95876178 0.         0.         1.
 0.         1.         0.         1.         0.         1.
 0.         1.         0.         1.         0.         0.
 1.         0.         1.         0.         1.         0.
 1.         0.         1.         0.         1.         0.        ]"
