Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,003,822",0.000000,0.093110,23/36 (63.89%),"[0.5838 0.0000 0.2219 0.6139 0.5309 -0.0149 1.0000 0.4545 0.6932 2.6633
 -0.0680 0.7021 0.0000 0.0000 0.7353 0.0000 -2.0681 0.5598 1.0000 0.0000
 0.0000 1.0000 0.0000 0.0000 1.0000 0.0000 0.0000 1.0000 0.0000 0.0000
 0.0000 1.0000 1.0000 0.0000 1.0000 1.0000]"
2,"1,124,444",1.000000,18.363644,7/36 (19.44%),"[0.0000 0.0000 0.0000 1.0000 1.0000 0.0000 1.0000 1.0000 0.0000 0.0000
 0.0000 0.9712 0.0000 0.0000 1.0000 1.0000 0.0000 0.7399 0.7837 1.0000
 0.0874 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.9712 0.0000 0.0465
 0.0000 1.0000 1.0000 0.0000 1.0000 0.9235]"
3,"1,188,236",1.000000,17.355956,10/36 (27.78%),"[0.9870 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 1.0000 0.7625
 0.0000 0.0000 0.9870 1.0000 0.0003 0.0000 0.0000 0.8132 0.0000 0.0000
 0.0000 1.0000 0.0000 1.0000 1.0000 1.0000 0.0000 0.9391 0.0000 0.0000
 0.0000 0.0000 0.0000 0.0000 0.9445 1.0000]"
4,"1,191,192",0.000000,0.042817,36/36 (100.00%),"[1.0000 1.0000 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000
 0.0000 1.0000 0.0000 1.0000 0.0000 1.0000 0.0000 1.0000 0.0000 1.0000
 0.0000 1.0000 0.0000 0.0000 1.0000 0.0000 1.0000 0.0000 1.0000 0.0000
 1.0000 0.0000 1.0000 0.0000 1.0000 0.0000]"
5,"1,192,723",1.000000,17.649251,9/36 (25.00%),"[0.0000 0.0000 0.0000 0.6844 0.5265 0.0390 0.8711 0.0000 1.0000 0.0000
 0.0000 0.6905 1.0000 0.0000 1.0000 0.0000 0.0000 0.7289 0.0000 0.0000
 0.0000 1.0000 0.9330 0.0000 0.8232 0.7067 0.0000 0.2179 0.0000 0.0000
 0.2695 0.0000 0.7904 1.0000 0.0000 1.0000]"
6,"1,194,297",1.000000,16.373336,16/36 (44.44%),"[0.0000 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
 1.0000 1.0000 1.0000 0.0865 1.0000 0.0000 0.0000 0.0000 1.0000 0.0000
 1.0000 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.3491 0.0000 0.0000
 1.0000 1.0000 0.0000 0.0000 1.0000 1.0000]"
7,"1,198,412",0.000000,0.234273,19/36 (52.78%),"[1.0000 0.0000 0.0000 0.9662 0.5323 0.0000 0.9412 0.0000 1.0000 0.0000
 0.0000 1.0000 0.0000 0.0000 1.0000 0.0000 0.0000 1.0000 0.5917 0.9662
 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 1.0000 0.0000 0.0000 1.0000
 0.0000 0.0000 0.9662 0.0000 0.0000 1.0000]"
8,"1,217,965",1.000000,16.317217,11/36 (30.56%),"[0.0077 0.0134 1.0000 1.0000 0.1036 0.6018 0.9787 0.0000 0.0000 0.0000
 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.7728 0.3311 0.0000 1.0000
 1.0000 0.0000 1.0000 0.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000
 1.0000 0.0000 0.0000 0.0000 0.9787 0.6259]"
9,"1,253,849",1.000000,14.212143,20/36 (55.56%),"[0.9146 0.0000 0.0000 0.0000 0.0000 0.0000 0.9158 0.0000 0.0000 0.0000
 0.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 1.0000 1.0000 0.8974
 0.0000 1.0000 1.0000 0.0000 0.2487 0.0000 0.6992 0.0000 0.0000 1.0000
 0.0192 0.0632 0.8202 0.0000 0.0000 1.0000]"
10,"1,317,605",2.000000,17.230544,8/36 (22.22%),"[0.0000 0.0000 1.0000 0.0000 0.8909 1.0000 1.0000 0.2494 0.8706 0.0000
 0.0000 0.3263 0.5160 0.0000 0.0000 1.0000 1.0000 0.0000 0.0000 0.8909
 0.0000 0.0000 0.0000 0.0000 0.0000 0.8180 0.0000 1.0000 0.0000 0.8909
 0.0000 0.0423 0.0000 1.0000 0.0000 0.0000]"
