Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,003,822",0.000000,8.501158,23/36 (63.89%),"[1.         0.         0.28993032 1.         1.         0.
 1.         0.         1.         0.         0.         1.
 0.         0.         1.         0.         0.         1.
 1.         0.         0.         1.         0.         0.
 1.         0.         0.         1.         0.         0.
 0.         1.         1.         0.         1.         1.        ]"
2,"1,124,444",2.000000,16.507416,7/36 (19.44%),"[0.94299996 0.         0.         1.         1.         0.
 0.         0.64070872 1.         0.         0.         0.3276911
 1.         0.         0.         1.         1.         0.
 0.86322008 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 1.         0.68941283 0.         0.         1.         1.        ]"
3,"1,188,236",0.000000,10.834135,10/36 (27.78%),"[9.96493072e-01 1.00000000e+00 0.00000000e+00 0.00000000e+00
 8.04269671e-01 1.00000000e+00 0.00000000e+00 0.00000000e+00
 7.26605060e-01 1.00000000e+00 0.00000000e+00 0.00000000e+00
 9.50442244e-01 6.46081066e-01 0.00000000e+00 5.87448629e-03
 1.00000000e+00 5.80826699e-01 0.00000000e+00 0.00000000e+00
 6.34802526e-02 1.75530350e-05 2.57010010e-02 0.00000000e+00
 1.00000000e+00 1.00000000e+00 0.00000000e+00 8.08301434e-01
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 6.67661308e-01 0.00000000e+00 9.96537758e-01]"
4,"1,191,192",0.000000,0.009508,36/36 (100.00%),"[1. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0.
 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.]"
5,"1,192,723",2.000000,16.524908,9/36 (25.00%),"[1.         1.         0.         0.         0.         0.77761061
 0.         0.         1.         0.         0.         1.
 0.77761061 0.         1.         0.         0.         0.
 0.77761061 0.         0.         0.         0.         0.
 0.         0.40212906 0.         0.         1.         0.77761061
 0.         0.         0.72504743 1.         0.         0.        ]"
6,"1,194,297",1.000000,16.257321,16/36 (44.44%),"[0.58456714 0.2367666  1.         1.         0.         0.74107959
 0.74107959 0.00331459 0.02767619 0.         0.06330183 1.
 0.36738188 1.         1.         0.4091192  0.         0.
 0.07925817 0.         0.         0.         1.         1.
 0.         0.         0.78212161 0.74107959 0.         0.
 1.         1.         0.         0.         1.         1.        ]"
7,"1,198,412",0.000000,0.107384,19/36 (52.78%),"[1.         0.         0.         1.         1.         0.
 0.68611218 0.44080459 0.9334225  0.         0.         1.
 0.         0.         1.         0.         0.         1.
 1.         1.         0.         1.         1.         0.
 0.         0.         1.         0.         0.         1.
 0.         0.         1.         0.         0.         1.        ]"
8,"1,217,965",1.000000,16.506203,11/36 (30.56%),"[0.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00
 5.27738038e-01 0.00000000e+00 7.08550940e-01 0.00000000e+00
 4.09314699e-02 0.00000000e+00 6.66143927e-01 6.95276920e-03
 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 7.24398931e-01
 1.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 8.56708882e-04 1.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00]"
9,"1,253,849",1.000000,14.225658,20/36 (55.56%),"[0.         1.         0.75196482 0.         0.         0.
 0.         0.04196487 0.         0.         0.         1.
 1.         0.         0.         0.         0.         1.
 0.95285014 0.         0.         1.         1.         0.
 0.23311292 0.6852184  1.         0.         0.         1.
 0.         0.         0.         0.33020381 0.         1.        ]"
10,"1,317,605",1.000000,16.666498,8/36 (22.22%),"[1.00000000e+00 4.30020251e-01 1.00000000e+00 0.00000000e+00
 1.04831528e-03 1.00000000e+00 6.04829059e-01 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 3.58415551e-01 2.09099780e-02 0.00000000e+00 0.00000000e+00
 0.00000000e+00 5.55735227e-04 9.65005403e-01 1.00000000e+00
 4.28491441e-02 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 6.93149670e-01 1.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 3.99928442e-01]"
11,"1,332,159",0.000000,2.571150,11/36 (30.56%),"[0.         0.         0.69570485 1.         0.         0.
 0.20704464 0.         0.         0.         1.         1.
 0.83863764 0.         0.66180539 1.         0.         0.
 1.         0.         0.         0.         1.         1.
 0.         0.         1.         1.         0.         0.
 1.         1.         0.         0.         0.71708024 1.        ]"
12,"1,341,844",1.000000,15.322718,19/36 (52.78%),"[1.         0.         1.         1.         0.         1.
 0.59304975 0.         0.         0.         0.         1.
 0.         1.         0.84851652 0.         0.         0.
 0.         0.         0.         0.         1.         1.
 0.         0.         0.         0.03702351 0.         0.
 0.         0.84595856 1.         0.         1.         1.        ]"
13,"1,343,094",1.000000,16.445460,11/36 (30.56%),"[0.         0.         0.         0.         1.         0.68834505
 1.         0.         1.         1.         0.06937192 0.
 1.         0.         0.         0.         1.         1.
 0.         1.         1.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 1.         1.         0.         0.         1.         0.68834505]"
14,"1,350,652",0.000000,0.467088,22/36 (61.11%),"[0.         0.         0.         1.         0.         1.
 1.         0.         0.         1.         0.         1.
 1.         0.         0.         0.         1.         0.
 0.         1.         0.55112186 0.         1.         0.
 1.         0.         0.27938148 0.13796184 0.         0.50896045
 1.         0.         0.56535401 1.         0.         1.        ]"
15,"1,375,820",0.000000,0.011510,36/36 (100.00%),"[0. 1. 1. 0. 1. 1. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 1. 0. 1. 1.
 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 1.]"
16,"1,430,637",0.000000,2.085183,16/36 (44.44%),"[0.         0.         1.         0.59912045 0.         1.
 0.         1.         0.         0.11521161 0.         1.
 0.         1.         0.         1.         0.80701984 0.
 0.         0.         1.         0.         0.         0.86368054
 0.         0.         1.         0.         0.1477928  1.
 0.75877053 1.         0.         1.         1.         0.        ]"
17,"1,454,003",0.000000,0.135406,16/36 (44.44%),"[1.         0.         0.         0.         0.         0.
 1.         0.         0.         1.         1.         0.
 0.         0.70738117 0.95350267 0.         0.         0.30561802
 1.         0.         0.         0.04877974 1.         1.
 1.         0.         0.71599348 1.         0.         0.
 0.21978187 0.         0.         0.         0.55367855 1.        ]"
18,"1,470,603",0.000000,0.008508,36/36 (100.00%),"[1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0.
 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1.]"
19,"1,480,509",2.000000,16.554323,6/36 (16.67%),"[0.         0.         0.12166707 0.         0.         0.
 0.         1.         1.         0.29684434 0.15374684 1.
 1.         0.         0.         1.         0.         1.
 1.         0.         0.00124325 1.         0.06733674 0.
 0.         0.24532605 0.         0.         0.         1.
 0.10643439 0.         1.         1.         0.         1.        ]"
20,"1,505,558",1.000000,16.618221,7/36 (19.44%),"[0.00000000e+00 0.00000000e+00 9.96632702e-01 2.41850555e-03
 1.00000000e+00 9.96632702e-01 1.27574995e-04 0.00000000e+00
 7.19178903e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 7.56410954e-01 0.00000000e+00 2.19160823e-01 1.00000000e+00
 1.00000000e+00 0.00000000e+00 7.99325261e-01 0.00000000e+00
 0.00000000e+00 3.33103697e-01 0.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 1.63873789e-02 1.00000000e+00
 0.00000000e+00 5.12326183e-01 1.00000000e+00 1.00000000e+00
 0.00000000e+00 6.91137891e-01 0.00000000e+00 0.00000000e+00]"
21,"1,554,862",1.000000,16.942640,7/36 (19.44%),"[0.96607987 0.9238409  0.         1.         1.         0.
 0.02164562 0.         0.         0.         0.         0.
 1.         0.         0.         0.         0.96607987 0.
 0.65944458 0.01044246 0.72859029 0.         0.96607987 0.
 0.00617178 0.         0.7804426  0.00277812 0.0245026  0.91611789
 0.70322833 1.         0.         0.89082259 0.         1.        ]"
22,"1,568,229",0.000000,0.074852,18/36 (50.00%),"[1.         0.         1.         1.         0.         0.56335673
 1.         0.         0.         0.         0.         1.
 0.         0.37108064 0.         0.56335673 0.95463547 0.
 0.         0.         0.         0.         0.         1.
 1.         1.         0.         0.         0.         1.
 0.         0.         0.         0.85449956 0.54166111 0.        ]"
23,"1,589,978",1.000000,14.766686,20/36 (55.56%),"[1.         0.         0.         1.         1.         0.
 1.         0.         0.         0.         0.         0.08117127
 0.         0.15648999 0.         0.10811927 0.80071598 1.
 1.         0.06608367 0.98864521 1.         0.         0.
 0.77191387 0.         0.         0.         1.         1.
 0.29223203 0.         1.         1.         0.         0.        ]"
24,"1,605,903",0.000000,9.082572,8/36 (22.22%),"[0.         0.         0.34427771 0.99843478 1.         0.
 0.         1.         0.96030703 0.         0.         0.
 1.         0.         0.         1.         1.         0.
 1.         0.         1.         0.         0.         0.6307393
 0.         0.         1.         0.         0.         1.
 0.97082634 1.         0.         0.74892432 1.         0.        ]"
25,"1,611,457",0.000000,3.424604,18/36 (50.00%),"[1.         0.         0.99897484 0.         0.3752431  0.
 1.         0.         1.         0.         0.         1.
 0.         1.         0.         1.         0.         0.57042459
 0.         1.         0.         1.         0.         0.19707311
 1.         0.         0.         0.         0.         1.
 1.         0.         1.         0.85038922 0.         1.        ]"
26,"1,615,209",1.000000,16.056114,9/36 (25.00%),"[0.         0.         0.         0.         0.         1.
 0.74991634 0.         1.         0.54980605 0.11212308 1.
 1.         0.         0.         0.2083725  0.46848083 0.
 0.         0.01058367 1.         0.96844213 0.         0.
 0.         0.         0.         0.         1.         0.
 0.         1.         1.         0.         1.         0.        ]"
27,"1,700,818",0.000000,7.303902,24/36 (66.67%),"[0.         1.         1.         0.         1.         1.
 0.         0.         0.         1.         0.         0.
 0.63752072 0.         0.         1.         0.         0.
 0.86338081 0.         1.         0.         0.         0.
 0.04875891 0.         1.         0.         1.         1.
 1.         0.50544369 0.         0.         0.         0.        ]"
28,"1,744,893",0.000000,0.258949,18/36 (50.00%),"[0.         1.         0.90779379 0.         1.         0.90779379
 1.         0.         0.         0.90779379 0.41711315 0.
 1.         0.         0.         1.         0.0758993  0.
 0.         1.         1.         0.         1.         1.
 0.         0.         0.         0.         0.         0.
 0.         1.         1.         0.         1.         1.        ]"
29,"1,771,362",1.000000,15.310074,15/36 (41.67%),"[1.         0.85432502 0.         0.         0.         0.94688102
 0.         0.         1.         1.         0.         0.85429915
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         1.         0.         1.
 1.         0.         0.         1.         0.         0.77794922
 1.         0.         0.03210006 0.         0.         0.        ]"
30,"1,807,054",0.000000,0.133276,27/36 (75.00%),"[0.         0.00625351 1.         1.         0.         0.
 0.1999416  0.         0.         0.         1.         1.
 0.         0.         1.         0.50976303 0.         0.
 1.         1.         0.         0.         1.         1.
 0.         0.         1.         1.         0.         0.
 1.         1.         0.         0.         1.         1.        ]"
