Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,003,822",0.000000,4.457882,23/36 (63.89%),"[1.         0.         0.45658531 0.86797611 0.78400306 0.23288166
 1.         0.         0.56122374 0.36620236 0.12902445 1.
 0.         0.         0.54645763 0.         0.27112565 0.91329955
 1.         0.         0.         1.         0.         0.
 1.         0.         0.         1.         0.         0.
 0.         1.         1.         0.         1.         1.        ]"
2,"1,124,444",1.000000,18.973880,7/36 (19.44%),"[1.         0.         0.         1.         1.         0.
 1.         0.42982596 0.3844424  0.         0.         1.
 0.24702082 1.         0.3439091  0.17673157 0.04109748 1.
 0.40565352 0.77508204 0.31307637 0.         0.24851603 0.17565537
 1.         0.00295853 0.12835749 0.         0.57944541 0.83419572
 0.66666048 0.02949746 1.         0.52458195 0.06937125 0.27218565]"
3,"1,188,236",2.000000,18.710094,10/36 (27.78%),"[0.         0.         1.         0.         0.94028424 0.45205338
 1.         0.         0.66217372 0.         0.86574432 0.43126398
 1.         0.         0.         0.04817674 0.         0.
 0.         0.         0.         0.02891284 0.32069251 0.
 1.         1.         0.         0.         0.         0.92129985
 0.         0.         0.54517432 1.         0.         0.70322299]"
4,"1,191,192",0.000000,0.000000,36/36 (100.00%),"[1. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0.
 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.]"
5,"1,192,723",1.000000,19.496852,9/36 (25.00%),"[0.95316616 1.         0.         0.2779183  0.68018629 0.88341351
 0.20813868 0.         1.         0.         0.         0.03971231
 0.3245639  0.         1.         0.         0.73261278 0.6845854
 0.68176371 0.         0.         0.         0.         0.13597687
 0.74176142 0.         0.         0.646779   0.68507734 0.
 0.41768082 0.57213092 1.         0.33013343 0.         0.28337902]"
6,"1,194,297",1.000000,18.766718,16/36 (44.44%),"[7.02470900e-01 8.99631422e-01 0.00000000e+00 9.14218444e-01
 2.53037682e-01 2.67311409e-01 0.00000000e+00 0.00000000e+00
 0.00000000e+00 5.26755619e-02 1.00000000e+00 9.96982439e-01
 1.00000000e+00 0.00000000e+00 1.00000000e+00 1.92334357e-01
 0.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 8.98794342e-01 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 3.26209484e-04
 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00]"
7,"1,198,412",0.000000,0.765062,19/36 (52.78%),"[0.58299309 0.25451681 0.         1.         0.65265923 0.
 1.         0.         1.         0.06510467 0.         1.
 0.005418   0.         0.85414831 0.         0.         1.
 0.62851198 0.57942098 0.         1.         1.         0.
 0.         0.33896226 1.         0.         0.         1.
 0.         0.         1.         0.         0.         1.        ]"
8,"1,217,965",1.000000,19.181744,11/36 (30.56%),"[0.04366857 1.         0.81217063 0.         0.93787863 0.69937599
 0.73982432 0.         0.         0.28296407 0.22078549 0.14245948
 0.80499791 0.         0.         0.99618013 0.65646921 0.11215324
 0.         1.         1.         0.         0.28816144 0.17009554
 1.         0.         0.         0.80341434 0.36724265 0.58057421
 1.         0.         0.         0.74043536 0.31068123 0.        ]"
9,"1,253,849",1.000000,17.020631,20/36 (55.56%),"[1.         0.65526501 0.         0.         0.         0.
 0.00571357 0.49323423 0.         0.         0.         1.
 0.71950902 0.77063656 0.         0.         0.         1.
 0.41750864 0.08142847 0.         1.         1.         0.
 0.69695313 0.9343283  0.31667988 0.         0.         1.
 0.04493394 0.0226447  0.75024485 0.681514   0.         1.        ]"
10,"1,317,605",1.000000,19.682369,8/36 (22.22%),"[0.42733833 0.23454406 0.         0.77961353 1.         0.17024648
 0.00645665 0.73934826 0.90235125 0.07178778 0.         0.73934826
 0.20957105 0.19791655 0.         0.1757997  0.46295397 0.71654021
 0.67462735 0.53720541 0.         0.         0.         0.09411622
 0.         0.         0.         1.         0.         1.
 0.5201995  0.67426866 0.         1.         0.         0.74817324]"
11,"1,332,159",1.000000,19.067891,11/36 (30.56%),"[0.         1.         0.         0.52946221 0.         0.
 0.         1.         0.00893267 0.         1.         1.
 0.255559   0.35394483 1.         1.         0.         0.
 0.55067124 0.57815405 0.         0.         1.         1.
 0.         0.30046067 0.         0.00608836 0.         0.05817293
 0.         1.         0.53566122 0.         1.         0.54540871]"
12,"1,341,844",1.000000,18.043805,19/36 (52.78%),"[0.12836941 0.         1.         1.         0.         1.
 0.11050849 0.47700941 0.         0.         0.         1.
 0.60095691 0.47925227 0.55773735 0.74612397 0.         0.
 0.66505076 0.23436988 0.         0.         1.         1.
 0.45249988 0.01409555 0.96444259 0.18766311 0.         0.
 0.05587837 0.48741596 1.         0.         1.         1.        ]"
13,"1,343,094",1.000000,19.485677,11/36 (30.56%),"[0.         0.98770005 1.         0.         0.94687573 0.01447259
 1.         0.         0.         0.00280967 1.         0.21165944
 1.         0.         0.28116527 0.99617798 0.27588024 0.
 0.         0.55344446 0.         1.         0.         0.63508109
 0.         0.         1.         0.         0.         0.74914333
 1.         1.         0.         1.         0.8004725  0.        ]"
14,"1,350,652",1.000000,17.828360,22/36 (61.11%),"[0.         0.         0.         1.         0.         1.
 1.         0.         0.         1.         0.         1.
 1.         0.         1.         0.         1.         0.
 0.         0.60050557 0.46275105 0.         1.         0.30279887
 1.         0.         1.         1.         0.         0.4980556
 1.         0.         0.09146904 0.         0.51693909 0.74503387]"
15,"1,375,820",0.000000,0.015625,36/36 (100.00%),"[0. 1. 1. 0. 1. 1. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 1. 0. 1. 1.
 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 1.]"
16,"1,430,637",1.000000,18.502708,16/36 (44.44%),"[0.         0.         0.77639829 1.         0.         1.
 0.         1.         0.         0.00700331 0.         1.
 0.         1.         0.         0.37041723 0.71345027 0.
 0.         0.         0.15661498 0.         1.         0.30754978
 0.         0.         0.88087432 0.61019938 0.39466166 0.05193028
 0.85838747 0.73809007 0.0625047  0.04482458 0.56378559 0.7398536 ]"
17,"1,454,003",1.000000,17.722763,16/36 (44.44%),"[1.         0.         0.         0.         0.         0.
 1.         0.         0.         1.         1.         0.
 0.         1.         0.         0.         0.         0.
 0.44813532 0.54937997 0.04215387 1.         1.         0.05198796
 0.06204315 0.         0.         0.16410584 0.         0.75779269
 0.35988175 0.48463928 1.         0.7100937  0.19535105 1.        ]"
18,"1,470,603",0.000000,0.000000,36/36 (100.00%),"[1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0.
 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1.]"
19,"1,480,509",2.000000,20.415800,6/36 (16.67%),"[0.00233326 0.67686786 0.         0.88440816 0.185602   0.41594837
 0.         0.62169602 0.         1.         0.         0.
 1.         0.         0.93890452 0.         0.26432549 0.
 1.         0.         0.29053726 0.5120909  1.         0.33491276
 0.         0.99227504 1.         0.28676412 0.         0.96221431
 1.         0.11486335 0.36169733 1.         0.867543   0.        ]"
20,"1,505,558",1.000000,20.581907,7/36 (19.44%),"[0.40365851 0.         1.         0.99296879 0.40041625 0.21696957
 0.79041741 0.99022237 0.00754592 0.37442044 0.67583345 0.96882731
 0.37986142 0.         1.         0.07733498 0.3136743  0.
 1.         0.2701794  1.         0.31270536 0.98891608 0.
 0.         0.         0.         1.         0.         0.79148888
 1.         1.         0.         0.93167917 0.         0.57696593]"
21,"1,554,862",1.000000,19.284942,7/36 (19.44%),"[0.63091597 0.65368064 0.         1.         1.         0.
 0.15334311 0.48213823 0.44339938 0.         0.         1.
 1.         0.90394503 0.17880722 0.0395718  0.3343241  0.84608473
 0.04074888 0.3697274  0.40842256 0.33371363 0.13701015 0.16602884
 0.54427234 0.         0.86157335 0.15143173 1.         0.0081458
 0.88672481 0.33284826 1.         0.         0.55044492 0.29542341]"
