Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,003,822",0.000000,4.439660,23/36 (63.89%),"[0.63933666 0.         0.         0.63023214 1.         0.
 1.         0.         0.89236914 0.         0.         1.
 0.         0.         0.8796652  0.         0.0659257  1.
 1.         0.         0.         1.         0.         0.
 1.         0.         0.         1.         0.         0.
 0.         1.         1.         0.         1.         1.        ]"
2,"1,124,444",1.000000,18.288208,7/36 (19.44%),"[1.         0.         0.         1.         1.         0.
 0.         1.         0.66227554 0.         0.         0.90769416
 0.66919878 0.         0.03628103 0.11634901 0.0761585  0.93303383
 0.         1.         0.89290317 0.11169982 0.         0.
 0.75910579 0.08438819 0.05821214 0.         0.         1.
 0.77093265 0.35720388 0.8289683  1.         0.14527165 0.93479348]"
3,"1,188,236",1.000000,16.438368,10/36 (27.78%),"[1.         1.         0.         0.         1.         1.
 0.         0.         1.         1.         0.         0.
 1.         1.         0.         0.         1.         0.30046478
 0.         0.         0.         0.         0.62962213 0.
 1.         1.         0.         0.         0.         0.
 0.         0.         0.         0.85579434 1.         0.        ]"
4,"1,191,192",0.000000,0.015625,36/36 (100.00%),"[1. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0.
 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.]"
5,"1,192,723",1.000000,15.981601,9/36 (25.00%),"[0.         0.         0.         0.79853885 1.         0.
 0.79853885 0.         1.         0.         0.         1.
 0.79853885 0.         1.         0.         0.         0.50374229
 0.         0.         0.         0.78694572 1.         0.
 1.         1.         0.18109612 0.02965516 0.         0.
 0.         0.         0.         1.         1.         0.27682332]"
6,"1,194,297",0.000000,2.653616,16/36 (44.44%),"[1.         0.75641634 0.         0.01200184 0.         0.90836347
 0.         0.         0.         1.         0.         1.
 0.70768666 1.         0.         1.         0.         0.
 0.         0.         1.         0.         1.         1.
 0.         0.         0.92518402 0.10447067 0.         0.
 1.         1.         0.         0.         1.         1.        ]"
7,"1,198,412",1.000000,14.614092,19/36 (52.78%),"[1.         1.         0.         1.         0.10752108 0.
 0.         0.11542963 0.         1.         0.         1.
 0.         1.         0.97311583 0.         0.         1.
 0.         0.         0.         1.         1.         0.
 0.49912466 0.         1.         0.         0.         1.
 0.         0.         1.         0.         0.         1.        ]"
8,"1,217,965",1.000000,16.144953,11/36 (30.56%),"[0.02103256 0.63417526 1.         0.08544578 1.         0.03631799
 1.         0.         0.42706234 0.05352672 0.99464768 0.
 1.         0.         0.         0.26779273 0.27184491 1.
 0.         1.         1.         0.         0.03803483 0.6953442
 1.         0.         0.         0.         0.23873565 0.23677424
 1.         0.         0.93336072 0.         1.         0.58427547]"
9,"1,253,849",1.000000,14.220579,20/36 (55.56%),"[1.00000000e+00 0.00000000e+00 6.44833387e-01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.99122130e-01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 8.24157654e-03 1.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 3.87539860e-02 8.90877843e-01
 0.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00
 6.65988879e-02 3.09396000e-04 1.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 5.99707006e-01 5.91952495e-01
 0.00000000e+00 1.17695634e-01 0.00000000e+00 1.00000000e+00]"
10,"1,317,605",0.000000,0.753338,8/36 (22.22%),"[0.         0.68985108 0.82259258 0.         0.6598469  0.93109028
 1.         0.         0.         0.83907592 0.         0.
 1.         0.         0.         0.96230737 0.         0.76886122
 0.         0.99215207 1.         0.         0.         1.
 0.         0.0491091  0.         1.         0.         0.
 0.75975834 0.59289262 0.         1.         0.         0.        ]"
