Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,003,822",0.000000,3.550725,23/36 (63.89%),"[1.         0.         0.         0.60558973 1.         0.37395416
 1.         0.12350833 0.7031592  0.40261609 0.         1.
 0.         0.         1.         0.         0.         1.
 1.         0.         0.         1.         0.         0.
 1.         0.         0.         1.         0.         0.
 0.         1.         1.         0.         1.         1.        ]"
2,"1,124,444",1.000000,18.327815,7/36 (19.44%),"[0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 6.52598499e-01
 6.49178676e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 7.09267110e-07 0.00000000e+00 5.80596211e-01
 7.81935647e-01 0.00000000e+00 1.00000000e+00 1.00000000e+00
 3.68237269e-03 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.94292170e-03
 0.00000000e+00 1.00000000e+00 6.69206092e-01 1.00000000e+00
 0.00000000e+00 9.60471582e-01 7.52234580e-01 0.00000000e+00]"
3,"1,188,236",1.000000,17.895271,10/36 (27.78%),"[0.00000000e+00 1.00000000e+00 6.43196801e-01 0.00000000e+00
 9.22107392e-01 1.00000000e+00 1.00000000e+00 0.00000000e+00
 5.13619785e-05 0.00000000e+00 0.00000000e+00 4.15007097e-02
 9.96260793e-01 0.00000000e+00 9.96260793e-01 0.00000000e+00
 0.00000000e+00 9.13697630e-02 0.00000000e+00 0.00000000e+00
 1.00000000e+00 4.15796452e-01 8.95227508e-01 1.00000000e+00
 1.00000000e+00 1.00000000e+00 0.00000000e+00 2.08686141e-01
 0.00000000e+00 4.14434234e-02 0.00000000e+00 0.00000000e+00
 0.00000000e+00 9.96260793e-01 5.82426341e-01 9.26999242e-03]"
4,"1,191,192",0.000000,0.000000,36/36 (100.00%),"[1. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0.
 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.]"
5,"1,192,723",1.000000,16.288379,9/36 (25.00%),"[1.         0.         0.         1.         1.         0.23908286
 1.         0.         1.         0.         0.         0.
 0.         0.         1.         0.         1.         1.
 0.94025379 1.         0.         0.6352548  0.         0.
 0.         0.         0.         1.         0.         0.40433818
 1.         0.68178904 0.         0.37176387 0.44246947 1.        ]"
6,"1,194,297",1.000000,15.979350,16/36 (44.44%),"[0.95177769 0.55846392 0.         0.10505681 0.         0.57105765
 0.         0.03089887 0.18992457 0.54078182 0.         1.
 0.00937206 0.31198414 0.11559784 1.         0.         0.
 1.         0.         1.         0.         1.         1.
 0.         0.         0.57105765 0.03034815 0.         0.
 1.         1.         0.         0.         1.         1.        ]"
7,"1,198,412",1.000000,14.469338,19/36 (52.78%),"[1.         0.76648539 0.         1.         1.         0.
 0.00590336 0.         0.48449016 0.25982815 0.         1.
 0.         0.61130511 1.         0.         0.         1.
 0.17031593 0.         0.         1.         1.         0.
 0.08472649 0.53748997 1.         0.         0.         1.
 0.         0.         0.         0.         0.         1.        ]"
8,"1,217,965",0.000000,0.581778,11/36 (30.56%),"[1.29394612e-04 1.00000000e+00 9.64735166e-01 0.00000000e+00
 0.00000000e+00 9.05497894e-02 7.87677108e-01 3.18477082e-02
 3.62388049e-02 1.00000000e+00 0.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 9.64735166e-01
 2.72514378e-01 8.66233640e-01 0.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 1.00000000e+00 1.53382437e-01
 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 9.08374236e-01 0.00000000e+00 1.00000000e+00 0.00000000e+00
 9.64735166e-01 5.86392691e-01 0.00000000e+00 0.00000000e+00]"
9,"1,253,849",1.000000,14.350262,20/36 (55.56%),"[0.88415737 0.         1.         0.         0.         0.
 1.         0.         0.         0.         0.         1.
 0.         0.88528633 0.         0.         0.         1.
 0.         1.         0.         1.         1.         0.
 0.97547459 0.         0.90255015 0.         0.         1.
 0.90255015 0.         0.         0.23517541 0.         1.        ]"
10,"1,317,605",1.000000,16.535471,8/36 (22.22%),"[1.00000000e+00 0.00000000e+00 9.31066673e-01 0.00000000e+00
 7.82488619e-01 6.87124498e-01 1.00000000e+00 2.97750694e-01
 0.00000000e+00 8.43866041e-01 0.00000000e+00 1.25708130e-06
 0.00000000e+00 7.57922243e-04 0.00000000e+00 8.90942747e-01
 1.88685091e-02 9.06687325e-01 1.00000000e+00 9.12155240e-01
 0.00000000e+00 0.00000000e+00 3.20888567e-02 1.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 2.69414323e-03 1.00000000e+00 7.50930594e-01
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00]"
