Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,003,822",0.000000,4.027767,23/36 (63.89%),"[0.79238593 0.         0.49559385 0.89547269 0.6349008  0.01075704
 1.         0.42985148 0.85355123 0.         0.37053475 1.
 0.         0.         0.78542403 0.         0.19597581 1.
 1.         0.         0.         1.         0.         0.
 1.         0.         0.         1.         0.         0.
 0.         1.         1.         0.         1.         1.        ]"
2,"1,124,444",2.000000,18.044852,7/36 (19.44%),"[0.15728318 0.         0.         1.         1.         0.
 0.         1.         1.         0.         0.         0.
 0.21911689 0.         0.00849889 0.76021631 0.82522633 0.15110935
 1.         0.94893057 0.17821155 0.08756028 0.44912862 1.
 0.32741288 0.         0.01920269 0.         0.21766785 0.86943534
 0.31062581 1.         1.         0.49948665 0.         0.10077029]"
3,"1,188,236",1.000000,18.099607,10/36 (27.78%),"[0.02073853 1.         0.81010635 0.         0.64235955 0.81298103
 0.25078353 0.         0.         0.41989137 0.39233298 0.01498025
 0.1709777  0.50841278 1.         0.2207014  0.66713288 1.
 0.         0.         0.         0.00434183 0.41098417 0.29140819
 1.         1.         0.         1.         0.         1.
 0.         0.         0.         0.73611297 0.         0.83777789]"
4,"1,191,192",0.000000,0.000000,36/36 (100.00%),"[1. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0.
 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.]"
5,"1,192,723",1.000000,18.753640,9/36 (25.00%),"[0.80501829 0.         0.         1.         0.86471355 0.
 0.75850615 0.         1.         0.         0.         0.
 0.         0.         1.         0.         0.75598061 1.
 1.         0.         0.         0.61307171 0.12099392 0.
 1.         0.         1.         0.         1.         0.45169996
 0.47388966 0.         1.         0.00477707 0.99772246 0.        ]"
6,"1,194,297",1.000000,18.026855,16/36 (44.44%),"[6.31796211e-01 1.64936038e-01 1.00000000e+00 6.26142213e-01
 2.96933136e-01 3.69005957e-02 7.24308423e-01 0.00000000e+00
 0.00000000e+00 2.72070976e-01 1.04914582e-01 1.96380722e-01
 0.00000000e+00 3.34847371e-01 8.22596021e-01 1.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 6.18651817e-04 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 6.29687665e-01 1.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00]"
7,"1,198,412",0.000000,0.056340,19/36 (52.78%),"[0.8449751  0.36144096 0.20704615 0.5954095  0.60292868 0.
 0.84197424 0.02300846 0.64656397 0.25051585 0.         1.
 0.24268965 0.26209842 0.80969872 0.         0.         1.
 1.         0.61816418 0.         1.         1.         0.
 0.09702683 0.11585049 1.         0.         0.         1.
 0.         0.         0.67255957 0.         0.         1.        ]"
8,"1,217,965",1.000000,19.299353,11/36 (30.56%),"[1.         0.         0.65186421 0.72009541 0.01610466 0.78918085
 0.52070726 0.         0.         0.         0.         0.61330689
 0.16629878 0.         0.         0.79553185 0.         0.37878049
 0.         1.         1.         0.         0.8362003  1.
 1.         0.         0.         0.40781882 0.00469888 0.4290698
 1.         0.         1.         0.00410769 0.60053972 0.97913292]"
9,"1,253,849",1.000000,15.595965,20/36 (55.56%),"[3.06654821e-01 1.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 8.13098980e-04 8.30113529e-01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 8.92651985e-01 2.34366143e-01 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 1.00000000e+00 2.67240940e-01
 0.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00
 2.66659562e-01 7.47725215e-01 6.15731026e-01 0.00000000e+00
 0.00000000e+00 1.00000000e+00 9.33859559e-04 4.03254250e-03
 2.61620134e-01 2.07468049e-01 0.00000000e+00 1.00000000e+00]"
10,"1,317,605",1.000000,19.106025,8/36 (22.22%),"[0.03008632 0.         0.85258198 0.95388544 0.18826239 1.
 1.         0.85293334 0.19969374 0.03273811 0.49557557 1.
 0.22872613 0.11145486 0.         0.71854308 0.03828528 0.00413189
 1.         0.88198263 0.         0.         0.16203858 0.36028039
 0.37072953 0.22092166 0.         1.         0.         0.96431474
 1.         0.65154405 0.         1.         0.         0.7707219 ]"
