Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,003,822",0.000000,0.385850,23/36 (63.89%),"[0.56663566 0.         0.         0.81130333 1.         0.
 1.         0.26994377 0.94856946 0.0703098  0.12292114 1.
 0.         0.         1.         0.         0.4373505  1.
 1.         0.         0.         1.         0.         0.
 1.         0.         0.         1.         0.         0.
 0.         1.         1.         0.         1.         1.        ]"
2,"1,124,444",1.000000,20.313028,7/36 (19.44%),"[0.5591438  0.         0.         1.         1.         0.
 0.68241659 0.44936426 0.65776887 0.         0.         0.67091529
 0.28723537 0.31814533 0.29236719 0.09018624 0.         1.
 1.         1.         0.13260947 1.         0.31563306 0.20932588
 0.         0.3473109  0.28557789 0.66608433 0.         0.
 0.         0.55347133 1.         0.         0.80376319 1.        ]"
3,"1,188,236",1.000000,18.490000,10/36 (27.78%),"[0.07085496 0.76967874 0.9039312  0.         0.60427164 0.31309692
 1.         0.         0.         0.         0.97418522 0.
 1.         0.31870162 1.         1.         0.43844556 0.
 0.         0.         0.         0.         0.04139293 0.
 1.         1.         0.         1.         0.         1.
 0.         0.         0.17262712 0.59737676 0.         1.        ]"
4,"1,191,192",0.000000,0.010696,36/36 (100.00%),"[1. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0.
 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.]"
5,"1,192,723",1.000000,19.330405,9/36 (25.00%),"[1.         0.19211838 0.         0.85909057 0.91833384 0.
 0.74596515 0.         1.         0.         0.         1.
 0.15053509 0.         1.         0.         0.         1.
 0.45252356 0.81544382 0.         0.         0.         0.
 0.12023346 0.5322163  0.         0.28107076 0.         1.
 0.13507964 0.04428006 0.87376177 1.         0.         1.        ]"
6,"1,194,297",1.000000,18.173920,16/36 (44.44%),"[0.35800945 0.         0.2788944  0.97381032 0.         0.9738049
 0.         0.         0.45668181 0.80372281 0.47528352 0.53667792
 0.00669257 0.96815316 1.         0.34312845 0.         0.
 0.00270355 0.         0.23925505 0.         1.         1.
 0.         0.         1.         0.95048434 0.         0.
 1.         1.         0.         0.         1.         1.        ]"
7,"1,198,412",0.000000,8.807121,19/36 (52.78%),"[0.97366828 0.15400869 0.11718865 0.75827904 0.50266152 0.
 0.51673093 0.         0.77944756 0.42804607 0.         1.
 0.         0.1400286  0.65653056 0.         0.         1.
 0.65565317 0.74450422 0.         1.         1.         0.
 0.26944962 0.         1.         0.         0.         1.
 0.         0.         0.93739524 0.         0.         1.        ]"
8,"1,217,965",1.000000,19.157021,11/36 (30.56%),"[1.18031692e-01 6.42842904e-01 9.78554256e-01 1.54603720e-01
 1.00000000e+00 2.81969744e-01 9.04704741e-01 2.85274369e-01
 4.62692526e-04 0.00000000e+00 6.80646114e-01 3.53786499e-01
 8.66034929e-01 0.00000000e+00 0.00000000e+00 5.26851866e-06
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 2.61362661e-01 1.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 5.59071091e-01
 0.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00
 1.19986029e-01 9.17598421e-01 0.00000000e+00 1.24348958e-01]"
9,"1,253,849",0.000000,11.048159,20/36 (55.56%),"[0.         0.56309884 1.         0.         0.         0.
 0.81705884 0.         0.         0.         0.         1.
 0.52726343 0.         0.         0.         0.         1.
 0.         0.85860276 0.         1.         1.         0.
 0.26861986 0.87604049 0.104408   0.         0.         1.
 0.36330477 0.         0.90522644 0.80833124 0.         1.        ]"
10,"1,317,605",1.000000,19.916925,8/36 (22.22%),"[0.23796931 1.         0.12854773 0.33832249 0.01521092 0.65789144
 0.01035243 0.89699673 0.00171587 1.         0.         0.96354739
 0.69627081 0.35393346 0.         1.         0.08490762 0.
 0.91361443 0.42938831 0.         0.         0.79598644 0.96354739
 0.         0.96354739 0.         1.         0.         0.01098001
 0.48213473 0.82261302 0.         1.         0.         0.29438648]"
11,"1,332,159",0.000000,14.266229,11/36 (30.56%),"[6.18841268e-02 8.20440649e-02 1.00000000e+00 9.04319055e-01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 4.24265243e-01
 2.07256565e-01 0.00000000e+00 1.00000000e+00 1.00000000e+00
 6.76246393e-01 2.06447961e-01 8.56001539e-01 1.00000000e+00
 0.00000000e+00 0.00000000e+00 7.81880519e-01 3.19201646e-03
 0.00000000e+00 4.14516182e-01 1.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 8.05141907e-01
 0.00000000e+00 3.24700972e-01 7.18103170e-01 5.29038683e-01
 4.36680100e-04 2.83047222e-02 6.50577069e-01 5.92905373e-01]"
12,"1,341,844",0.000000,15.253438,19/36 (52.78%),"[1.         0.         1.         1.         0.         1.
 0.64223229 0.14710781 0.         0.         0.         1.
 0.         0.55997257 0.73583475 0.00722205 0.         0.
 1.         0.02125056 0.42705505 0.         1.         1.
 0.96641185 0.         0.68265725 1.         0.         0.
 0.03501772 0.11906154 0.         0.         1.         1.        ]"
