Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,003,822",0.000000,0.746056,23/36 (63.89%),"[1.0000 0.0000 0.4804 1.0000 0.6183 0.1028 1.0000 0.0000 1.0000 0.0000
 0.2815 0.5313 0.0000 0.0000 1.0000 0.0000 0.1763 0.8508 1.0000 0.0000
 0.0000 1.0000 0.0000 0.0000 1.0000 0.0000 0.0000 1.0000 0.0000 0.0000
 0.0000 1.0000 1.0000 0.0000 1.0000 1.0000]"
2,"1,124,444",1.000000,17.798769,7/36 (19.44%),"[0.0018 0.0000 0.0000 1.0000 1.0000 0.0000 0.9717 0.7740 0.0000 0.0000
 0.0000 0.8240 0.2954 0.0294 0.7650 1.0000 0.0000 0.8240 0.0000 0.0000
 0.0309 0.0000 0.4011 0.0000 0.8240 0.9591 0.0000 0.0000 0.0000 1.0000
 0.1562 0.4173 0.7947 0.5598 0.0000 0.7021]"
3,"1,188,236",2.000000,15.858486,10/36 (27.78%),"[1.0000 0.7501 0.0000 0.0000 0.0000 0.0000 0.4216 0.0000 0.0000 0.0096
 0.0000 1.0000 0.0000 0.8949 1.0000 0.0000 0.0000 1.0000 0.0000 0.0000
 0.0000 1.0000 1.0000 0.0000 1.0000 1.0000 0.0000 0.4803 0.0000 0.6775
 0.0000 0.0000 0.0000 1.0000 1.0000 0.0000]"
4,"1,191,192",0.000000,0.031270,36/36 (100.00%),"[1.0000 1.0000 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000
 0.0000 1.0000 0.0000 1.0000 0.0000 1.0000 0.0000 1.0000 0.0000 1.0000
 0.0000 1.0000 0.0000 0.0000 1.0000 0.0000 1.0000 0.0000 1.0000 0.0000
 1.0000 0.0000 1.0000 0.0000 1.0000 0.0000]"
5,"1,192,723",1.000000,16.493842,9/36 (25.00%),"[1.0000 0.0771 0.0000 0.0000 1.0000 1.0000 1.0000 0.0000 1.0000 0.0000
 0.0000 0.0324 0.0000 0.0000 1.0000 0.0000 1.0000 1.0000 0.5470 0.7359
 0.0000 0.0000 0.0000 0.0000 0.1527 0.0000 0.7359 0.6337 0.4054 1.0000
 0.7359 1.0000 0.0000 0.0000 0.0000 0.2771]"
6,"1,194,297",1.000000,16.006265,16/36 (44.44%),"[0.4532 0.2421 0.0000 1.0000 0.0000 1.0000 0.2160 0.6945 0.3922 0.6011
 0.0000 1.0000 0.4509 0.8737 0.0371 0.0000 0.0000 0.0000 1.0000 0.0000
 0.6528 0.0000 1.0000 1.0000 0.0000 0.0000 1.0000 0.1362 0.0000 0.0000
 1.0000 1.0000 0.0000 0.0000 1.0000 1.0000]"
7,"1,198,412",0.000000,12.148427,19/36 (52.78%),"[0.8365 0.3581 0.0000 0.5076 0.9509 0.0000 1.0000 0.4712 1.0000 0.0000
 0.0000 1.0000 0.0000 0.0000 1.0000 0.0000 0.0000 1.0000 0.6537 1.0000
 0.0000 1.0000 1.0000 0.0000 0.2859 0.1761 1.0000 0.0000 0.0000 1.0000
 0.0000 0.0000 1.0000 0.0000 0.0000 1.0000]"
8,"1,217,965",1.000000,17.154454,11/36 (30.56%),"[0.0000 0.0000 1.0000 0.6445 0.0288 1.0000 1.0000 1.0000 0.0189 0.1325
 0.0000 1.0000 0.0537 0.0000 0.0000 0.0000 0.7836 0.0000 0.0000 1.0000
 1.0000 0.0000 0.9360 0.1494 1.0000 0.0000 0.0000 0.0331 0.0000 0.0000
 1.0000 0.0000 1.0000 1.0000 0.0000 0.0236]"
9,"1,253,849",1.000000,14.629140,20/36 (55.56%),"[0.7054 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0342 0.0000 0.0000
 0.0000 1.0000 0.6618 0.5542 0.0000 0.0000 0.0000 1.0000 0.3132 0.2514
 0.0000 1.0000 1.0000 0.0000 1.0000 0.7364 0.0000 0.0000 0.0000 1.0000
 0.0000 0.0000 0.0000 0.0000 0.0000 1.0000]"
10,"1,317,605",1.000000,17.148074,8/36 (22.22%),"[0.0000 0.7137 1.0000 0.0000 0.6883 0.9100 0.0000 0.0000 0.0000 1.0000
 0.0000 0.0000 0.0000 0.0000 0.0000 0.5383 0.0000 0.9100 0.8426 0.5106
 0.0000 0.0000 0.0000 0.9100 0.0000 0.0000 0.0000 1.0000 0.0000 0.0000
 0.9100 0.9100 0.0000 1.0000 0.0000 0.0000]"
11,"1,332,159",1.000000,16.661840,11/36 (30.56%),"[0.0000 0.3488 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
 1.0000 1.0000 0.0000 0.0000 0.9907 1.0000 0.0000 0.0000 0.9977 0.0000
 0.0000 0.0000 1.0000 1.0000 1.0000 0.0000 0.0000 1.0000 0.0000 0.0000
 0.0000 1.0000 1.0000 0.0000 0.5400 0.9825]"
