Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,003,822",0.000000,2.192549,23/36 (63.89%),"[0.91008381 0.         0.         0.59699021 1.         0.19210912
 1.         0.27722725 0.62886141 0.17287293 0.         1.
 0.         0.         1.         0.         0.44406562 1.
 1.         0.         0.         1.         0.         0.
 1.         0.         0.         1.         0.         0.
 0.         1.         1.         0.         1.         1.        ]"
2,"1,124,444",2.000000,16.950114,7/36 (19.44%),"[0.         0.         0.         1.         1.         0.
 0.98708539 0.         0.         0.         0.         0.50239397
 1.         0.         0.64350066 1.         0.         1.
 0.         0.43185561 0.         0.         0.         0.05186992
 1.         0.         1.         1.         0.         0.
 0.98708539 0.         0.         0.         0.31316652 0.        ]"
3,"1,188,236",2.000000,16.408039,10/36 (27.78%),"[0.83613306 0.         0.         0.         0.         0.
 1.         0.         0.         0.71874803 0.         1.
 0.         0.70880238 0.63252743 0.19180127 0.         1.
 0.         0.         0.         0.71178262 0.         0.
 1.         1.         0.         0.78136083 0.         1.
 0.         0.         0.         0.         0.35100611 0.83619283]"
4,"1,191,192",0.000000,0.031250,36/36 (100.00%),"[1. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0.
 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.]"
5,"1,192,723",1.000000,16.572637,9/36 (25.00%),"[1.         1.         0.         0.         0.21871808 1.
 0.         0.         1.         0.         0.         1.
 0.         0.         1.         0.         1.         0.
 0.90460488 0.92328422 0.         0.01296988 0.75324324 0.
 0.         0.         0.         1.         0.         0.06609837
 0.91121585 0.70090275 0.         1.         0.01917009 0.        ]"
6,"1,194,297",1.000000,15.374140,16/36 (44.44%),"[0.         0.         0.79922373 0.         0.07586867 0.83645261
 0.         0.0062361  1.         0.         0.         1.
 1.         1.         0.19842623 0.         0.         0.
 0.01317944 0.         1.         0.         1.         1.
 0.         0.         1.         0.3941588  0.         0.
 1.         1.         0.         0.         1.         1.        ]"
7,"1,198,412",0.000000,0.645960,19/36 (52.78%),"[1.         0.23862872 0.41600418 0.63907769 1.         0.
 0.90050593 0.1691343  0.98182757 0.19984321 0.         1.
 0.         0.08403769 0.78451602 0.         0.         1.
 0.654496   1.         0.         1.         1.         0.
 0.         0.         1.         0.         0.         1.
 0.         0.         1.         0.         0.         1.        ]"
8,"1,217,965",1.000000,15.965264,11/36 (30.56%),"[0.         1.         0.64962564 0.44287769 0.         0.
 1.         0.         0.         0.83845435 0.         0.
 0.84666532 0.         0.         0.52347236 0.08876602 0.
 0.         1.         1.         0.         0.13744025 1.
 1.         0.         0.         0.6627497  0.         0.7970161
 1.         0.         0.0809879  1.         0.         0.        ]"
9,"1,253,849",0.000000,6.679067,20/36 (55.56%),"[0.48251048 0.69528635 1.         0.         0.         0.
 1.         0.3305499  0.         0.         0.         1.
 0.90781213 0.         0.         0.         0.         1.
 0.         0.74091025 0.         1.         1.         0.
 0.24270001 0.52252489 0.49538774 0.         0.         1.
 0.22295785 0.         0.59125057 1.         0.         1.        ]"
10,"1,317,605",1.000000,16.540341,8/36 (22.22%),"[1.         0.         0.58273854 1.         0.         1.
 0.96622424 0.45438876 0.         0.         0.         0.82311846
 0.21793875 0.83149808 0.         1.         1.         0.
 0.         1.         0.         0.         0.17206497 0.
 1.         0.         0.         1.         0.         0.
 1.         0.         0.         1.         0.         0.17774482]"
