Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,028,317",0.000000,0.336920,52/64 (81.25%),"[0.         0.         0.         0.         0.         0.
 1.         1.         0.         1.         1.         0.
 1.         0.63985192 0.         0.         1.         0.
 0.         0.30789833 0.         0.         1.         1.
 1.         0.         0.         0.         0.8251745  0.
 0.         0.         0.         1.         1.         0.
 1.         0.         0.         1.         1.         0.
 0.         1.         0.         0.86640766 0.         1.
 1.         0.         0.         1.         0.         0.54528472
 0.         0.         0.         1.         1.         0.
 0.         0.         0.96412221 0.91636949]"
2,"1,029,044",4.000000,42.634868,9/64 (14.06%),"[1.         0.         0.7621612  0.95221178 0.         1.
 0.66468509 0.36589343 1.         0.         0.         0.
 0.         0.         0.         0.         0.         0.65874436
 0.         0.         0.95221178 0.         0.         0.
 0.89626102 0.         1.         0.1480107  1.         0.
 0.         0.95221178 0.         0.         1.         0.
 0.         0.         0.         0.         1.         0.
 0.         0.76222807 0.         0.95192381 0.55040722 0.
 1.         0.         0.         1.         0.         0.
 0.3204161  0.84151945 0.         0.         0.         0.01434541
 0.         0.         0.00345606 0.71842   ]"
3,"1,100,332",4.000000,38.188405,14/64 (21.88%),"[0.         0.         0.         0.         1.         0.
 0.         0.00178198 1.         1.         0.         0.
 0.73838233 0.         0.2818073  0.         0.         0.
 0.         0.         0.         1.         0.         0.
 0.         0.54179495 0.93461042 0.         0.         0.99324799
 0.09471837 1.         0.         0.         0.17069985 0.
 0.         0.         0.26581674 1.         0.         0.
 0.         0.99324799 0.99324799 0.         0.         0.
 0.58733489 1.         0.         0.         0.         0.
 0.         1.         0.         0.         0.         1.
 1.         0.         0.         1.        ]"
4,"1,110,957",1.000000,35.110819,29/64 (45.31%),"[1.         0.         1.         1.         0.         0.
 0.         1.         1.         0.         0.         0.
 0.         0.         0.         0.9313106  0.         1.
 1.         0.         0.95053104 0.         0.         0.
 1.         0.         0.         0.         0.54685589 0.
 0.58898372 0.95053104 1.         0.         1.         0.90126771
 0.         0.         0.         0.34261337 0.         0.
 0.         0.23698072 0.         0.         0.95053104 0.95053104
 1.         0.         0.72766016 0.         0.         0.
 0.         0.         1.         0.         0.         1.
 0.95053104 0.         0.81456055 0.58397132]"
5,"1,129,625",3.000000,39.124757,10/64 (15.62%),"[0.85191884 0.90602843 0.         0.03237923 0.         0.
 1.         0.         0.         0.         0.13600476 0.
 0.         0.         1.         0.         0.         0.
 0.         1.         1.         0.         0.         0.81302303
 0.         0.63261651 0.         0.07017242 0.         0.
 0.         1.         0.         1.         0.         0.
 1.         1.         0.         0.         0.         0.
 0.         1.         0.         0.         0.         0.
 0.         0.         0.         1.         0.         0.
 1.         1.         0.63261651 1.         0.         0.
 0.63261651 1.         0.         0.        ]"
6,"1,149,616",3.000000,36.580714,24/64 (37.50%),"[1.         0.         0.         0.         0.00375182 0.0102667
 0.94753814 1.         0.         0.94822991 0.94908672 0.3131577
 0.         0.40555005 0.         0.         1.         0.
 0.         0.         0.         0.00104683 0.54550143 0.786316
 0.         0.35265079 0.94908672 1.         0.         1.
 0.         0.         1.         0.         0.         0.14744202
 0.         1.         0.         1.         1.         0.
 0.         0.         0.         0.         0.         1.
 0.         0.         0.84473539 0.         1.         1.
 0.         0.         0.         0.         1.         0.
 0.         0.         1.         1.        ]"
7,"1,152,113",3.000000,31.139835,9/64 (14.06%),"[0.00000000e+00 5.82500242e-01 0.00000000e+00 7.87362919e-01
 4.50463039e-01 0.00000000e+00 7.30421938e-01 8.75778104e-01
 9.64894299e-01 4.93126937e-01 0.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 2.04354342e-04 5.98315474e-02
 6.41449136e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 3.51058245e-01
 0.00000000e+00 1.00000000e+00 6.64559916e-01 1.61174016e-01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 8.88866470e-01
 1.00000000e+00 1.20722340e-03 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 1.00000000e+00 1.33136606e-02 9.11367575e-02 0.00000000e+00
 9.14695934e-01 8.34260301e-01 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00
 1.76267362e-01 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00]"
8,"1,231,208",3.000000,29.510958,12/64 (18.75%),"[1.         1.         0.         1.         1.         0.
 1.         1.         0.         0.         0.99859957 0.
 0.         0.         0.         0.         0.         0.
 0.         1.         1.         0.18599993 0.09145795 0.
 0.         0.         1.         0.05397285 0.         0.
 0.         0.98217866 0.         0.         0.67269233 0.
 0.         0.         0.         1.         1.         0.997333
 0.1413566  0.28306233 0.         1.         0.87300569 0.
 0.         0.         0.         0.         0.         0.40042383
 0.13315624 0.70717207 0.         0.07384534 0.         0.
 0.85261508 0.78473957 0.         0.9857735 ]"
9,"1,237,562",2.000000,53.460056,7/64 (10.94%),"[0.         0.         0.67319215 0.72798248 0.         0.
 1.         1.         0.77278155 0.95164872 0.         0.
 0.         1.         0.30182174 0.         0.         0.
 1.         0.79159043 0.         0.92516189 0.11983702 1.
 0.80460094 0.77278155 0.         0.         0.         0.
 0.         1.         0.         0.         0.5415485  1.
 0.         0.         0.01283498 0.         0.         0.70579887
 0.         0.1009784  1.         0.31094326 0.         0.
 0.         1.         0.         0.         1.         0.00121261
 1.         0.         0.         0.         1.         1.
 0.         0.20279441 1.         0.        ]"
10,"1,279,555",3.000000,45.824341,18/64 (28.12%),"[0.00000000e+00 9.30392586e-01 0.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00
 1.47914131e-01 0.00000000e+00 3.03490464e-01 7.73779732e-01
 6.11835894e-02 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 3.64568963e-01 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 6.08905429e-01 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00219516e-01
 0.00000000e+00 9.63987101e-01 0.00000000e+00 1.00000000e+00
 0.00000000e+00 8.36724911e-01 1.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 1.74393082e-01 0.00000000e+00
 8.32884537e-01 6.49642216e-02 0.00000000e+00 6.29325361e-01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 5.90257949e-01 0.00000000e+00 5.75533040e-01 8.16352885e-04
 9.82358743e-01 9.62124193e-01 0.00000000e+00 1.00000000e+00]"
