Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,003,822",0.000000,1.394253,23/36 (63.89%),"[1.         0.         0.39637347 0.55122243 0.58890868 0.33721738
 1.         0.4973411  0.63157108 0.         0.43970355 0.63764166
 0.         0.         0.80865006 0.         0.32351236 0.50547547
 1.         0.         0.         1.         0.         0.
 1.         0.         0.         1.         0.         0.
 0.         1.         1.         0.         1.         1.        ]"
2,"1,124,444",2.000000,22.068755,7/36 (19.44%),"[0.68328411 0.         0.         1.         1.         0.
 0.         0.         0.01055169 0.         0.         0.
 0.99476724 1.         0.         0.         1.         0.64684639
 0.         0.16176682 0.         0.         0.19809158 0.11315846
 0.74536302 0.         0.2513288  0.         0.12030775 0.90220584
 1.         0.34831742 1.         0.61237872 0.         0.99476724]"
3,"1,188,236",1.000000,19.320961,10/36 (27.78%),"[0.26658939 0.72363391 0.63854435 0.         0.54075924 0.
 0.97275344 0.         0.111653   0.55018937 0.35431664 0.974287
 0.6159423  0.26856292 0.31226661 0.68006599 0.4824354  1.
 0.         0.         0.0132659  0.32635597 0.31834867 0.
 1.         1.         0.         0.10572955 0.         0.97832156
 0.         0.         0.89457314 0.89522893 0.34690914 0.51113681]"
4,"1,191,192",0.000000,0.031698,36/36 (100.00%),"[1. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0.
 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.]"
5,"1,192,723",1.000000,19.608891,9/36 (25.00%),"[0.76267782 0.88006999 0.         0.23354346 1.         0.57971049
 0.         0.         1.         0.         0.         0.
 0.88006999 0.         1.         0.         0.         0.56284162
 0.82985003 0.         0.         0.         0.         1.
 0.         0.12464134 0.         0.00588928 0.         0.32333555
 0.68227723 0.73504078 0.33880251 0.87726585 0.61574062 0.        ]"
6,"1,194,297",1.000000,18.586543,16/36 (44.44%),"[4.03761206e-01 1.54201251e-05 1.00000000e+00 1.00000000e+00
 4.55023622e-01 0.00000000e+00 9.04782084e-01 1.33524851e-01
 0.00000000e+00 2.75434799e-01 9.01731459e-01 5.53042112e-01
 9.49438837e-01 2.07607050e-01 7.80084112e-01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 1.08650083e-02 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00]"
7,"1,198,412",1.000000,18.105752,19/36 (52.78%),"[0.68679841 0.12099407 0.55665775 0.97949703 0.14510314 0.
 0.98687192 0.         0.21035235 0.07475179 0.         1.
 0.48764969 0.98687192 0.         0.         0.         1.
 0.         1.         0.         1.         1.         0.
 0.47779458 0.         1.         0.         0.         1.
 0.         0.         0.63423843 0.         0.         1.        ]"
8,"1,217,965",1.000000,20.277330,11/36 (30.56%),"[0.         0.79977855 0.51758414 0.0565759  0.44706924 0.44353751
 0.86147513 0.         0.47805619 0.59658512 0.26223932 0.87004952
 0.75656011 0.         0.         1.         0.40491456 0.56823336
 0.         1.         1.         0.         0.05757989 0.
 1.         0.         0.         0.74703765 1.         0.
 1.         0.         0.         0.03545087 0.         0.64108122]"
9,"1,253,849",1.000000,17.198511,20/36 (55.56%),"[1.         1.         0.17840585 0.         0.         0.
 0.45604389 0.31888716 0.         0.         0.         1.
 0.46686238 0.74682128 0.         0.         0.         1.
 0.21310151 1.         0.         1.         1.         0.
 0.         0.00249157 0.78118182 0.         0.         1.
 0.37455351 0.         1.         0.42965833 0.         1.        ]"
10,"1,317,605",1.000000,19.190351,8/36 (22.22%),"[0.95951429 0.81530118 0.         0.         0.         0.
 0.48342094 0.04182882 0.         0.72956812 0.         0.92116845
 0.99607684 1.         0.         0.76259635 0.02375361 0.69472485
 0.28662147 0.         0.         0.         0.00194019 0.35293136
 0.97895882 0.77654918 0.         1.         0.         1.
 0.300139   0.13323139 0.         1.         0.         0.91384537]"
