Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,003,822",0.000000,0.285686,23/36 (63.89%),"[0.51296244 0.         0.14728715 0.52421477 0.53049178 0.03331598
 1.         0.02926657 0.54730588 0.35000763 0.38983902 0.5165365
 0.         0.         0.78880117 0.         0.27948195 1.
 1.         0.         0.         1.         0.         0.
 1.         0.         0.         1.         0.         0.
 0.         1.         1.         0.         1.         1.        ]"
2,"1,124,444",2.000000,22.169754,7/36 (19.44%),"[0.19304997 0.         0.         1.         1.         0.
 0.962384   0.05004001 0.37763429 0.         0.         0.87887686
 0.95076614 0.         0.78183755 0.93406931 0.         1.
 0.0752988  0.         0.47983192 0.         0.18291913 0.14759535
 0.01010892 0.38184447 0.         0.         0.38044964 1.
 0.71285569 1.         0.39215073 0.10840072 0.41952603 1.        ]"
3,"1,188,236",1.000000,20.500695,10/36 (27.78%),"[0.         0.60343519 1.         0.         0.66673149 0.5742156
 0.75099003 0.         0.21134942 0.04196252 0.26170447 0.00435214
 0.71958506 0.11812923 0.         0.14552653 0.69662951 1.
 0.         0.         0.18417702 0.95289913 0.3588333  0.11399771
 1.         1.         0.         1.         0.         0.
 0.         0.         0.33371985 0.39406226 0.50585189 0.9933474 ]"
4,"1,191,192",0.000000,0.031261,36/36 (100.00%),"[1. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0.
 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.]"
5,"1,192,723",1.000000,19.808726,9/36 (25.00%),"[0.03862579 0.01562769 0.         0.8677041  1.         0.
 0.57297996 0.         1.         0.         0.         0.
 1.         0.         1.         0.         0.73594405 1.
 0.12677003 0.37460546 0.         0.         0.         0.01407048
 0.82716295 0.         0.         0.02872675 0.08268088 1.
 0.93175232 0.25963604 0.63898114 0.96675087 0.02063179 0.80174438]"
6,"1,194,297",1.000000,20.113833,16/36 (44.44%),"[2.08598400e-01 2.68818844e-03 1.50855845e-07 1.53084088e-01
 1.00000000e+00 1.00000000e+00 5.49618607e-01 0.00000000e+00
 1.00000000e+00 2.11365071e-01 1.27559583e-01 5.76084794e-03
 5.92583765e-01 4.15969675e-01 9.35470973e-01 3.16983275e-01
 0.00000000e+00 0.00000000e+00 2.71408128e-01 0.00000000e+00
 4.44263126e-01 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00]"
7,"1,198,412",1.000000,22.743701,19/36 (52.78%),"[0.         0.00951196 0.91852678 0.84484435 0.         0.
 1.         0.85013244 0.         0.         0.         1.
 0.         0.         0.         0.         0.         1.
 1.         0.9435512  0.         1.         1.         0.
 0.         0.         1.         0.         0.         1.
 0.         0.         0.94528646 0.         0.         1.        ]"
8,"1,217,965",1.000000,22.380015,11/36 (30.56%),"[0.41460374 1.         1.         0.42751612 0.89426953 0.9663507
 1.         0.         0.39609155 0.21386102 0.         0.23145863
 0.99548123 0.         0.         0.21205201 0.62444453 0.
 0.         1.         1.         0.         0.87919138 0.348866
 1.         0.         0.         0.47810445 0.47266571 0.4846958
 1.         0.         1.         1.         0.         0.76482546]"
9,"1,253,849",1.000000,19.676177,20/36 (55.56%),"[0.54694405 0.64061223 0.24789038 0.         0.         0.
 0.29554766 0.16820827 0.         0.         0.         1.
 0.37533768 0.58504402 0.         0.         0.         1.
 0.1018277  0.90292482 0.         1.         1.         0.
 0.30003474 0.28192235 0.63276976 0.         0.         1.
 0.61701921 0.63825281 0.45402657 0.4410975  0.         1.        ]"
10,"1,317,605",2.000000,22.778690,8/36 (22.22%),"[6.17175573e-01 1.00000000e+00 3.57874642e-01 8.36091774e-01
 4.31059242e-02 5.35982468e-01 2.62937933e-01 0.00000000e+00
 2.57094244e-01 1.71447787e-01 4.46083066e-02 9.37734134e-01
 8.90045647e-01 6.67913582e-01 0.00000000e+00 9.43102349e-01
 6.34310093e-01 6.94817079e-02 2.07811479e-01 1.04277730e-01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 2.66555535e-01
 2.92780578e-01 2.94316191e-01 0.00000000e+00 1.00000000e+00
 0.00000000e+00 7.23154289e-04 7.06055253e-01 9.27442644e-01
 0.00000000e+00 1.00000000e+00 0.00000000e+00 7.97786250e-01]"
11,"1,332,159",2.000000,19.503080,11/36 (30.56%),"[3.95004637e-01 4.05063259e-01 8.11648156e-01 6.21570301e-01
 0.00000000e+00 0.00000000e+00 3.87851345e-01 3.97904655e-01
 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 9.04101261e-03 9.28670759e-01 1.00000000e+00
 0.00000000e+00 0.00000000e+00 6.97093455e-01 3.72177799e-01
 0.00000000e+00 1.01719283e-01 8.26705522e-01 1.00000000e+00
 5.85900721e-01 0.00000000e+00 3.37574047e-01 2.12480104e-02
 0.00000000e+00 2.79685792e-01 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 1.00000000e+00 9.01552721e-05]"
12,"1,341,844",1.000000,20.371009,19/36 (52.78%),"[5.38400360e-02 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 6.39294252e-01 8.36318759e-01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 3.70759015e-01 3.05045944e-01 5.18424395e-01 7.00425938e-01
 0.00000000e+00 0.00000000e+00 9.70842072e-01 1.28128716e-01
 1.63317822e-01 0.00000000e+00 1.00000000e+00 1.00000000e+00
 7.13240960e-01 1.48568352e-01 6.45158138e-04 3.11846088e-01
 0.00000000e+00 0.00000000e+00 9.91248991e-02 9.10606160e-01
 7.17701360e-02 0.00000000e+00 1.00000000e+00 1.00000000e+00]"
13,"1,343,094",1.000000,20.051130,11/36 (30.56%),"[0.         0.17419259 0.57029738 0.36258961 0.98038299 0.10323624
 1.         0.         0.97666023 0.41390345 0.82465854 0.31017184
 1.         0.         0.48704168 0.9970176  0.24407226 0.57469928
 0.         0.86582989 0.07701584 0.5813548  0.00962539 0.57434443
 0.         0.         0.         0.31174275 0.         0.35298151
 1.         1.         0.         0.75142572 0.63973253 0.27054718]"
14,"1,350,652",0.000000,0.126331,22/36 (61.11%),"[0.         0.         0.         1.         0.         1.
 1.         0.         0.         1.         0.         1.
 1.         0.         0.         0.         0.51624392 0.
 0.         1.         0.6223049  0.         0.61279061 0.4883261
 1.         0.         0.2848596  0.44039804 0.         0.83345361
 1.         0.         0.51733076 0.7007096  0.41398168 1.        ]"
15,"1,375,820",0.000000,0.031699,36/36 (100.00%),"[0. 1. 1. 0. 1. 1. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 1. 0. 1. 1.
 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 1.]"
