Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,003,822",0.000000,0.115941,23/36 (63.89%),"[0.71314929 0.         0.10796969 0.75302195 1.         0.
 1.         0.         1.         0.         0.41126872 1.
 0.         0.         1.         0.         0.26295645 1.
 1.         0.         0.         1.         0.         0.
 1.         0.         0.         1.         0.         0.
 0.         1.         1.         0.         1.         1.        ]"
2,"1,124,444",2.000000,17.387356,7/36 (19.44%),"[0.76478688 0.         0.         1.         1.         0.
 1.         0.         0.         0.         0.         1.
 0.04554213 0.         0.89775694 1.         0.         1.
 0.         0.         0.         0.         0.         0.
 0.59942353 0.78745261 0.43275066 0.66391103 1.         0.
 0.         0.         0.         0.         0.         0.44142077]"
3,"1,188,236",1.000000,17.260171,10/36 (27.78%),"[1.         1.         0.12408195 0.         0.06173922 1.
 0.         0.         1.         1.         0.1435926  1.
 1.         1.         0.         0.         0.06423446 0.48588341
 0.         0.         0.         1.         0.         0.
 1.         1.         0.         1.         0.         0.55352917
 0.         0.         0.         0.15369157 0.18331159 1.        ]"
4,"1,191,192",0.000000,0.027194,36/36 (100.00%),"[1. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0.
 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.]"
5,"1,192,723",2.000000,16.320403,9/36 (25.00%),"[0.         0.         0.         0.         0.         0.
 1.         0.         1.         0.         0.         1.
 1.         0.         1.         0.         0.         1.
 0.         0.         0.         0.75914791 1.         0.
 0.51101439 1.         0.         0.         0.         0.
 0.         0.00753156 1.         1.         0.40379225 0.        ]"
6,"1,194,297",1.000000,17.228815,16/36 (44.44%),"[0.4436848  0.34635307 1.         1.         0.45871545 0.17429285
 0.96360614 0.29626284 0.49928609 0.10679866 1.         0.52717704
 0.42549134 1.         1.         0.13462461 0.         0.
 0.91451121 0.         0.4845385  0.         1.         1.
 0.         0.         0.62913975 0.59325751 0.         0.
 1.         1.         0.         0.         1.         1.        ]"
7,"1,198,412",0.000000,0.434079,19/36 (52.78%),"[0.59798892 0.         0.04468337 1.         1.         0.
 0.81612903 0.         1.         0.187822   0.         1.
 0.         0.         1.         0.         0.         1.
 1.         0.65592833 0.         1.         1.         0.
 0.         0.         1.         0.         0.         1.
 0.         0.         1.         0.         0.         1.        ]"
8,"1,217,965",1.000000,18.372914,11/36 (30.56%),"[0.09992659 0.         0.93459262 1.         0.         0.77152917
 1.         0.         0.         0.         0.         1.
 1.         0.         0.         0.83405519 1.         0.
 0.         1.         1.         0.         0.         0.
 1.         0.         0.         0.         0.788316   1.
 1.         0.         0.         0.25875438 0.         0.        ]"
9,"1,253,849",0.000000,0.032893,20/36 (55.56%),"[0.28900056 0.8246032  0.92617866 0.         0.         0.
 0.98610485 0.268896   0.         0.         0.         1.
 0.66073962 0.24736697 0.         0.         0.         1.
 0.17495687 0.65617861 0.         1.         1.         0.
 0.07756556 0.62579575 0.11149143 0.         0.         1.
 0.35619994 0.2347455  0.72093005 0.8127555  0.         1.        ]"
10,"1,317,605",1.000000,16.609246,8/36 (22.22%),"[1.         1.         0.         0.3707565  1.         1.
 0.         0.414696   1.         0.55118102 0.36466387 0.
 0.         0.         0.         0.         0.         0.
 1.         1.         0.         0.         0.         0.
 0.         0.         0.         1.         0.         1.
 0.89833322 0.57417111 0.         1.         0.         1.        ]"
11,"1,332,159",1.000000,18.185292,11/36 (30.56%),"[1.         0.80648386 0.         1.         0.         0.
 0.         0.         0.         0.         1.         1.
 0.06856761 0.         1.         1.         0.         0.
 0.         0.15434308 0.         0.         1.         1.
 1.         0.         1.         0.         0.         0.
 1.         0.         1.         0.         1.         1.        ]"
12,"1,341,844",0.000000,11.674463,19/36 (52.78%),"[1.         0.         1.         1.         0.         1.
 0.7234391  0.47978504 0.         0.         0.         1.
 0.19651461 1.         1.         0.         0.         0.
 0.55410377 0.         0.06371085 0.         1.         1.
 1.         0.23961686 1.         1.         0.         0.
 0.         0.27822682 0.0403657  0.         1.         1.        ]"
13,"1,343,094",1.000000,15.493600,11/36 (30.56%),"[0.         0.         0.         0.90871734 1.         0.
 1.         0.         0.         0.         0.         0.
 1.         0.         1.         1.         0.         1.
 0.         0.         0.25346928 0.         0.         0.73337435
 0.         0.         0.94484634 1.         0.         0.05669692
 1.         1.         0.         0.         1.         1.        ]"
14,"1,350,652",0.000000,2.505366,22/36 (61.11%),"[0.         0.         0.         1.         0.         1.
 1.         0.         0.         1.         0.         1.
 1.         0.         0.48456908 0.         0.83963854 0.
 0.         1.         1.         0.         1.         0.18878411
 1.         0.         0.         0.         0.         1.
 1.         0.         1.         1.         0.44549764 1.        ]"
15,"1,375,820",0.000000,0.031717,36/36 (100.00%),"[0. 1. 1. 0. 1. 1. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 1. 0. 1. 1.
 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 1.]"
16,"1,430,637",1.000000,15.175999,16/36 (44.44%),"[0.         0.         1.         1.         0.         1.
 0.         1.         0.         0.         0.         1.
 0.         1.         0.         0.11800359 0.         0.
 0.         0.         0.         0.0831971  1.         0.81849575
 0.         0.10217752 0.87382022 0.99042819 0.14022537 0.
 1.         0.74666587 0.         0.         1.         1.        ]"
17,"1,454,003",1.000000,14.445106,16/36 (44.44%),"[1.         0.         0.         0.         0.         0.
 1.         0.         0.         1.         1.         0.
 0.         0.68354392 1.         0.         0.         1.
 0.19044267 0.         0.05536975 0.63440578 0.         0.92755992
 0.62602484 0.         0.         1.         0.         0.
 1.         0.         0.         0.         0.         0.        ]"
18,"1,470,603",0.000000,0.011518,36/36 (100.00%),"[1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0.
 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1.]"
19,"1,480,509",2.000000,15.797968,6/36 (16.67%),"[0.         0.         0.         0.         0.         0.
 0.         0.         1.         0.         1.         1.
 1.         0.         1.         0.         0.         0.
 1.         0.         0.         1.         0.67654809 0.
 0.         1.         0.75152894 0.         0.         0.64442321
 0.         0.         0.         0.         0.10206626 1.        ]"
20,"1,505,558",1.000000,16.810305,7/36 (19.44%),"[0.         0.         1.         1.         0.         0.
 0.         0.         0.         0.         1.         1.
 0.         0.         1.         0.83817123 0.         0.
 1.         1.         0.         0.         0.98728851 1.
 0.         0.         0.         0.         0.         0.
 1.         1.         0.         0.         1.         1.        ]"
21,"1,554,862",1.000000,18.084830,7/36 (19.44%),"[0.         1.         0.         1.         1.         0.
 0.09940654 1.         0.         0.         0.         0.
 0.77387631 0.         0.         0.21383393 1.         1.
 1.         0.19470639 0.85906802 0.90960516 0.         0.
 0.         0.         0.00382189 0.13362692 0.3359484  1.
 1.         0.50581262 0.01506079 1.         0.69800472 0.        ]"
