Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,003,822",0.000000,1.221334,23/36 (63.89%),"[0.5177 0.0000 0.0000 1.0000 0.5330 0.3245 1.0000 0.3020 0.9047 0.2246
 0.2485 0.5741 0.0000 0.0000 1.0000 0.0000 0.2414 0.9483 1.0000 0.0000
 0.0000 1.0000 0.0000 0.0000 1.0000 0.0000 0.0000 1.0000 0.0000 0.0000
 0.0000 1.0000 1.0000 0.0000 1.0000 1.0000]"
2,"1,124,444",2.000000,18.986319,7/36 (19.44%),"[0.8757 0.0000 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.5599 0.0000
 0.0000 0.5525 1.0000 0.9922 0.0000 0.0000 0.8405 0.0000 0.0000 0.0000
 0.4662 0.2037 1.0000 0.0000 0.9210 0.0000 0.9814 0.0000 0.1094 0.0000
 0.9265 0.0000 1.0000 0.0000 1.0000 1.0000]"
3,"1,188,236",1.000000,16.980672,10/36 (27.78%),"[0.0040 0.8171 1.0000 0.0000 0.7832 0.0001 1.0000 0.0000 0.0531 0.0000
 1.0000 0.1903 1.0000 0.0083 0.7731 0.0000 0.0000 0.8520 0.0000 0.0000
 1.0000 0.3848 0.0000 0.8101 1.0000 1.0000 0.0000 0.0000 0.0000 0.0002
 0.0000 0.0000 0.4460 0.0000 0.9423 0.8514]"
4,"1,191,192",0.000000,0.010075,36/36 (100.00%),"[1.0000 1.0000 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 0.0000
 0.0000 1.0000 0.0000 1.0000 0.0000 1.0000 0.0000 1.0000 0.0000 1.0000
 0.0000 1.0000 0.0000 0.0000 1.0000 0.0000 1.0000 0.0000 1.0000 0.0000
 1.0000 0.0000 1.0000 0.0000 1.0000 0.0000]"
5,"1,192,723",1.000000,17.931110,9/36 (25.00%),"[0.0000 0.0000 0.0000 1.0000 0.8729 0.0001 1.0000 0.0000 1.0000 0.0000
 0.0000 0.0000 0.8490 0.0000 1.0000 0.0000 1.0000 0.6829 0.0000 0.0000
 0.0000 0.0000 0.0000 0.0000 1.0000 0.2859 1.0000 0.0000 0.9359 1.0000
 0.6229 0.0000 0.8738 0.0000 0.0000 0.0000]"
6,"1,194,297",0.000000,0.809660,16/36 (44.44%),"[1.0000 0.9974 0.0000 0.0000 0.0000 1.0000 0.0000 0.0000 0.0000 1.0000
 0.0000 1.0000 0.8548 1.0000 0.1154 0.8913 0.0000 0.0000 0.0000 0.0000
 1.0000 0.0000 1.0000 1.0000 0.0000 0.0000 0.7258 0.0000 0.0000 0.0000
 1.0000 1.0000 0.0000 0.0000 1.0000 1.0000]"
7,"1,198,412",0.000000,0.859818,19/36 (52.78%),"[1.0000 0.0000 0.0000 1.0000 1.0000 0.0000 1.0000 0.0000 1.0000 0.3334
 0.0000 1.0000 0.0000 0.0000 0.5899 0.0000 0.0000 1.0000 1.0000 1.0000
 0.0000 1.0000 1.0000 0.0000 0.0000 0.0000 1.0000 0.0000 0.0000 1.0000
 0.0000 0.0000 1.0000 0.0000 0.0000 1.0000]"
8,"1,217,965",1.000000,17.419992,11/36 (30.56%),"[0.0000 0.8999 1.0000 0.0000 0.2794 0.0000 0.8615 0.0000 0.0000 0.0000
 0.8615 1.0000 0.8615 0.0000 0.0000 0.0000 0.3924 0.0000 0.0000 1.0000
 1.0000 0.0000 1.0000 0.8615 1.0000 0.0000 0.0000 0.8295 0.0000 0.0000
 1.0000 0.0000 0.0000 0.6088 0.0000 0.0000]"
9,"1,253,849",1.000000,14.753862,20/36 (55.56%),"[0.9764 0.9966 0.0161 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
 0.0000 1.0000 1.0000 0.8678 0.0000 0.0000 0.0000 1.0000 0.1460 0.0000
 0.0000 1.0000 1.0000 0.0000 0.0000 0.2833 0.0000 0.0000 0.0000 1.0000
 0.7452 1.0000 0.0000 0.0000 0.0000 1.0000]"
10,"1,317,605",1.000000,16.972585,8/36 (22.22%),"[0.8776 0.0000 1.0000 1.0000 0.0000 0.0000 1.0000 0.0000 0.0000 0.0000
 0.0156 1.0000 0.2428 0.0000 0.0000 0.0000 0.0000 0.6971 0.9388 1.0000
 0.0000 0.0000 0.0000 0.1407 0.0000 0.0000 0.0000 1.0000 0.0000 1.0000
 0.5847 0.6243 0.0000 1.0000 0.0000 0.9453]"
