Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,003,822",0.000000,0.644324,23/36 (63.89%),"[1.         0.         0.         1.         1.         0.
 1.         0.         1.         0.         0.         1.
 0.         0.         1.         0.         0.47306658 0.80930216
 1.         0.         0.         1.         0.         0.
 1.         0.         0.         1.         0.         0.
 0.         1.         1.         0.         1.         1.        ]"
2,"1,124,444",2.600000,16.956514,7/36 (19.44%),"[7.42140727e-01 0.00000000e+00 0.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 7.77675387e-01
 1.00000000e+00 0.00000000e+00 0.00000000e+00 8.73834775e-01
 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 7.02570236e-01 0.00000000e+00
 0.00000000e+00 7.83150794e-01 1.00000000e+00 3.33410571e-04
 0.00000000e+00 9.07781189e-01 8.06185497e-01 0.00000000e+00
 8.42933067e-03 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 9.26650895e-01 6.73871653e-01 7.30968752e-01]"
3,"1,188,236",1.800000,15.511627,10/36 (27.78%),"[0.96523731 1.         0.         0.         1.         0.86111208
 0.81186284 0.         0.         0.91191377 0.         0.25670035
 0.         0.78677242 0.94681525 0.36673621 0.90318527 1.
 0.         0.         0.         0.04273345 0.37051607 0.
 1.         1.         0.         1.         0.         0.9815795
 0.         0.         0.2648955  0.91384178 0.21198224 0.84369593]"
4,"1,191,192",0.000000,0.030162,36/36 (100.00%),"[1. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0.
 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.]"
5,"1,192,723",1.500000,15.842922,9/36 (25.00%),"[1.         0.92295243 0.         0.35766813 1.         0.94141015
 0.94202148 0.         1.         0.         0.         0.
 0.         0.         1.         0.         0.51272523 0.92185557
 1.         0.         0.         0.         0.         0.
 0.81680968 0.         0.         0.         1.         0.94202148
 0.90489108 0.         0.93586195 0.899591   0.         0.        ]"
6,"1,194,297",1.500000,15.102910,16/36 (44.44%),"[0.         0.12747402 0.94599219 0.07138551 0.43566112 0.9717846
 0.         0.         1.         0.07976591 0.97059794 0.99339048
 0.60523969 1.         0.         0.         0.         0.
 0.         0.         1.         0.         1.         1.
 0.         0.         0.71431642 1.         0.         0.
 1.         1.         0.         0.         1.         1.        ]"
7,"1,198,412",1.500000,14.061209,19/36 (52.78%),"[0.99913202 0.95541241 0.19558994 0.95541241 0.         0.
 0.         0.         0.         1.         0.         1.
 1.         1.         1.         0.         0.         1.
 0.         0.10487462 0.         1.         1.         0.
 0.         1.         1.         0.         0.         1.
 0.         0.         0.85073122 0.         0.         1.        ]"
8,"1,217,965",1.500000,15.657096,11/36 (30.56%),"[1.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 0.00000000e+00
 3.04041590e-01 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 9.21628772e-04 0.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 9.22720623e-04 6.31368391e-01
 1.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 1.00000000e+00 0.00000000e+00
 1.00000000e+00 8.10875158e-01 0.00000000e+00 0.00000000e+00]"
9,"1,253,849",1.500000,13.335461,20/36 (55.56%),"[1.         0.86142311 1.         0.         0.         0.
 0.         0.         0.         0.         0.         1.
 0.86142311 0.00229689 0.         0.         0.         1.
 1.         0.         0.         1.         1.         0.
 0.         1.         1.         0.         0.         1.
 0.         0.05329732 0.86142311 0.         0.         1.        ]"
10,"1,317,605",1.500000,16.268752,8/36 (22.22%),"[0.89091675 0.9623762  0.85159437 0.04699454 0.53444173 1.
 0.         0.         0.         1.         0.0525417  0.
 0.         0.42032009 0.         0.86396612 0.         0.90806217
 0.9623762  0.89821651 0.         0.         0.         1.
 0.         0.         0.         1.         0.         0.9623762
 0.9623762  0.77310746 0.         1.         0.         0.        ]"
11,"1,332,159",1.000000,15.800554,11/36 (30.56%),"[0.69888217 0.         1.         0.9812826  0.         0.
 0.60313305 0.         0.15237663 0.         1.         1.
 0.         0.         1.         1.         0.         0.
 0.95604609 1.         0.         0.         0.00257591 1.
 0.         0.         0.39512085 1.         0.         0.75557598
 0.78807664 0.8214008  0.         0.74839774 0.76825822 0.        ]"
12,"1,341,844",0.000000,0.337462,19/36 (52.78%),"[1.         0.         1.         1.         0.         1.
 1.         0.         0.         0.         0.         1.
 0.         0.77147588 0.79196145 0.         0.         0.
 0.9740524  0.         0.         0.         1.         1.
 0.7334168  0.         0.94865711 0.61098107 0.         0.
 0.         0.         0.04788353 0.         1.         1.        ]"
13,"1,343,094",3.000000,15.672413,11/36 (30.56%),"[0.         0.01091953 0.         1.         0.         0.
 1.         0.         1.         0.79223904 0.07115715 0.81481984
 1.         0.         0.         0.         1.         1.
 0.         1.         0.74345844 0.         0.         0.
 0.         0.         1.         0.         0.         0.81424949
 1.         1.         0.         0.         0.74124374 0.66645952]"
14,"1,350,652",0.000000,0.204028,22/36 (61.11%),"[0.         0.         0.         1.         0.         1.
 1.         0.         0.         1.         0.         1.
 1.         0.         0.06222462 0.         0.6344859  0.
 0.         1.         0.93023656 0.         0.93072022 0.44552794
 1.         0.         0.         0.         0.         0.92068477
 1.         0.         0.72695235 0.80083153 0.         1.        ]"
15,"1,375,820",0.000000,0.031250,36/36 (100.00%),"[0. 1. 1. 0. 1. 1. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 1. 0. 1. 1.
 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 1.]"
16,"1,430,637",4.000000,14.749621,16/36 (44.44%),"[0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 5.31525293e-05
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 6.95621441e-01 2.89620737e-01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 9.94663329e-01 1.00000000e+00 1.00000000e+00 6.95621441e-01
 1.00000000e+00 0.00000000e+00 0.00000000e+00 5.45897364e-01]"
17,"1,454,003",1.500000,14.366327,16/36 (44.44%),"[1.         0.         0.         0.         0.         0.
 1.         0.         0.         1.         1.         0.
 0.         1.         0.83297073 0.         0.         0.
 1.         0.         0.         0.18910612 0.60643453 1.
 1.         0.64585957 0.         0.5866907  0.         1.
 0.         0.         0.         1.         0.37173799 0.        ]"
18,"1,470,603",0.000000,0.031250,36/36 (100.00%),"[1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0.
 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1.]"
19,"1,480,509",0.000000,9.654654,6/36 (16.67%),"[3.74733458e-01 8.88838997e-01 0.00000000e+00 7.92645210e-01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 8.54859410e-01
 0.00000000e+00 8.40466932e-01 0.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 6.71200456e-01 1.13244195e-02
 7.92779717e-01 0.00000000e+00 1.00000000e+00 0.00000000e+00
 5.90962693e-01 0.00000000e+00 8.57613196e-01 3.97378153e-04
 0.00000000e+00 6.66886497e-01 1.06437500e-01 6.22607919e-01
 0.00000000e+00 1.00000000e+00 0.00000000e+00 1.00000000e+00
 1.21532254e-02 8.21264369e-01 0.00000000e+00 8.33197622e-01]"
20,"1,505,558",1.000000,16.937214,7/36 (19.44%),"[0.         0.         0.86203683 0.89424242 0.         0.68028756
 0.96909239 1.         0.         0.         0.         0.70869518
 0.56993859 0.         0.5157925  0.         0.8414025  0.
 0.23246776 0.         0.88692566 0.         0.99819037 0.
 0.         0.         0.         0.75870481 0.         0.58826436
 1.         1.         0.         0.77856253 0.         1.        ]"
