Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,003,822",2.900000,8.883585,23/36 (63.89%),"[1.50491915e-01 0.00000000e+00 3.69939276e-01 6.34210799e-01
 1.91117306e-01 1.69408022e-01 1.00000000e+00 3.43896617e-01
 8.81273318e-01 5.63843395e-01 3.75451922e-01 1.07311828e-01
 0.00000000e+00 0.00000000e+00 6.94586581e-01 0.00000000e+00
 2.07585096e-01 5.07990945e-04 1.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00]"
2,"1,124,444",31.000000,11.608174,7/36 (19.44%),"[0.33782568 0.         0.         1.         1.         0.
 0.53140542 0.35626882 0.07116452 0.         0.         0.94690357
 0.90784049 0.67029157 0.23023782 0.0072083  0.65154455 0.18692935
 0.45263604 0.52775702 0.83938432 0.17349305 0.25269903 0.94347976
 0.6573878  0.52311362 0.86458899 0.26180087 0.28121338 0.88758059
 0.96430703 0.94953816 0.94830854 0.5905394  0.02585843 0.56906848]"
3,"1,188,236",19.300000,10.968050,10/36 (27.78%),"[0.70769373 0.15637439 0.91846022 0.         0.92075609 0.63979685
 0.81129295 0.         0.60912773 0.34303651 0.99838441 0.88570399
 0.57591098 0.77192547 0.42369344 0.82046463 0.56809691 0.55449343
 0.         0.         0.11101724 0.64766868 0.97824735 0.71943657
 1.         1.         0.         0.28250457 0.         0.21779354
 0.         0.         0.13740863 0.31333172 0.20731933 0.9795638 ]"
4,"1,191,192",0.000000,0.007387,36/36 (100.00%),"[1. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0.
 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.]"
5,"1,192,723",5.500000,11.934751,9/36 (25.00%),"[0.04834513 0.6853238  0.         0.10441993 0.20241678 0.18412909
 0.65169762 0.         1.         0.         0.         0.68884066
 0.86804658 0.         1.         0.         0.94099073 0.81218563
 0.02594682 0.26310821 0.         0.47217656 0.39715063 0.31730441
 0.06197143 0.30028744 0.60384141 0.31016625 0.30912693 0.27649868
 0.51318194 0.88219319 0.23669899 0.75635576 0.92191526 0.28212605]"
6,"1,194,297",7.250000,10.826574,16/36 (44.44%),"[0.63577566 0.34691095 0.98536657 0.65750297 0.43031846 0.55920807
 0.23926726 0.13443581 0.81305973 0.86378026 0.06633562 0.11897607
 0.41829011 0.74942255 0.03624414 0.92848302 0.         0.
 0.28465007 0.         0.47756418 0.         1.         1.
 0.         0.         0.88788594 0.47167023 0.         0.
 1.         1.         0.         0.         1.         1.        ]"
7,"1,198,412",8.700000,9.796029,19/36 (52.78%),"[0.69638941 0.00658048 0.64976078 0.98925412 0.10531774 0.
 0.91827625 0.79381588 0.1502661  0.5875846  0.         1.
 0.48053356 0.57448265 0.68351    0.         0.         1.
 0.39630815 0.94227186 0.         1.         1.         0.
 0.49926474 0.16219201 1.         0.         0.         1.
 0.         0.         0.58495962 0.         0.         1.        ]"
8,"1,217,965",8.600000,11.293403,11/36 (30.56%),"[0.10532535 0.20945893 0.06994711 0.75303101 0.19259487 0.87801884
 0.04123531 0.034192   0.12160702 0.16385534 0.77271241 0.2776105
 0.99576478 0.         0.         0.08247639 0.9767714  0.06018443
 0.         1.         1.         0.         0.70916481 0.15225348
 1.         0.         0.         0.93651611 0.56754262 0.14327572
 1.         0.         0.5407391  0.21369083 0.02004901 0.48927146]"
9,"1,253,849",3.400000,9.826128,20/36 (55.56%),"[0.61379369 0.81639544 0.47679647 0.         0.         0.
 0.77515357 0.00977151 0.         0.         0.         1.
 0.30710255 0.70379409 0.         0.         0.         1.
 0.13564081 0.03849557 0.         1.         1.         0.
 0.2658338  0.20277272 0.10083216 0.         0.         1.
 0.75355222 0.51436266 0.20192753 0.89067677 0.         1.        ]"
10,"1,317,605",38.800000,11.411039,8/36 (22.22%),"[0.11950971 0.81796754 0.96166188 0.40200867 0.5244059  0.69033086
 1.         0.         0.58770434 0.         0.93162605 0.2088119
 0.70364997 1.         0.         1.         0.68159231 0.54847681
 0.         0.38721122 0.         0.         0.27197834 0.06821567
 0.99996606 0.67751396 0.         1.         0.         0.14207874
 0.26384245 0.11927296 0.         1.         0.         0.47493523]"
11,"1,332,159",6.100000,11.668413,11/36 (30.56%),"[0.71729057 0.55252961 0.26620335 0.96288337 0.         0.
 0.46023842 0.09834843 0.20296617 0.         1.         1.
 0.17710493 0.98196871 0.50801819 1.         0.         0.
 0.05661803 0.38183932 0.         0.12829003 0.06687787 1.
 0.99845358 0.54238975 0.98135703 0.18202865 0.         0.42679097
 0.53890085 0.39719322 0.19317804 0.06325638 0.58710689 0.49384805]"
12,"1,341,844",5.600000,9.123121,19/36 (52.78%),"[0.97772315 0.         1.         1.         0.         1.
 0.80646853 0.89024048 0.         0.         0.         1.
 0.63803763 0.20924967 0.35339993 0.0071726  0.         0.
 0.28259648 0.29674668 0.75578983 0.         1.         1.
 0.75432691 0.72453326 0.93432185 0.69155744 0.         0.
 0.1953157  0.98268184 0.19272459 0.         1.         1.        ]"
13,"1,343,094",19.600000,10.476660,11/36 (30.56%),"[0.         0.00566882 0.38641855 0.10869205 0.60805277 0.56266056
 1.         0.         0.84296609 0.12353088 0.         0.45792095
 1.         0.         0.86193149 0.84349779 0.         0.26112942
 0.         0.83407199 0.67404933 0.84289914 0.         0.
 0.         0.         0.41471949 0.37838554 0.86444023 0.84888411
 1.         1.         0.         1.         0.73512733 0.1377495 ]"
14,"1,350,652",5.500000,8.910888,22/36 (61.11%),"[0.         0.         0.         1.         0.         1.
 1.         0.         0.         1.         0.         1.
 1.         0.         0.96103269 0.         0.05211946 0.
 0.         0.46588818 0.86541846 0.26325012 0.07383916 0.12602672
 1.         0.         0.98246064 0.26518883 0.         0.24685343
 1.         0.         0.61999475 0.95683707 0.05907158 0.35276053]"
15,"1,375,820",0.000000,0.007791,36/36 (100.00%),"[0. 1. 1. 0. 1. 1. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 1. 0. 1. 1.
 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 1.]"
16,"1,430,637",25.500000,10.515184,16/36 (44.44%),"[0.         0.         0.53906546 0.31890482 0.         1.
 0.         1.         0.         0.47954823 0.         1.
 0.         1.         0.         0.17260628 0.02339867 0.
 0.         0.         0.8202373  0.86329783 0.55996375 0.19958737
 0.         0.87395907 0.52695913 0.77279655 0.9257961  0.5370727
 0.07669489 0.2556667  0.27002057 0.77940741 0.51199448 0.76705222]"
17,"1,454,003",14.000000,11.258346,16/36 (44.44%),"[1.         0.         0.         0.         0.         0.
 1.         0.         0.         1.         1.         0.
 0.         0.12791892 0.29261457 0.         0.         0.23564318
 0.69306543 0.68412144 0.11797282 0.75506028 0.58583681 0.52471904
 0.4523291  0.42500556 0.74897967 0.02457134 0.         0.01861843
 0.38377473 0.09917342 0.82801296 0.55803696 0.94900831 0.69185518]"
18,"1,470,603",0.000000,0.011728,36/36 (100.00%),"[1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0.
 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1.]"
19,"1,480,509",5.300000,13.400811,6/36 (16.67%),"[0.31255776 0.76251163 0.15746017 0.78898219 0.18797815 0.17863551
 0.         0.52829477 0.01971767 0.23465824 0.46459008 0.28666392
 1.         0.         0.83624793 0.18021161 0.16531807 0.20924934
 1.         0.         0.79536099 0.31184539 0.52934479 0.55406869
 0.         0.28253849 0.07985678 0.6206263  0.423714   0.96358454
 0.05699417 0.61373164 0.28672939 0.4625463  0.85488081 0.75972013]"
