Number,ID,Fitness,Runtime,Preprocessed,Result
1,"1,003,822",2.050000,12.462004,23/36 (63.89%),"[8.85917918e-01 0.00000000e+00 0.00000000e+00 8.71986320e-01
 7.47099407e-03 8.85917918e-01 1.00000000e+00 7.43631317e-04
 8.85917918e-01 4.62865670e-01 1.72331878e-04 7.93137389e-01
 0.00000000e+00 0.00000000e+00 8.70185224e-01 0.00000000e+00
 3.16267179e-02 8.85872118e-01 1.00000000e+00 0.00000000e+00
 0.00000000e+00 1.00000000e+00 0.00000000e+00 0.00000000e+00
 1.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00
 1.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00]"
2,"1,124,444",3.150000,14.694184,7/36 (19.44%),"[0.80301772 0.         0.         1.         1.         0.
 0.74485816 0.07398398 0.45948499 0.         0.         0.9717311
 0.02466511 0.97106772 0.62613243 0.10769911 0.0214306  0.88151466
 0.89153489 0.40786534 0.32970929 0.17842279 0.73059492 0.83996964
 0.77444367 0.05261014 0.55412159 0.         0.41937352 0.
 0.00245966 0.97576015 0.73425253 0.11217063 0.59738956 0.0992691 ]"
3,"1,188,236",2.800000,13.637160,10/36 (27.78%),"[1.         1.         0.         0.         1.         0.
 1.         0.         0.71741189 0.4785013  0.86952625 0.
 0.         1.         1.         0.         0.         1.
 0.         0.         0.         0.         0.         1.
 1.         1.         0.         1.         0.         1.
 0.         0.         0.36375308 1.         0.         1.        ]"
4,"1,191,192",0.000000,0.006965,36/36 (100.00%),"[1. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0.
 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0.]"
5,"1,192,723",0.800000,14.846410,9/36 (25.00%),"[0.93636648 0.41748842 0.         0.92726146 0.94702364 0.94924944
 0.82179023 0.         1.         0.         0.         0.35459305
 0.         0.         1.         0.         0.94924944 0.85691441
 0.75695561 0.84017479 0.         0.         0.19709011 0.12654739
 0.14539455 0.         0.56806145 0.74387894 0.         0.94924944
 0.56824881 0.62111015 0.         0.14916694 0.         0.696517  ]"
6,"1,194,297",1.200000,13.381877,16/36 (44.44%),"[3.34632820e-01 4.67551809e-01 9.31753959e-01 1.00000000e+00
 4.52434286e-01 3.47351076e-01 3.44486425e-02 3.44825531e-01
 1.00000000e+00 5.89582281e-04 1.00000000e+00 8.94927225e-01
 7.16553360e-01 5.76575607e-01 4.61614526e-01 8.65152371e-02
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 8.14160090e-01 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.00000000e+00]"
7,"1,198,412",3.400000,12.946285,19/36 (52.78%),"[0.51180303 0.35571194 0.97810616 1.         0.84231233 0.
 0.33183738 1.         0.1282228  0.         0.         1.
 0.         1.         0.         0.         0.         1.
 0.57753754 1.         0.         1.         1.         0.
 0.11613502 0.         1.         0.         0.         1.
 0.         0.         1.         0.         0.         1.        ]"
8,"1,217,965",2.800000,14.092288,11/36 (30.56%),"[1.         1.         0.         0.65153357 1.         0.52693432
 0.05892136 0.9587608  0.25847284 0.         0.26579271 0.20969323
 0.31296913 0.         0.         0.9790944  1.         0.
 0.         1.         1.         0.         0.         0.12976032
 1.         0.         0.         1.         0.09245946 0.
 1.         0.         1.         0.78246755 1.         0.3889974 ]"
9,"1,253,849",2.550000,12.692760,20/36 (55.56%),"[0.82573408 1.         0.         0.         0.         0.
 0.13864156 0.71591275 0.         0.         0.         1.
 1.         0.         0.         0.         0.         1.
 1.         0.         0.         1.         1.         0.
 0.2816635  1.         0.8938697  0.         0.         1.
 0.         0.         0.         0.61887772 0.         1.        ]"
10,"1,317,605",4.000000,14.827878,8/36 (22.22%),"[0.20432721 0.83210279 0.0937483  0.00414776 0.00393426 0.6060423
 0.02680513 0.92626317 0.         0.924071   0.         0.47318701
 0.00374476 0.         0.         0.93944308 0.         0.97889071
 0.85235358 0.63545293 0.0016208  0.         0.11252301 0.95728604
 0.00121695 0.24405391 0.         1.         0.         0.85228747
 0.54962652 0.64541308 0.         1.         0.         0.36211071]"
11,"1,332,159",1.200000,14.523412,11/36 (30.56%),"[0.21209476 0.63522505 0.91823635 0.6068742  0.         0.
 0.4080428  0.         0.         0.         1.         1.
 0.         0.10591016 0.91823635 1.         0.         0.
 0.4681321  0.06230255 0.         0.         1.         1.
 0.91823635 0.44695736 0.91823635 0.91823635 0.         0.46767466
 0.91632824 0.91823635 0.         0.         0.9119992  0.91823635]"
12,"1,341,844",1.200000,13.457725,19/36 (52.78%),"[1.         0.         1.         1.         0.         1.
 1.         1.         0.         0.         0.         1.
 0.         0.         0.97542525 1.         0.         0.
 0.96697996 0.65051992 0.1056755  0.         1.         1.
 0.         1.         0.         0.1751068  0.         0.
 0.02227418 0.48123439 0.20711326 0.         1.         1.        ]"
